job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
"Spec, Project Management","Greenville, TX, US",job id ims20200906 46331 date posted 06 09 2020 l3harris dedicated recruiting developing diverse high performing talent passionate employees unified shared dedication customers’ mission quest professional growth l3harris provides inclusive engaging environment designed empower employees promote work life success fundamental culture unwavering focus values dedication communities commitment excellence everything l3harris technologies agile global aerospace defense technology innovator delivering end end solutions meet customers’ mission critical needs company provides advanced defense commercial technologies across air land sea space cyber domains l3harris approximately 17 billion annual revenue 50 000 employees customers 130 countries l3harris com description job title spec project management job code ims20200906 46331 job location greenville tx job description spec project management function point contract program office functional management customer supplier relationships stakeholders coordinate efforts ensure successful resolutions program issues essential functions manage material budget assigned program provide accurate material forecast assists providing comprehensive business analysis program material requirements manage impact program eacs material related actions work collaboratively program office functional management well stakeholders define assign task requirements estimate establish budget schedules determine appropriate performance metrics clarify priorities develop implement specific management plans support program interact engineering engineering design reviews planning procurement manufacturing personnel ensure appropriate drawings released program schedules achieved assists reviewing proposals statements work sow establish status metrics reporting methods assists make buy decisions follows open purchase orders verifies delivery participates resolving supplier issues approves payment maintains necessary records material movement throughout manufacturing inventory cycle utilize program management tools monitor report program performance objectives including budget schedule management requirements facilitate project coordination decision making lead participate integrated product teams assure successful program execution drive non value added costs program provide proposal support include estimating scope mpm labor material efforts qualifications bachelor degree minimum five 5 years relevant experience equivalent combination education experience may also considered active dod secret clearance required 3 years similar technical pm equivalent leadership capacity strong project management skills outstanding communication verbally written negotiation organizational leadership skills recent experience commercial military aviation aerospace products development production highly desired knowledge manpower planning milestone scheduling pm tools related financial management must high attention detail capable managing working environment fast paced demanding focus problem resolution process improvement strong organizational time management skills intermediate knowledge microsoft office products include word excel powerpoint outlook project extensive experience sap material processes strongly preferred proven team player outstanding customer relationship skills preferred additional skills previous material management experience please aware many positions require ability obtain security clearance security clearances may granted u citizens addition applicants accept conditional offer employment may subject government security investigation must meet eligibility requirements access classified information submitting résumé position understand agree l3harris technologies may share résumé well related personal information documentation provide subsidiaries affiliated companies purpose considering available positions l3harris technologies proud affirmative action equal opportunity employer l3harris committed treating employees applicants employment respect dignity maintaining workplace free unlawful discrimination applicants considered employment without regard race color religion age national origin ancestry ethnicity gender including pregnancy childbirth breastfeeding related medical conditions gender identity gender expression sexual orientation marital status veteran status disability genetic information citizenship status characteristic membership group protected federal state local laws l3harris maintains drug free workplace performs pre employment substance abuse testing background checks permitted law,aviation & aerospace,532,23,17,0,0,1,24,17,0.045112782,0.031954887
Logs and Records Clerk - CA0016867389,"San Diego, CA, US",less thanpless thanstronggeneral descriptionless strongless pless thanulless thanlithis job depot level repair facility maintenance types aircraft include limited av 8 c 130 c 2 e 2 ea 6b f 18 h 1 h 53 h 60 mq 8 p 3 p 8 f 35 v 22 military aviation platform experience plus less liless ulless thanpless thanstrongdutiesless strongless pless thanulless thanliat least two years documented experience aerospace aircraft log records procedures processes less liless thanliprovide verification cor experience first 30 days performance upon hiring less liless thanlireview incoming ready issue rfi engine logbooks included documentation accuracy completeness maintain logs throughout depot custody engine less liless thanlireview screen transcribe logbook completed work documents actual work performed engines accordance cnafinst 4790 2b less liless thanliscreen accuracy scheduled removal component src cards module service record msr cards equipment historical record ehr cards assembly service record asr cards ensure information compatible latest technical publications format required cnafinst 4790 2b less liless thanlithrough analysis completed work documents ensure work directed accomplished certified respects applicable changes bulletins incorporated compliance current technical publications less liless thanlireview technical directive bulletins change configuration sheets shop processing documents reflecting technical directives accomplished processing engine accessories inclusion logbooks less liless thanlifurnish completed f404 f1d2 engine module log record data sheet f404 f1d2 engine parts life tracking sheet every f404 f1d2 engine module purpose parts life tracking system comprehensive engine management system plts cems entry engine production data technician less liless thanliknowledge interpret technical directives engineering pertaining inspections modifications maintenance rework engines less liless thanlihave thorough knowledge cnafinst 4790 2b make logbook entries consistent guidelines cnafinst 4790 2b less liless thanlihave knowledge production control functions reporting procedures thorough knowledge routing system moves components engines rework process less liless thanliinput extract technical directive information src cards asr cards msr cards tracking information engines components various computer systems programs less liless thanlishall required occasion use judgment within established parameters specified within cnafinst 4790 2b interpret specific entry required logbook less liless thanlimust aware importance correctly transcribing information engine logbooks may ultimately affect airworthiness aircraft omissions inaccuracies may create dangerous questionable conditions necessitating expenditure numerous man hours correct prove entries corrected proven could mean loss life aircraft less liless thanlimust qualified typist ability operate commonly used computer terminals less liless thanliother duties assigned less liless ulless thanpless thanstrongeducation experience requirementsless strongless pless thanulless thanlihigh school diploma equivalentless liless thanli,aviation & aerospace,393,2,5,0,0,0,2,5,0.005089059,0.012722646
Aerospace Engineer 4 - LVSA,"Cape Canaveral, FL, US",teledyne brown engineering inc industry leader engineered systems advanced manufacturing company provides full spectrum systems engineering integration manufacturing lifecycle sustainment solutions marine aviation aerospace defense energy environment markets teledyne brown expertise systems integration technology development hardware design prototype development system test evaluation advanced manufacturing performance based logistics solutions operations maintenance teledyne brown engineering seeking motivated articulate aerospace professional serve lvsa subject matter expert liaison ksc order coordinate control l 6 pre launch post launch activities accordance policies procedures guidelines lvsa liaison possess initiative work autonomously communicate effectively tbe program management huntsville alabama work location primarily ksc florida occasional travel huntsville alabama primary duties establish communication channels associations key ksc personnel provide access maintenance security lvsa ksc represent tbe meetings provide meeting minutes back tbe leadership attend participate lifting stacking meetings become knowledgeable process requirements ksc assist drafting “rules engagement” post dd250 activities warrant tbe involvement develop monitoring reporting method lvsa cleanliness health maintenance surveillance develop update check list routine inspections lvsa coordinate incident reports investigations exploration ground systems egs initiate participate repair projects provide site support post repair evaluations understand coordinate physical storage kits loose items delivered ksc maintain additional ancillary equipment supplies e things needed necessarily part loose items kit observe monitor activities events ksc influence lvsa report leadership become involved certificate flight readiness cofr activities understand processes become familiar tbe qa processes documentation represent tbe nonconformance issues mrb’s position require administrative technical writing coordination directly customers occasional support nights weekends needed required qualifications supervisory work experience nasa dod aerospace field 10 years required us citizen capable obtaining security clearance bachelors technical discipline accredited institution required excellence business communications manners appearance behalf tbe customer coworker communications required experience working independently integrated product teams ipts required 15 travel required travel 15 customer vendor locations usa preferred qualifications experience working vendors support nasa preferred nasa space flight hardware experience preferred work experience around kennedy space center preferred hands experience developing producing space vehicle flight hardware preferred position site customer kennedy space center central florida attendance meetings training may required huntsville alabama offices,aviation & aerospace,341,12,9,0,0,2,14,9,0.041055718,0.026392962
Enforcement Investigator,"El Segundo, CA, US",duties help duties summary office aerospace medicine aam develops manages medical programs support aviation safety learn agency responsibilities incumbent serves enforcement investigator special investigations branch aam 830 within drug abatement division office aerospace medicine aam position performs multiple varying complex assignments minimal direction manager applies experience comprehensive technical knowledge conducting complex investigations planning scheduling conducting ongoing monitoring industry operations accordance 14 cfr part 120 49 cfr part 40 conducts comprehensive investigations individuals employers violation dot faa drug alcohol testing regulations throughout united states territories prepares final written reports investigations may result administrative civil penalty certificate action defines organizes assigns resources accomplish program organizational objectives provides testimony serves technical advisor faas office chief counsel hearings preparation hearings works across functional organizational lines often representing aam avs faa technical point contact communicating complex technical information stakeholders internal external faa levels management establishes maintains liaison services offices lines business civil aviation security required law enforcement officials assure compliance enforcement drug alcohol regulations interprets policy provides guidance instruction stakeholders internally externally faa defines organizes assigns resources accomplish organizational objectives provides guidance lower level staff solve difficult technical issues resolves unique technical problems without intervention management experienced technical specialist work rarely reviewed typically status reports completion projects work activities directly impact objectives aam avs faa ensuring safety aerospace industry customers performs duties assigned travel required 50 less job may require 50 travel supervisory status promotion potential na job family series 1801 general inspection investigation enforcement compliance series requirements help requirements conditions employment us citizenship required selective service registration required males born 12 31 1959 must submit sf50 see required documents one year probationary period may required successful completion security investigation may required please review required documents additional information qualifications reference opms group coverage qualification standard administrative management positions qualify position fv j fg gs 14 level must demonstrate application possess least one year specialized experience equivalent fv fg gs 13 level specialized experience experience equipped particular knowledge skills abilities perform successfully duties position filled typically related work position filled specialized experience may include limited experience working drug alcohol testing programs defining organizing resources accomplish organizational objectives experience preparing reviewing drug alcohol investigation reports experience analyzing statistical data networking building relationships stakeholders across multiple layers organization agency industry applicants provide examples specialized experience work history education see qualifications required ksa information part federal wide hiring reform initiative streamlining hiring process faa committed eliminating use knowledge skills ability ksa narratives initial application hiring process announcements therefore applicant announcement required provide narrative response text box listed ksa lieu providing ksa narrative response text box listed knowledge skills abilities ksas work history please include information provides specific examples meet response level answer chose ksa work history examples specific clearly reflect highest level ability ksa answers evaluated validate whether level selected appropriate based work history experience provided answers may adjusted human resource specialist appropriate eligible applicants meeting minimum qualification requirements selective factor applicable may evaluated ksas factors listed announcement based evaluation applicants placed one following categories score order category grouping alphabetical referred selecting official consideration preview job questionnaire make sure resume includes detailed information support qualifications answers job questionnaire,aviation & aerospace,519,12,14,1,0,2,15,14,0.028901734,0.026974952
Mission Systems Engineer,"Eustis, FL, US",job title mission systems engineer project overview position contingent upon contract award position requires technical expertise related various aviation mission systems technology areas include avionics human systems interfaces autonomy survivability lethality sensors scope work ranges concept definition analysis development test evaluation demonstration new capabilities simulation flight events including support future vertical lift fvl family systems fos job description responsibilities mission systems engineer supporting army science technology st programs provide software engineering support services involved development integration evaluation software intensive mission systems products responsibilities include performing tasks provide engineering technical managerial direction problem definition analysis requirement development implementation complex systems required meet technical requirements participating efforts develop recommendations advice system development improvements optimization support efforts supporting analysis implementation hardware software systems requirements researching summarizing evaluating engineering data preparing engineering test reports customer review interacting customer representatives concerning status assigned tasks administering coordinating tasks assigned project work activities arranging periodic management meetings staff customer representatives compiling materials customer briefings proposal presentations potentially evaluating proposal pricing preparing funding packages participate marketing activities may also estimate manpower needs scheduling requirements assigned activities required skills qualifications security clearance secret active secret security clearance bachelors degree general experience approximately five years engineering discipline systems industrial civil aviation aerospace electrical mechanical nuclear chemical information computer software telecommunications information security network engineering disciplines experience requirement preferred 12 years minimum 8 desired skills qualifications experience army technology development directorate aviation technology systems integration demonstration tdd sid operational experience army aviation rotorcraft experience pilot copilot gunner graduate naval test pilot school service equivalent travel 10 location fort eustis va wbb technical management consulting company provides innovative products services solve government commercial customers toughest problems 30 years wbb set standard excellence consulting services providing employees outstanding work environment ample opportunities growth success wbb continues enjoy impressive growth directly attributed companys hiring practice always hiring best professionals government military industry proud diverse environment equal opportunity employer wbb committed policy equal employment opportunity wbb participates e verify wbb accept unsolicited resumes search firms staffing agencies unsolicited resumes considered property wbb wbb obligated pay placement fee,aviation & aerospace,342,12,9,0,0,2,14,9,0.040935673,0.026315789
Manager Training 3 - Mfg Production,"Palmdale, CA, US",northrop grumman employees incredible opportunities work revolutionary systems air space impact people’s lives around world today generations come work preserves freedom democracy advances human discovery understanding universe look people bold new ideas courage pioneering spirit join forces invent future lot fun along way culture thrives intellectual curiosity cognitive diversity bringing whole self work — insatiable drive others think impossible employees part history they’re making history leader always act integrity highest ethical standards characterize everything enable team achieve predictable balanced results satisfying needs internal external partners treat people respect modelpersonal growth continuous development know build inclusive environment attracts retains inspires diverse engaged team develop trusted valued customer relationships communicate effectively people throughout organization feel engaged connected work deliver excellence strive continuous improvement respond vigorously change ensure team information tools needed perform best demonstrate committed pursuit applying innovation meet requirements customer craft execute strategies result sustainable value creation delivers measurable results you…keep reading northrop grumman aeronautics systems opening training manager 3 join team qualified diverse individuals position located palmdale ca selected candidate responsible compliancbasic qualifications high school diploma ged 7 years experience aviation aerospace maintenance manufacturing production role 5 years experience training staffing 5 years leadership experience active dod secret clearance ability obtain maintain program access needed business ability travel 25 preferred qualifications bachelor’s degree current special program access experience manufacturing production operations excellent 2 way communication skills upward downward excellent communication interpersonal skills ability interface levels employees management experience curriculum development experience leading coaching overseeing training teams northrop grumman committed hiring retaining diverse workforce proud equal opportunity affirmative action employer making decisions without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class complete eeo aa pay transparency statement please visit www northropgrumman com eeo u citizenship required positions nglinkedas 1ngspace ngfeaturedjobs aslasvegas,aviation & aerospace,302,13,13,0,0,1,14,13,0.046357616,0.043046358
Electronics Engineer,"Oklahoma City, OK, US",dutieshelpdutiessummaryajw 178 provides operational support engineering faa owned data communications equipment used national airspace system nas ajw 178 highest level engineering expertise faa systems learn agencyresponsibilitiesprovide technical assistance field facilities maintaining nas equipment restoring nas services perform modification engineering resolve problems nas equipment develop maintain technical documentation used maintenance nas systems services provide technical assistance washington program offices fielding new nas equipment incumbent responsible national modifications technical maintenance hardware software concerns communications systems equipment facilities national airspace system incumbent perform following duties direction experienced engineer analyze operational maintenance logistical problems determine functional impact technical course action correct prepare engineering study reports detailing results analysis recommendations develop hardware software modifications correct problems communications systems develop test plans procedures quality control techniques insure quality product generate directives needed implement modifications review analyze technical maintenance documentation communications systems ensure complete accurate adequate develop new documents changes existing ones correct discrepancies identified reflect modifications provide technical assistance field personnel resolve problems restore nas services provide technical consulting headquarters program offices development new nas communications systems travel required performance duties performs multiple varying complex assignments plans implementation projects programs limited direction manager project program manager experienced engineer may act contributing specialist large work activities team leader single small work activities applies experience advanced knowledge engineering principles theories concepts applicable his her discipline accomplish assignments develop plans techniques improve programs policies understands his her technical area interacts affected disciplines considers objectives major subdivision lob developing integrating implementing solutions diverse complex problems typical assignments may include system design integration extensive research shared responsibility project program management defines plans organizes assigned resources accomplish organizational objectives allocates resources accomplish small work activities within established schedules contacts internal external may act key technical point contact assigned activities contributes preparation management technical reports contractual documents may called upon communicate overall results project work activity faa management aviation aerospace industries external parties established policies procedures provide guidance assignments allow considerable discretion select appropriate approach recommend new approaches assignments typically require solutions derived interpreting extrapolating situations faced past provides recommendations improve work processes provides guidance lower level staff solve difficult technical issues resolves unique technical problems without intervention management experienced engineer identifies informs management problems require attention often develops recommends techniques address problem situations work reviewed periodically typically major milestones completion technical compliance alignment requirements project work activity travel required25 less job may require 25 travel supervisory statusnopromotion potentialna* job family series 0855 electronics engineering* requirementshelprequirementsconditions employment* us citizenship required selective service registration required males born 12 31 1959 must submit sf50 see required documents position positive education requirement transcript required qualificationsto view complete qualification standard applicants reference u office personnel management individual occupational requirements professional engineering positions 0800 https www opm gov policy data oversight classification qualifications general schedule qualification standards 0800 files professional engineering positions 0800 pdfbasic requirementsa degree engineering acceptable program must 1 lead bachelors degree school engineering least one program accredited abet 2 include differential integral calculus courses advanced first year physics chemistry five following seven areas engineering science physics statics dynamics b strength materials stress strain relationships c fluid mechanics hydraulics thermodynamics e electrical fields circuits f nature properties materials relating particle aggregate structure properties g comparable area fundamental engineering science physics optics heat transfer soil mechanics electronics orb combination education experience college level education training technical experience furnished 1 thorough knowledge physical mathematical sciences underlying engineering 2 good understanding theoretical practical engineering sciences techniques applications one branches engineering adequacy background must demonstrated one following professional registration licensure current registration engineer intern ei engineer training eit 1 licensure professional engineer pe state district columbia guam puerto rico absent means qualifying standard applicants achieved registration means written test e g state grandfather eminence provisions eligible positions within closely related specialty field registration example applicant attains registration state boards eminence provision manufacturing engineer typically would rated eligible manufacturing engineering positions written test evidence successfully passed fundamentals engineering fe 2 examination written test required professional registration engineering licensure board various states district columbia guam puerto rico specified academic courses successful completion least 60 semester hours courses physical mathematical engineering sciences included courses specified basic requirements paragraph courses must fully acceptable toward meeting requirements engineering program described paragraph related curriculum successful completion curriculum leading bachelors degree appropriate scientific field e g engineering technology physics chemistry architecture computer science mathematics hydrology geology may accepted lieu bachelors degree engineering provided applicant least 1 year professional engineering experience acquired professional engineering supervision guidance ordinarily either established plan intensive training develop professional engineering competence several years prior professional engineering type experience e g interdisciplinary positions examples related curricula inclusive qualify position must demonstrate application possess least one year specialized experience equivalent fv h fg gs 11 specialized experience experience equipped particular knowledge skills abilities perform successfully duties position specialized experience includes limited experience providing engineering modifications complex communications system included reading tracing schematic diagrams troubleshooting resolving hardware problems experience working internet working technology requirements specifications please include examples specialized experience work history qualification requirements must met closing date vacancy announcement educationthis position positive education requirement applicants must submit copy college university transcripts certificates closing date announcement verify qualifications selected official transcript required prior appointment may upload documents application usajobs fax fax number provided announcement please include announcement number page failure result loss consideration schools must accredited accrediting institution recognized u department education accreditation may verified following website www ed gov admins finaid accred index html foreign education must evaluated private professional organization specializing interpretation foreign education credentials accredited u educational institution terms equivalence degree acquired american college university copy evaluation results must included otherwise foreign education considered preview job questionnairemake sure resume includes detailed information support qualifications answers job questionnaire,aviation & aerospace,944,27,21,3,2,11,41,23,0.043432203,0.024364407
Avionics Technician 4 - Deployable,"Edwards Air Force Base, CA, US",interested expanding career experience exposure supporting mission seeks ensure security nation allies? northrop grumman may place leading global security company providing innovative systems products solutions customers worldwide northrop grumman offers extraordinary portfolio capabilities technologies northrop grumman comprised professionals bring different perspectives curious world accepting understand ideas backgrounds experiences bring work innovative continue build talented workforce look professionals exemplify core values leadership characteristics approach innovation job description northrop grumman defense systems seeking avionics technician 4 rotational oconus position based palmdale ca successful candidate installs tests troubleshoots repairs avionics systems wiring aircraft accordance technical specifications engineering instructions faa regulations fabricates installs tests installation routing clamping wiring harnesses reads wiring diagrams blueprints reads wiring diagrams blueprints ability operate specialty vehicles able perform work approved environment specified work hours ability understand follow basic instructions guidelines able relay receive information ability subject variety physical conditions selected candidate may receive additional training cross utilized aircraft low observable maintenance fulfill daily activities duties required meet contract requirements low observable tasks include repair composite metallic structures sanding stripping testing masking preparation tasks temporary assigned work location edwards afb ca qualifications basic qualifications high school diploma equivalent 6 years additional education related experience must willing work flexible work schedule may include extended shifts holidays weekends support call status 24 hours day 7 days week 365 days year must ability obtain maintain valid u passport accept customer furnished quarters period 120 days away primary work location comply mobility requirements must meet medical requirements worldwide travel include physical must complete understanding aviation aerospace technical data must us citizen current active dod secret clearance must ability obtain retain special program access clearance within 365 days submission preferred qualifications operational experience preferred manufacturing production candidates considered northrop grumman committed hiring retaining diverse workforce proud equal opportunity affirmative action employer making decisions without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class complete eeo aa statement please visit www northropgrumman com eeo u citizenship required position,aviation & aerospace,333,9,11,0,0,2,11,11,0.033033033,0.033033033
Aircraft Low Observ Mech 3 (Deployable),"Palmdale, CA, US",interested expanding career experience exposure supporting mission seeks ensure security nation allies? northrop grumman may place leading global security company provide innovative systems products solutions customers worldwide comprised diverse professionals bring different perspectives ideas understanding experiences bring work innovative continue build workforce look people exemplify core values leadership characteristics approach innovation northrop grumman defense systems seeking principal aircraft low observable mechanic rotational oconus program based palmdale ca successful candidate r esponsible aircraft low observable outer mold line structures materials applications prepares composite metallic surfaces coating applications performing various operations sanding stripping applying vacuum performing porosity testing masking preparation tasks mixes applies sealants gap fillers required processes prior paint may require use heating devices mixes applies paints coatings proper spraying consistency applies additional surface details manufacturer specifications performs coordinates component level testing specification compliance applications completed may perform similar duties aircraft build modification maintenance role selected candidate may receive additional training cross utilized general aircraft maintenance fulfill daily activities duties required meet contract requirements aircraft maintenance tasks include performing minor structural repairs modifications troubleshoots repairs services aircraft engine systems basic qualifications high school diploma ged 4 years additional education aviation aerospace industry related experience valid u passport accept customer furnished quarters period 180 days away primary work location comply mobility requirements meet medical requirements worldwide travel perform work assignments palmdale edwards afb ca willing work flexible work schedule may include extended shifts holidays weekends support call status 24 hours day 7 days week 365 days year must us citizen hold minimum active dod top secret security clearance bility obtain retain special program access clearance within 365 days submission condition employment preferred qualifications aviation aerospace industry operational experience preferred manufacturing production candidates considered northrop grumman committed hiring retaining diverse workforce proud equal opportunity affirmative action employer making decisions without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class complete eeo aa statement please visit www northropgrumman com eeo u citizenship required position,aviation & aerospace,331,8,8,0,0,1,9,8,0.027190332,0.024169184
Flight Test Engineer,"Naval Air Station Patuxent River, MD, US",job summary centauri seeking flight test engineer support team lexington park md primary responsibilities duties primary responsibilities duties flight test engineer include limited following applies engineering principles research analyze plan design develop implement test evaluate systems reviews prepares engineering technical analyses reports change proposals technical documentation applies engineering experience perform functions system integration design configuration management quality assurance testing acquisition resource management travel required education required qualifications bachelor science bs engineering discipline computer science information systems management mathematics operations research statistics engineering accredited college university preference electrical engineer experience 5 12 years professional engineering experience aviation test evaluation radar electronic warfare related systems 3 years’ experience shall consisted performing engineering functions respect support research development mechanical electrical aerospace systems desired qualifications professional experience radar phased array radar airborne radar electronic warfare anechoic chamber test ground flight test support test ranges test laboratories matlab c c javascript python programming languages security clearance required secret eligible,aviation & aerospace,154,2,7,0,0,2,4,7,0.025974026,0.045454545
