job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Business Intelligence Engineer,Greater Chicago Area,brooksources private healthcare client looking bi applications system administrator join bi team northwest suburbs chicago individual start 6 month contract full time hire full time conversion expected shortly initial 6 month contract duration responsibilities administration supports administers business objects tableau server environments monitoring uses application performance monitoring tools evaluate take real time actions ensure continuity internal reporting environment capacity planning utilizes monitoring tools analytics evaluate bi application capacity plans growth upgrades provides technical support testing implementation software upgrades bi applications maintenance recovery coordinates executes maintenance plans inclusive system backups restarts develops disaster recovery plans checklists support provides day day support business questions related bi applications security develops applies security protocols bi applications performance tuning evaluates recommends implements improvements tableau dashboards business objects reports overall server environments team player works closely functional areas overseas resources accomplish team objectives skills least 4 years experience tableau business objects report development least 3 years experience tableau business objects application administration experience leading conducting business objects tableau server upgrades maintenance activities demonstrated proficiency working fast paced work environments matrixed organization demonstrated proficiency resolving system performance capacity issues demonstrated experience working infrastructure network dba development teams within organization excellent verbal written communication skills required ability self direct accomplish objectives part larger project teams familiarity sso various user authentication protocols preferred familiarity java web applications preferred experience tableau prep preferred strong sql skills preferred experience metadata management tools preferred education certification minimum bachelor’s degree computer science engineering related information technology field,Computer Software,244,14,8,0,0,0,14,8,0.05737704918032787,0.03278688524590164
Data Scientist,"Chicago, Illinois, United States",ready write best chapter career? xsell technologies artificial intelligence company focused increasing sales cloud based machine learning engine uses predictive analytics natural language processing equip sales professionals best real time responses driving improved conversion rates customer experiences pride high performing collaborative culture passionate product clients industry leading results xsell currently seeking data scientist serve key member data science team role work within safe agile framework continuous delivery work data scientists critical resource growing data science staff job description designing implementing improving xsell’s proprietary softwares real time messaging recommendation systems hipercobot qabot using various mathematical natural language processing nlp algorithms machine learning models developing new systems using python nlp lemmatization stemming named entity recognition updating existing systems adding new features enhance customers experience interacting stakeholders identify requirements define new processes closely work team define architecture microservice environment deploy systems using restful api’s planning development analysis dialogue prediction sentiment models causal models customer agent behavior improving accuracy house xsell recommendation system software suite evaluating monitoring annotations manually labelled ontology team analyzing researching current market trends possible ai opportunities improvements qualifications ms phd quantitative discipline e g machine learning data science computer science mathematics statistics related field 3 years full time employment postdoctoral experience building validating predictive models structured unstructured data proficiency python knowledge basic libraries data manipulation machine learning natural language processing text mining experience creating using advanced machine learning algorithms regression neural networks etc understanding deep learning algorithms experience related libraries tensorflow pytorch nice experience sql understanding object oriented design ability craft new concepts stay current academic research experience graph databases graph designs experience designing developing production level machine learning architectures using flask redis provide competitive compensation generous benefits professional atmosphere xsell fosters entrepreneurial results driven work environment opportunity part collaborative inclusive team able grow develop professional career xsell technologies equal employment opportunity employer employment decisions shall made without regard age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity expression genetic information marital status citizenship status basis protected federal state local law,Computer Software,339,9,7,0,0,5,14,7,0.04129793510324484,0.02064896755162242
Associate Software Engineer,"Culver City, California, US",leading mobile games developer jam city looking “level up” talent we’re hunt innovators consider dynamic collaborative thrive fast paced environment perks benefits unlimited vacation paid sick days holidays 100 employee covered medical dental vision plan base plan life insurance 401k flexible spending accounts commuter benefits catered lunches well stocked kitchens yoga wellness activities happy hours company events dog friendly responsibilities working design team create features contribute overall fun challenge game play substantial role day day coding participating performance profiling optimization general troubleshooting necessary participate rest engineering organization providing valuable input companys long term engineering roadmap helping identify areas opportunity improvement participate prototyping meetings provide technical perspective qualifications 2 years specifically c development history developing software enthusiasm work small teams collaborative environment demonstrated competency several following specialties expertise one gameplay physics 3d graphics rendering networking optimization analytics demonstrated knowledge several platforms experience preferred ios android browser based games demonstrated command applicable programming languages knowledge software design including modularity event driven architecture object oriented design extensibility testability team player strong communication skills nice python unity unreal c java proven problem solving skills ability jump system identify flaws solution quickly demonstrated knowledge software best practices demonstrated ability solve complex code problems efficiently demonstrated experience building new software technology self starter analytical creative highly motivated visionary spirit familiarity git jenkins jira jam city jam city award winning mobile entertainment studio providing unique deeply engaging games appeal broad global audience led ceo chris dewolfe former myspace co founder ceo coo josh yguado former 20th century fox executive jam city creative powerhouse behind highest grossing enduring mobile games jam city’s global franchise cookie jam generated half billion dollars panda pop 120 million downloads date company also go studio hollywood developed immersive narrative rich mobile games around iconic entertainment brands company’s popular rpg game harry potter hogwarts mystery 1 game 40 countries launch april 2018 jam city nine studios located los angeles hq berlin buenos aires bogotá burbank cedar falls san diego san francisco toronto,Computer Software,328,11,7,0,0,1,12,7,0.036585365853658534,0.021341463414634148
Software Engineer,"Irvine, California, United States",cgtech stable consistently profitable business owned managed original founders since 1988 looking software engineer join growing team headquartered irvine california cgtech specializes numerical control nc cnc simulation verification optimization analysis software technology manufacturing since 1988 vericut® software become industry standard simulating cnc machining order detect errors potential collisions areas inefficiency cgtech also offers machine independent line programming simulation software automated fiber placement cnc machines offices worldwide vericut software used companies sizes universities trade schools government agencies software engineer responsible involved design development vericut software meet customer requirements team individual efforts qualifications 2 years programming experience preferred strong proficiency java c c experience gui computer graphics understanding algorithms data structures solid understanding 3d concepts strong math skills background excellent problem solving software design coding testing debugging skills bachelor’s science degree computer science computer engineering related field addition following qualifications desirable required experience commercial software development windows knowledge cad cam development manufacturing experience job type full time,Computer Software,155,5,4,0,0,0,5,4,0.03225806451612903,0.025806451612903226
Office Engineer,Los Angeles Metropolitan Area,location various locations los angeles metropolitan area www ghirardelliassoc com ghirardelli associates believe thinking outside box spark set innovation fire ghirardelli associates full service construction management firm 20 years experience providing service throughout california company inspires ingenuity providing cutting edge solutions clients commitment exceptional service proud shape communities live creating positive environment associates foster creativity growth position summary office engineer undertake responsibility contract administration one multiple concurrent construction projects oe committed making certain project moves smoothly ensuring teamwork efficiency clear communication project team members including contractors agencies staff position serve site field administrator activities related construction projects field orders submittals project documentation duties responsibilities assists resident engineer project manager aspects required office construction engineering work including setting maintaining project files writing contract change orders processing required documents progress payments necessary office engineers shall knowledgeable computer applications computer software programs microsoft word microsoft excel develops maintains organized complete set records procedures project review negotiate make recommendation change orders review submittals deliverables construction documents completeness accuracy monitors schedules necessary construction staking surveys field material inspections preliminary acceptance specialty testing required throughout contract provide maintain logs rfls change orders submittals request quotations correction notices stop work notices related construction documents track process distribute submittals rfi’s design submittals shop drawings product data work plans prepare weekly reports progress submittal rfi design submittal reviews resident engineer maintains built drawings change order updates assists project lead ensuring field staff updates built drawings required assists project lead preparing final project closeout documents including resolution potential claims skills qualifications high school diploma equivalent b b degree appropriate construction related technical engineering field preferred minimum 4 years construction engineering experience directly related general field administration significant construction projects required ability communicate project team staff others candidate detailed oriented organized strong applied experience computer applications computer software programs microsoft word microsoft excel equivalent assists administering training programs assists writing training manuals caltrans experience highly desired physical demands working conditions physical demands described representative must met associate successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions performing duties job associate regularly required sit 6 8 hours per day working computer meeting driving walking 2 hours per day performing field visits ability see well enough function typical office environment read standard text paper electronic screen computer handheld device associate frequently required use hands repetitive reaching repetitive hand use physical agility perform tasks requiring full range body movements including lifting pushing pulling bending stretching twisting reaching balancing squatting climbing crawling kneeling assuming crouched positions repetitive arm hand finger wrist leg foot motion employee must frequently lift move 10 pounds occasionally lift move 25 pounds frequently use safety equipment hard hat safety vest work areas well ventilated utility vaults work outdoors work uneven ground floor spaces work elevations ground level must able work weather conditions work day week night day available hour emergency response benefits health benefits medical insurance united healthcare kaiser dental insurance metlife vision plan vsp flexible spending plan fsa health spending account hsa globalfit membership wellness rewards program financial benefits life insurance long term disability profit sharing 401 k plan work life pto bereavement leave 9 holidays education allowance bonuses company vehicle depending assignment ghirardelli associates equal opportunity employer aspects employment including decision hire promote discipline discharge based merit competence performance business needs discriminate basis race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law,Computer Software,581,11,18,0,0,0,11,18,0.0189328743545611,0.03098106712564544
"Product Manager, AR","Los Angeles, CA, US",we’re looking product manager join snap inc member spectacles team drive roadmap execution future versions spectacles sunglasses snap working los angeles headquarters you’ll collaborate designers engineers define build new generations spectacles combine cutting edge camera technology software you’ll define delivery key strategic product milestones spectacles collaborate designers engineers data scientists user researchers analyze patterns trends identify new opportunities spectacles drive strategic planning combines new hardware capabilities innovative software produce unique ar experiences lead cross functional teams prioritize pursue highest impact opportunities manage long term roadmap spectacles includes app features hardware capabilities partnerships internal tools data analytics knowledge skills abilities experience performing product oriented quantitative analysis including statistical analysis ability execute defined objectives tactically strategically ability initiate lead cross functional projects completion minimal guidance ability communicate results analyses clearly effectively minimum qualifications bachelor’s degree equivalent years experience 5 years product management strategy experience consumer electronics technology company preferred qualifications experience creating integrated hardware software products platform ecosystem products team player collaborate engineers designers cross functional teams seasoned strategist analyst product minded thinker passion snapchat creativity snap believe team diverse backgrounds voices working together enable us create innovative products improve way people live communicate snap proud equal opportunity employer committed providing employment opportunities regardless race religious creed color national origin ancestry physical disability mental disability medical condition genetic information marital status sex gender gender identity gender expression pregnancy childbirth breastfeeding age sexual orientation military veteran status protected classification accordance applicable federal state local laws eoe including disability vets disability special need requires accommodation please don’t shy contact us accommodations extsnap com,Computer Software,259,16,7,0,0,0,16,7,0.06177606177606178,0.02702702702702703
Back-End Engineer (REMOTE),Remote,gorgias helps e commerce companies deliver excellent customer service scale product creates unified profile customers combining emails live chat social media messages e commerce data purchase delivery info combining data single application makes customer service efficient better another fortunate side effect requests completely automated using ml weve around since 2015 currently serving 2700 e commerce businesses including steve madden timbuk2 fjällräven working real world application touches lives millions thing? yeah gorgias ‍ things work on? backend code mostly written python3 runs using flask rest api celery background work state stored postgresql rabbitmq async tasks redis ephemeral storage finally everything runs top kubernetes given usually work one levels improving existing api improve performance create new feature often component backends maybe migration database maintenance command work? strong preference people worked high traffic web applications past 3 years essentially running distributed system lots moving parts decent amount experience type system helps lot additionally apps 10k daily active users sessions longer 6h day serve tens millions end consumers per year put great importance quality testing code review code apps big codebases feel comfortable navigating progressively improving sometimes however gotta figure 10tb db slow k8s pod running correctly figure successfully retry failing api request etc end goal hide lot complexity user make life easier type environment youre looking consider applying nice 3 years experience back end development high traffic web apps python js 3 years experience working large rdms document databases passionate learning want help us learn care working applications putting customer needs first comfortable communicating technical teams management collect requirements describe software product features demo work progress provide project updates drive focus get challenging projects finish line comfortable advocating need best work thrive fast paced environment company benefits perks competitive salary equity packages performance bonus packages 4 weeks vacation parental leave latest macbook pro equivalent retirement benefits unlimited snacks health coverage useful things know gorgias raised series november techcrunch com 2019 11 26 gorgias series customers saying apps shopify com helpdeskreviews software stack stackshare io gorgias positions jobs lever co gorgias,Computer Software,337,6,9,0,0,2,8,9,0.02373887240356083,0.026706231454005934
Business Analyst,"Bells, Tennessee, United States",pictsweet company growing currently looking business analyst join cross functional team focuses continuous improvement business operations position report vp corporate development work closely multiple departments find opportunities cost reduction margin improvements key projects ideal candidate healthy mix experience production logistics sales marketing data analysis responsibilities include review business processes company policies enhance work flows efficiency collect analyze deliver benchmarking data identify implement best class processes procedures collaborate sales operations teams create cost effective business processes examine margins variance anomalies identify margin improvement opportunities provide revenue enhancement cost savings project research business analytics team eio committee manage cross functional projects establishing relationships key personnel mutliple departments utilize data whenever possible support decisions provide consultation automate reporting ideal candidates possess master’s degree accredited college required business analytics data analytics related field excellent verbal written communication skills demonstrated computer software skills excel ability create strong working relationships others proven initiative research manipulate data identify options opportunities improvement implement solutions 2 years operations analyst role lean six sigma training preferred,Computer Software,166,13,8,0,0,2,15,8,0.09036144578313253,0.04819277108433735
Competitive Intelligence Analyst,"Los Angeles, CA, US",carbon black part vmware standalone company carbon black established leader endpoint security space product portfolio includes rapidly growing carbon black cloud platform delivers next generation endpoint protection capabilities cloud seeking experienced competitive intelligence analyst join expanding team ci professionals carbon black individual expected real passion deep understanding competitive landscape within endpoint protection platform epp endpoint detection response edr market spaces effort improve product roadmaps positioning sales effectiveness deep technical product research individual expected identify competitive advantages opportunities improvements train peers well management recommendations improving technologies new technologies you’ll research collect analyze data relative epp edr market space identify following order enable management field teams current emerging competitive threats competitor product strengths improvements weaknesses technical level identify assess competitive differentiation growing opportunities identify groundbreaking methods exploiting competitive differentiation you’ll bring 5 8 years experience b2b product marketing business analysis competitive intelligence sales engineering enterprise software passion groundbreaking technology demonstrated track record managing complex data driven projects collecting synthesizing information meaningful conclusions strong grasp insight generation scalability influencing problem solving business acumen skills proven ability analyze new products competitors translate information actionable intelligence positioning campaigns sales tools strong written verbal skills ability quickly create collateral differentiate carbon black product offering improvements bonus experience familiarity epp edr cyber security management software products similar technologies category marketing subcategory product dev marketing experience business leadership full time part time full time posted date 2020 06 11 vmware company overview vmware believe software power unlock new opportunities people planet look beyond barriers compromise engineer new ways make technologies work together seamlessly cloud mobility security software form flexible consistent digital foundation securely delivering apps services experiences transforming business innovation around globe core people deeply value execution passion integrity customers community shape what’s possible today http careers vmware com equal employment opportunity statement vmware equal opportunity employer prohibits discrimination harassment kind vmware committed principle equal employment opportunity employees providing employees work environment free discrimination harassment employment decisions vmware based business needs job requirements individual qualifications without regard race color religion belief national social ethnic origin sex including pregnancy age physical mental sensory disability hiv status sexual orientation gender identity expression marital civil union domestic partnership status past present military service family medical history genetic information family parental status status protected laws regulations locations operate vmware tolerate discrimination harassment based characteristics vmware encourages applicants ages vmware provide reasonable accommodation employees protected disabilities consistent local law,Computer Software,396,25,8,0,0,1,26,8,0.06565656565656566,0.020202020202020204
"Sales Professional – Computer, Hardware, Software, and Cloud Data Center Sales",Remote,gha technologies inc become 1 mission critical supplier america ranked 69 2018 crn solution provider 500 15 2018 crn fast growth 150 list microsoft named gha it’s 1 western region var gha named 1 fastest growing company arizona sell apple hp ibm lenovo dell vmware adobe qlogic emc fujitsu microsoft intel cisco hottest data center virtualization energy conservation cloud storage security wireless sd wan video identification technologies also specialize mission critical product procurement integration services largest corporate government educational clients america client base whos corporate america facts gha technologies inc one largest private providers technology solutions corporate government education markets america gha 33 employee owned employees receive stock shares every year part owners company vast access coast coast distribution network warehouse facilities support time delivery mission critical delivery orders placed 900 p est 800 p cst received next morning stock items secure password protected 24 hour access personal customized website special pricing 2 million products 3 000 manufacturers currently hiring industry experienced technology sales professionals nationwide look forward hearing offer highly lucrative earnings package top salespeople earning 50 000 700 000 annually 10 000 fast start bonus offer w 2 employment medical benefits dental benefits 401k retirement company stock ownership plan esop,Computer Software,202,2,4,0,0,1,3,4,0.01485148514851485,0.019801980198019802
