job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Construction Manager,"San Diego, California, United States",good men roofing construction seeking experienced construction manager lead san diego team role estimate schedule forecast manage activities ensure project accuracy quality conception completion construction managers create organizational structure project act higher authority decision making center project administration construction managers also need possess proper knowledge estimating building codes regulations associated construction design build projects good men roofing construction san diego based commercial general contractor focused providing highest quality construction roofing operations maintenance services clients clients include navfac us army corps engineers various government entities addition providing highest quality pride good stewards serving strategic partner clients rather another contractor look hire train innovative self starters motivated deliver quality results goal complete projects ahead schedule within budget utilizing expertise members team fullest responsibility duties ensure timely accurate material procurement delivery job site assist job scheduling field personnel vendors subcontractors etc necessary complete project interface clients architects engineers subcontractors maintain network material suppliers equipment rental providers qualified subcontractors attend preconstruction job meetings necessary study contract documents identify potential problems unforeseen costs visit jobsites evaluate constructability prepare submit accurate cost estimates project budgets timely manner proactively solve problems hands approach prepare periodic project status reports requested cm owners collaborate project superintendent submit monthly invoices accounting department prepare bids supervise submittal control data understand enforce company safety rules procedures prepare execute change orders company architect subcontractors maintain built drawing records review assist project proposals rfp’s collaborate senior project manager planning project completion client satisfaction financial outcome assigned construction projects skills work experience 4 year college degree construction management engineering business architecture ten years related experience experience government contracts design build roofing required strong knowledge principles project management building construction theory principles practices engineering architecture related design construction experience rsmeans cpm scheduling microsoft project procore spectrum plus must strong estimating skills emphasis accuracy must maintain high degree integrity loyalty honesty ability work team environment must able multi task manage multiple projects fast paced environment experience preparing writing cost estimates change order estimates negotiate cost proposals job type full time compensation doe benefits medical dental life retirement generous paid time policy training opportunities equal employment opportunity employer,construction,350,10,7,0,0,1,11,7,0.03142857142857143,0.02
Construction Controller,"Orange County, California, United States",orange county based engineering firm anaheim area need controller amazing opportunity broaden skills deal directly ceo role responsible monthly financial statement preparation analysis month end close financial analysis reconciliations r billing cash applications follow accrual accounting adhoc projects,construction,38,3,1,0,0,0,3,1,0.07894736842105263,0.02631578947368421
Construction Coordinator,"Van Ness, CA, US",team part store development team responsible designing building delivering retail experiences includes new construction remodeling repairs maintenance role looking smart creative person liaison construction store operations store systems real estate marketing supports construction project managers maintaining functional reporting systems communication reports director construction youre excited opportunity works store development team issue bids works project managers execute bid process liaison store operations internal business partners responsible certain elements data entry central project management database needed entire construction process point person turnover facilitates phases turnover process including turnover 2 week call daily turnover check calls issues construction kick project award e mails attends store assumptions quarterly meeting store development representative acts system administrator project talk system provides support training system maintenance needed issues tracks gc work authorization documentation works pms issue monitor items punch list checklist maintains communication business partners regarding progress miscellaneous administrative tasks including limited copies note taking distribution notes fielding calls questions maintains renews list consultants temporary external business partners site id badges maintains fixed cost estimate template updates regular schedule project managers may work finance project managers project reconciliation closeout process love working williams sonoma inc successful fast growing company entrepreneurial vibe technologically data driven business competitive salaries comprehensive health benefits forefront tech retail redefining technology next generation passionate internal external clients live breathe client experience get creative daily basis smart experienced leadership team wants right open new ideas believe autonomy reward taking initiative fun,construction,237,5,10,0,0,1,6,10,0.02531645569620253,0.04219409282700422
Construction Manager,"San Diego, California, United States",detail oriented superstar gets thing done timely fashion leading others? please read 10x construction continually growing looking construction manager add team construction manager summary focus job centers around producing timely results high quality accurate benefiting analytical inquiring critical mind job requires imagination strong problem solving skills strong technical orientation job requires ability deal abstract concepts systems ideas organized self disciplined way also requires serious consideration given possibly related facts potential problems job demands deep knowledge expertise successfully depends understanding detailed information intellectual confidence important job well requires close hands involvement careful follow disciplined limited delegation job technically demanding ‘strictly business’ little need influential ‘people interactions’ central job need weigh decisions carefully thoroughly based expertise order avoid unpredictable risk getting job done getting done right two equal drivers job may create conflict,construction,131,8,5,0,0,0,8,5,0.061068702290076333,0.03816793893129771
Construction Specialist,"Houston, Texas, United States",background residential construction ability manage deliver quality resullts residential property owners experiencing wind rain hail mold damage familiar new technology software must hands experience project site experience 8 years residential construction experience required strong customer service skills ability management customers construction teams simultaneously,construction,43,1,0,0,0,0,1,0,0.023255813953488372,0.0
Construction Administration Assistant,"Dallas, Texas, United States",currently seeking experienced clerical staff join construction administration ca team dallas tx office entry level position perform clerical duties associated construction administration variety multifamily projects including mixed use luxury senior living affordable student housing projects markets across country job responsibilities,construction,40,0,1,0,0,0,0,1,0.0,0.025
Construction Coordinator,"Houston, TX, US",typically regarded fully qualified engineer carries responsible varied assignments requiring general familiarity broad field engineering design science requires knowledge reciprocal effects work upon fields problems usually solved use combinations standard procedures modifications standard procedures methods developed previous assignments participates planning phase projects well execution global level details advanced knowledge specialized depth breadth expertise within field engineering commissioning discipline gaining mastery single areas multiple broader areas specialty product systems university degree equivalent related field equivalent trade qualification combined relevant training experience experience varies based education background degree typically 5 years relevant experience trade qualifications typically 10 years relevant experience makes independent technical decisions recommendations small independent projects studies decisions take account financial social environmental impact within company difficult complex unusual matters decisions usually referred senior authority works supervision self initiated technical guidance regular weekly monthly interaction supervisor work generally supervised detail amount supervision varies depending upon assignment broad duties assigned monthly work occasionally reviewed accuracy usually technical guidance available review work programs advise unusual features assignment may assign activities give technical guidance staff common project rare cases may direct reports authority performance evaluations impacting pay proficiently communicate ideas concepts persuading influencing participation preparation delivery proposals presentations reports strong understanding systems processes tools related field able assist others troubleshoot issues worley usa tx houston construction management full time staff experienced may 22 2020 jun 21 2020 contract manager,construction,226,6,6,0,0,2,8,6,0.035398230088495575,0.02654867256637168
Construction Coordinator,"Menlo Park, California, United States",construction coordinator job description director facilities private family office seeking motivated construction coordinator join team immediately menlo park candidate work closely project managers contractors architects engineers various vendors consultants within design construction teams strong candidate possess demonstrate ability communicate efficiently construction teams facility team knowledge construction process conception implementation continued analysis progress throughout project duration must high level reviewing tracking project budgets schedules critical path invoice review important quality control consistency enforcement ensure clients level expectation maintained construction coordinator lead example positive motivated attitude maintain proper discretion continentally,construction,88,3,1,0,0,0,3,1,0.03409090909090909,0.011363636363636364
Construction Specialist,"Portland, Oregon, United States",stuff sets apart enjoy fast paced nature retail operations thrive you’re able support multiple projects you’re able quickly alternate responsibilities you’re well versed things construction including work orders blueprint reviews project rollouts real estate systems processes communications get dr martens brand excited support team enhancing dr martens’ footprint americas region,construction,50,0,4,0,0,0,0,4,0.0,0.08
Construction Inspector,Los Angeles Metropolitan Area,location los angeles metropolitan area www ghirardelliassoc com ghirardelli associates believe thinking outside box spark set innovation fire ghirardelli associates full service construction management firm 20 years experience providing service throughout california company inspires ingenuity providing cutting edge solutions clients commitment exceptional service proud shape communities live creating positive environment associates foster creativity growth,construction,54,1,4,0,0,0,1,4,0.018518518518518517,0.07407407407407407
