job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Design Consultant,"Los Angeles, California, United States",job role summary new product design designer provides additional collateral help finalize color design new flooring wall decorative products create develop presentation materials referenced product development review stages sign color choices ensure trend compatible “whole house” ensure final colors designs meet demands new home construction sphere,design and graphic design,46,1,2,0,0,0,1,2,0.021739130434782608,0.043478260869565216
Remote UX/UI Design Consultant – Famous West Coast Beauty Salon,"Los Angeles, California, United States",iconic west coast beauty salon seeking experienced ux ui designer join team remote basis! ux ui designer work concepts executions company’s digital print experience work cross functionally help evolve streamline various ux ui components design patterns visual styles company qualifications bachelor’s degree graphic design user research related field,design and graphic design,48,0,3,0,0,0,0,3,0.0,0.0625
Graphic Design Intern,,role room fast paced startup looking disrupt existing industry producing new digital physical products services rethink tomorrow’s workspace design team hunt talented graphic design intern help translate mission inspiring innovative design room design part dna we’re building brand new house creative studio support—and partner brand growth marketing teams graphic design intern needs well rounded comfortable executing design projects across range media web email display social channels brand presentations maybe even odd gif graphic design experience agency startup tech cpg brand plus including illustrations icons general understanding web design whether it’s intuitive ui responsive design interactivity accessibility conversion rate optimization preferred role reports junior digital designer paid intership working office new york soho,design and graphic design,112,0,5,0,0,0,0,5,0.0,0.044642857142857144
Digital Designer,"Los Angeles, California, United States",position summary digital designer ensure brand message communicated high visual impact across digital channels role responsible creating site banners paid media assets landing page assets addition creation stills video animation social media use responsibilities,design and graphic design,34,0,4,0,0,0,0,4,0.0,0.11764705882352941
Graphic Designer,,designer support development global campaigns focus digital social platforms critical eye clean aesthetic you’ll provide smart typography color layout solutions aligned brand guidelines you’re agile flexible collaborative partnering cross functional team members elevate brand equity engage consumers support business objectives you’re also comfortable executing projects concept production,design and graphic design,47,3,2,0,0,0,3,2,0.06382978723404255,0.0425531914893617
Design Asset Coordinator,"Los Angeles, CA, US",ref 36783 cbs business unit cbs television network job type full time staff job schedule full time job location los angeles ca cbs established 1928 founder william paley purchased 16 independent radio stations christened columbia broadcast system today 200 television stations affiliates reaching virtually every home united states cbss total network lineup watched 110 million people week 2017 2018 season cbs 1 network primetime 10 consecutive seasons network 1 comedy scripted program big bang theory 1 newsmagazine 60 minutes l late night program late show stephen colbert 1 daytime drama young restless programming arms include cbs entertainment cbs news cbs sports design asset coordinator responsible facilitating collection distribution digital assets internal external sources including cbs news cbs sports cbs entertainment cbs studios seeking self motivated detail oriented individual adjust workload based shifting priorities problem solve technical delivery issues errors everyday duties include interfacing multiple teams coordinating asset delivery graphic designers producers creative directors publicity social media teams equal opportunity employer minorities women veterans disabled,design and graphic design,164,2,2,0,0,0,2,2,0.012195121951219513,0.012195121951219513
Digital Designer - Entertainment Industry,"Los Angeles, California, United States",creative passionate designer background entertainment industry? thrive fast paced environment working creatives? yes would love hear you! leading entertainment industry client looking digital web designer experience entertainment industry specifically virtual events join team! person knowledgeable leading edge design craft pertains entertainment industry role develop high level digital assets variety shows movies designer must possess strong typographic skills design skills production skills strict attention detail sounds like please submit resume portfolio!,design and graphic design,70,5,2,0,0,0,5,2,0.07142857142857142,0.02857142857142857
"Designer, Creative Lab",Los Angeles Metropolitan Area,tiktok leading destination short form mobile video mission inspire creativity bring joy tiktok global offices including los angeles new york london paris berlin dubai mumbai singapore jakarta seoul tokyo brainstorm designers brand strategists bring advertising campaigns life concept execution create campaign mock ups data visualizations,design and graphic design,45,2,3,0,0,0,2,3,0.044444444444444446,0.06666666666666667
"Graphic Design Assistant (Internship, Remote)",Remote,somos creative global digital marketing agency based shenzhen los angeles bangalore clients include new established consumer electronics e commerce brands expanding global market looking graphic design assistant intern join ranks usa based operation part time unpaid remote position opportunity earn college credit transition contract role based performance applicants must based usa,design and graphic design,51,0,1,0,0,0,0,1,0.0,0.0196078431372549
Graphic Design Intern,"Studio City, CA, US",seeking graphic design intern join team! create graphics meet commercial promotional need looking someone might starting bilingual spanish responsibilities create eye catching graphics engaging designs handle graphic projects start finish develop maintain image library files coordinate outside agencies services needed,design and graphic design,40,0,3,0,0,0,0,3,0.0,0.075
