job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Financial Services Representative,,job description fulda area credit union looking financial services representative provide prompt courteous service internal external customers person telephone must friendly efficient accurate detail oriented enjoy working public role may often challenging able remain calm polite tough situations ideal candidate someone exceptional member service skills past job experience banking similar customer service skills preferred,financial services,54,4,1,0,0,0,4,1,0.07407407407407407,0.018518518518518517
Financial Services Representative,"Nashville, TN, US",develop retain long term profitable customer relationships maximize revenue growth responsible maintaining high customer service procedural standards provides fulfillment retail banking products either referral based leads prospecting lists self sourcing performs basic moderately tasks renews opens new accounts opens processes new demand time deposit accounts including passbook accounts iras certificates deposit money market accounts researches resolves problems responds customer inquiries account status maintains files cross sells bank services refers customers departments appropriate banking center hours monday thursday 800 400 pm friday 800 600 pm saturday 900 100 pm rotating sales goal oriented good verbal written communication skills including consultative sales presentation skills cross selling skills proficient applicable computer software good organizational customer service skills position requires high school diploma ged associates degree preferred zero two years sales experience required,financial services,129,6,3,0,0,0,6,3,0.046511627906976744,0.023255813953488372
Financial Services Representative,"Middle River, Maryland, United States",financial services representative full time middle river md 21220 13 16 hr doe full benefits company works maryland transportation authority deliver next generation customer service states toll system detail oriented steallar positive attitude enjoy working finance want apply,financial services,38,0,0,0,0,1,1,0,0.02631578947368421,0.0
Financial Services Associate,Raleigh-Durham-Chapel Hill Area,genuinely enjoy making difference lives others? answered âyesâ customer service minded champion fidelity talentsource hiring financial services associates fidelity investments durham site temp hire position apply skills knowledge significant way every day help others work optimally four six months earn opportunity become full time fidelity employee purpose role,financial services,48,1,1,0,0,0,1,1,0.020833333333333332,0.020833333333333332
Financial Services Representative,,begin career allows leverage personal drive people skills commitment helping others financial services representative barnum financial group youâll develop knowledge skills needed provide important advice guidance people looking protect build wealth,financial services,31,2,2,0,0,0,2,2,0.06451612903225806,0.06451612903225806
Financial Services Representative,"48036, Clinton Township, Michigan, United States",continue follow current recommendations closely adapted thriving business model covid 19 pandemic providing services online seeking individuals immediate employment train financial service representatives candidates must demonstrate high professional ethical standards positive attitude,financial services,32,1,0,0,0,1,2,0,0.0625,0.0
Financial Services Representative,"Deerfield Beach, FL, US",company description company americas convenient bank company americas convenient bank one 10 largest banks u providing 8 million customers full range retail small business commercial banking products services approximately 1 300 convenient locations throughout northeast mid atlantic metro c carolinas florida addition company subsidiaries offer customized private banking wealth management services company wealth vehicle financing dealer commercial services company auto finance company headquartered cherry hill n j learn visit company website find company facebook company website twitter company websiteus company americas convenient bank member company group subsidiary toronto dominion bank toronto canada top 10 financial services company north america toronto dominion bank trades new york toronto stock exchanges ticker symbol company learn visit company website financial service representative fsr insurance licensed employee providing customers additional products services acting wealth referral champion store financial services representative fsr required obtain maintain active life health license state reside financial service representative fsr sales leader store primary contact resource multitude products services primary focus basic investment needs customers fsrs need provide consistent exemplary customer service selling cross selling wide range investment products banking products services new existing customers fsrs need show exceptional relationship building skills well aptitude identifying needs presenting appropriate solutions needs good verbal communication skills needed success position excellent career path within company structure consistently executes appropriate behaviors deliver legendary customer experience store conducts needs based conversations offers financial solutions meet customers needs makes quality referrals appropriate partners responsible meeting individual performance metrics responsible making sound decisions timely problem resolution proactively reaches customers deepen relationships needs based conversations prepares life health licensing exams proactive engagement education process successful achievement licensing requirements within first 90 days meets customers prospects develop understanding financial objectives needs assesses customer information suggests appropriate product service solutions sells customers value benefits suggested alternatives closes sales maintains strong product sales knowledge champions core service values provides guidance training less experienced staff contributes ongoing improvement customer experience leading coaching modeling quality service every customer interaction job requirements 1 years related experience required life health insurance required within 90 days employment sales skills ability influence customers excellent customer service relationship building skills excellent written verbal communication skills previous financial services sales experience helpful developing knowledge retail investment industry demonstrated effective problem solving skills demonstrated ability schedule prioritize work demonstrated ability work independently within deadlines ability train less experienced team members strong pc skills ability provide community services including limited financial education classes inclusiveness company committed fostering inclusive accessible environment employees customers feel valued respected supported dedicated building workforce reflects diversity customers communities live serve creating environment every employee opportunity reach potential candidate disability need accommodation complete application process email company us workplace accommodations program applytoshowemail include full name best way reach accommodation needed assist application process eoe minorities females veterans individuals disabilities sexual orientation gender identity,financial services,465,24,20,0,1,1,25,21,0.053763440860215055,0.04516129032258064
Financial Services Representative,"Quincy, Massachusetts, United States",company overview ssc global provider investment financial services software financial services healthcare industries named fortune 1000 list top u company based revenue ssc headquartered windsor connecticut 20 000 employees 90 offices 35 countries 18 000 financial services healthcare organizations worlds largest institutions local firms manage account investments using sscs products services,financial services,51,0,0,0,0,0,0,0,0.0,0.0
Financial Services Representative,,description job description searching positive initiative driven customer oriented individual join team position combination teller personal banking responsibilities includes limited building strong customer relationships cross selling bank products services well opening closing various demand deposit accounts flexibility travel region locations must qualified candidates following cash handling experience strong customer service communication skills interpersonal expertise musthave ability multitask detail oriented prior sales experience ispreferred college degree substituted experience however train right person professional appearance required,financial services,74,2,4,0,0,1,3,4,0.04054054054054054,0.05405405405405406
Financial Analyst,"Milwaukee, WI, US",position type full time type hire experienced relevant combo work education education desired bachelor accounting 25 curious motivated forward thinking? fis youll opportunity work challenging relevant issues financial services technology talented people empower us believe part team open collaborative entrepreneurial passionate fun financial institution payments fip business operations team responsible driving strategic initiatives fip division create implement strategy drive margin expansion via cost reduction revenue increase efficiency building within division balance time short term goals thoughtful go forward strategy optimizing operations lines business leveraged functions financial analyst team conduct various types financial analysis select division financials include creating visualizations risk reports providing high level insights updates specific financial governance processes act point contact division level operational metrics work create efficiencies data analysis activities across organization addition also research track competitor financials key operational metrics help division understand competitive positioning performs technical analysis determine present future financial performance gathers analyzes prepares summarizes recommendations financial plans acquisition activity trended future requirements operating forecasts tracks revenue expenses monthly basis comparing actual forecasted figures makes necessary adjustments performs economic research studies areas rates return depreciations working capital requirements investment opportunities investment performance impact governmental requirements prepares reports management summarizing results research analyses evaluation discrepancies gathers analyzes current data aid estimating future expenditures related duties assigned needed fis committed protecting privacy security personal information process order provide services clients specific information fis protects personal information online please see online privacy notice fis equal opportunity employer evaluate qualified applicants without regard race color religion sex sexual orientation gender identity marital status genetic information national origin disability veteran status protected characteristics eeo law poster available supplement document available positions located us following conditions apply made conditional offer employment required undergo drug test ada disclaimer developing job description care taken include competencies needed successfully perform position however americans disabilities act ada purposes essential functions job may may described purposes ada reasonable accommodation reasonable accommodation requests reviewed evaluated case case basis recruitment fis works primarily direct sourcing model relatively small portion hiring recruitment agencies fis accept resumes recruitment agencies preferred supplier list responsible related fees resumes submitted job postings employees part company,financial services,353,19,11,0,0,0,19,11,0.053824362606232294,0.031161473087818695
Financial Services Coordinator,"Fort Collins, CO, US",position located one fort collins area branches essential duties responsibilities schedule appointments canvas advisors representatives members accordance department standards consistently meet department quality service production standards promote member satisfaction retention expansion promote market canvas advisors program credit union employees members assist seminars make room arrangements assemble seminar packets confirm seminar attendance coordinate lobby displays ensure materials well supplied current coordinate mailings newsletters surveys seminars annual review letters appointment information forms maintain member marketing lists ensure information current accurate type memos reports correspondence manage calendars analyze sort deliver incoming mail provide telephone coverage troubleshoot resolve member internal inquiries timely friendly accurate manner maintain date accurate filing system make photocopies fax documents perform clerical functions exhibit support organizationâs mission vision purpose goals initiatives cost control follow safety security guidelines properly safeguard member organization assets comply bank secrecy act bsa compliance requests requirements embrace ongoing education learn apply new skills software applications regular attendance punctuality essential functions job must bondable cuna mutual employment canvas pre employment drug test thorough background review components include criminal employment address social security number motor vehicle record global sanctions sex offender credit perform job duties assigned knowledge skill ability job qualifications professional courteous effective verbal written communication skills ability explain credit union products programs benefits members prospective members strong interpersonal customer service skills proven sales telemarketing referral skills strong relationship building teamwork skills efficient organizational time management skills ability work independently manage multiple priorities deadlines strong problem solving decision making skills solid knowledge understanding canvas financial products services proficient ms office outlook excel word ability maintain confidences education formal training high school diploma ged experience minimum one year administrative experience prior financial institution sales experience preferred working environment physical activities extensive telephone computer work high volume faced paced office environment job routinely uses standard office equipment computers phones phone headsets printers copiers fax machines filing cabinets position requires manual dexterity ability lift files open filing cabinets position requires bending stooping standing necessary duties please note job description designed cover contain comprehensive listing activities duties responsibilities required employee job duties responsibilities activities may change time without notice canvas credit union equal opportunity employer gender minority veteran disabled e verify participation notice english e verify participation notice spanish right work notice english right work notice spanish,financial services,376,16,8,0,0,1,17,8,0.04521276595744681,0.02127659574468085
Patient Financial Services Representative,,future full possibilities banner staffing services weâre excited future holds health care team come together common goal make health care easier life better youâre ready change lives want hear internal staffing registry provider banner health banner staffing services bss provides opportunities within one countryâs leading health systems bss team dedicated providing personal attention professional support employees registry opportunities great way market skills within banner health bss employee eligible apply time internal applicant regular full time part time opportunities within banner health bss requires completion post offer occupational health physical assessment drug screen background check includes employment criminal education,financial services,98,2,4,0,0,1,3,4,0.030612244897959183,0.04081632653061224
Associate Financial Services Representative,"Sandy, Utah, United States",interested financial services? always wanted learn inner workings stock market? get excited solving problems customers compliment work? goal driven competitive? answered yes questions youâre person want associate financial services team associate financial services representative would use amazing customer service skills knack problem solving engage clients via incoming calls answer various questions related stock portfolios get started career us e*trade pay training obtain series 7 63 licenses role provide excellent customer service identifying customer needs determining best solution educate customers e*tradeâs competitive advantage identify additional products would benefit show us determination drive sales follow processes manage time 100 efficient day continually learn investments financial markets address individual clientâs investment needs help company identify opportunities keep clients part minimize risk necessary required maintain high level personal integrity comply e*tradeâs code conduct youâll sign statement agreeing itâs important connect groups gather info resolve customer issues never weâre family involved projects tasks may things help,financial services,151,7,4,0,0,1,8,4,0.052980132450331126,0.026490066225165563
Trading Analyst,"New York, United States",overview gwc seeking exceptional trading quantitative analyst join blooming investments team person work closely founder cio developing new trading strategies improving current methods directly contributing management gwcs equities options portfolio experience data science machine learning required candidate passion experience capital markets role presents opportunity entry high level growth within start meritocratic fund current strategies accurately portrayed trades posted firms page real time regularly please officially apply directing resume short motivation aspirations message careersgreatwhitecap com specific responsibilities include responsibilities directly support cio development data signaling models implementation testing new trading strategies risk management analyzing post trades pl analysis portfolio reviews directly contribute growth fund skills experience required qualifications bachelorâs degree minimum 2 yearsâ experience financial services preferred proficient sql tableau one following python r strong statistics probability knowledge strong economics knowledge previous trading experience preferred entrepeneurial mind motivated become leader industry strong communication skills ability flexible learn ability identify high positive expected value opportunities risks offer early entry start technology oriented fund 100 remote first part time flexible schedule firm takes next step eventual equity business commensurate members value firm salary benefits beginning,financial services,182,9,4,0,0,0,9,4,0.04945054945054945,0.02197802197802198
Financial Services Representative - Experienced,"Atlanta, Georgia, United States",piedmont group financial services general agency massachusetts mutual life insurance company massmutual fortune 500 company comprehensive financial planning help clients tackle issues matter supporting important decisions lives set apart firms focusing individual building foundation allow clients take control financial lives foundation found company culture advisors staff always working create inclusive environment represents core values growth family teamwork happiness result weve recognized one ajcs top places work three past four years 2015 2017 2018 2019 showing commitment success development financial professionals,financial services,80,4,5,0,0,1,5,5,0.0625,0.0625
Director of Patient Financial Services,"Virginia, United States",hospital experience required** well established hospital norfolk va area searching dedicated director patient accounts join team great opportunity part solid health system enjoying great benefits excellent professional work environment within company director patient accounts responsible coordinating supervising managing inpatient outpatient billing addition coordinating activities patient accounts ensure proper prompt collections insurance companies individuals essential duties responsibilities duties responsibilities described represent general tasks performed daily basis tasks may assigned implement assure timely accurate compliance appropriate billing procedures insuring inpatient outpatient accounts receivable records kept accordance established policies procedures manage inpatient outpatient billing areas advising supervisors day day implementation interpretation changes ensure policies procedures complied review maintain accountability timely accurate entry patient charges different departments implement controls insure appropriate billing submission payment cycles establish appropriate procedures follow third party approvals billing collection overdue accounts conjunction credit department supervise train orient section personnel evaluate employee performance make recommendations personnel actions merit increases promotions disciplinary action plan educational programs department personnel maintain established hospital department policies procedures objectives quality assurance safety environmental infection control programs prepare annual budget patient accounts department including inpatient outpatient billing credit act resource insurance billing questions departments reimbursement questions research projects maintain appropriate internal controls accounts receivable monitor activities insurance companies admitting medical records data processing patients physicians keep abreast reimbursement billing procedures third party private insurance payers maintain appropriate controls reporting collection companies activities maintain update appropriate sections master files cdm profiles form generation tables pfs patient financial services pathways attend required hospital wide orientations meetings services demonstrate commitment flexible work scheduling necessary ensure patient care qualifications perform job successfully individual must able perform essential duty satisfactorily requirements listed representative knowledge skill ability required reasonable accommodations may made enable individuals disabilities perform essential functions education experience minimum required education high school diploma equivalent preferred education bachelors degree business administration finance related field experience 7 yearsâ management experience hospital patient service environment,financial services,313,9,8,0,0,2,11,8,0.03514376996805112,0.025559105431309903
Financial Services Professional,"Naperville, Illinois, United States",help connect faith finances thrivent advisor next career could change lives? could succeed helping others succeed? could help christians connect faith finances? financial advisor thrivent financial youâll opportunity turn âwhat ifsâ meaningful career thrivent? believe money tool goal national membership owned organization christians offers unique blend faith finances generosity full range financial products services youâll help people create strategy reflects values provides families protects future thrivent financial advisors focus â· providing financial guidance connects faith finances â· helping members wise money live generously change lives â· making impact community position overview thrivent advisor youâll â· freedom working independently youâll run business support leaders mentors â· help christians meet financial goals executing proven advice sales process prospective existing members â· explore members many ways money choices reflect values â· help members feel comfortable confident finances successful thrivent advisors effective â· making approaches get appointments done leveraging existing relationships holding workshops marketing services â· inspiring others take action closing sales analyses unique situations includes creating written recommendation based memberâs needs budget goals â· maintaining ongoing relationships members thrivent proven systems processes give support help learn successfully build skills find experience unique personal professional financial rewards thrivent offer click apply,financial services,197,8,19,0,0,1,9,19,0.04568527918781726,0.09644670050761421
"Exclusive Agent Opportunity - Insurance & Financial Services - Cleveland, GA",Greater Atlanta Area,position description exclusive insurance agent horace mann offering multiple lines insurance financial services make difference community future educating advising servicing clients improve quality life whether experience teacher outside sales representative management insurance finance business ownership experience successful excellent earning potential access experienced training program opportunity help provide solutions specifically geared priced educators exclusive opportunity reports regional agent consultant receive compensation package excellent commissions bonus structure exclusive marketing territory niche market increase opportunity success technology continued training support base operations multi line product portfolio support best practices successful agents market relationship building programs possess following strong interpersonal business management skills building agency 2 4 years experience insurance financial services industry preferred gain appropriate insurance licenses required life health property casualty optional finra series 6 63 responsibilities dedicated solving financial challenges educators face excel gaining market access building relationships comfortable presenting information potential customers one one settings large groups attend networking community sales industry events willing invest time resources ensure business success play necessary roll protecting clients assets helping achieve financial goals horace mann educators corporation horace mann founded 1945 two teachers saw need quality affordable auto insurance teachers since weve broadened mission helping educators protect today prepare successful tomorrow broadened mission come corporate growth serve 4 100 school districts nationwide publicly traded new york stock exchange symbol hmn nearly 10 billion assets information visit horace mann website www horacemann com benefits compensation package excellent commissions bonus structure rewards incentives including international trips agency exclusive defined territory equal opportunity employer,financial services,248,9,14,0,0,1,10,14,0.04032258064516129,0.056451612903225805
Financial Services Manager,,summary position assist cfo making critical business decisions analyzing presenting key financial data position prepares forecasts budgets risk analysis supervision cfo senior management accountant also provide financial management support chapterâs finance team regular duties gather analyze financial information internal use prepares supports cfo budgeting forecasting provide financial management support pva grants review evaluate chapter financial performance assist cfo financial management training national chapter level ensures pvas fiscal policies procedures current accordance gaap efficient documented communicated works collaboratively corporate controller advises problems suggests improvements performs additional tasks undertakes special projects assigned desired skills abilities experience must hold undergraduate degree accounting finance cpa preferred required minimum 5 yearsâ experience management accountant similar position solid knowledge basic advanced accounting financial principles reporting excellent knowledge budgeting forecasting excellent communication presentation skills problem solver attention detail experience conducting internal audits preferred experience managing grants preferred domestic travel required pva equal opportunity employer,financial services,147,9,5,0,0,0,9,5,0.061224489795918366,0.034013605442176874
