job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
RN Hospital Wound Care Coordinator,"Gardena, CA, US",description interested career kindred hospitals place put heart make real difference patients lives come grow career kindred hospitals division kindred healthcare culture caring patients residents begin core values employees committed fostering professional growth dedicated healthcare teams make us provider choice embrace diverse workforce understand hiring outstanding people key providing quality care quality care every day join us wound care coordinator job supervise educate hospital personnel regarding management wounds prevention nosocomial pressure ulcers coordinate investigation improvement nursing care personnel performance prepare reports responsibilities develop treatment plan according current wound care protocols explain dressing rationale institute preventive measures monitor results care delivered communicate information supervisors director quality management advise physicians status wound patients provide demonstrations dressing techniques educate orient services nurses give hands instruction regarding principles asceptic technique provide list patients nosocomial pressure ulcers includes patients name site state support surface dates evaluation director quality management identify patients requiring debridement procedures alert attending physician identify nutritional deficiencies coordinate health care personnel solve nutrition problems report results respective supervisors performing daily rounds assist delivery patient care accomplish wound care tasks ensure adequate materials hand every patient attend wound care education programs designed enhance benefits patients derive recent techniques procedures available wound care coordinator coord wound care coordinator wound care coordinator wound care wound care rn registered nurse wocn wound care nurse hospital healthcare long term acute care transitional care hospitals qualifications requirements include current rn state license previous experience wound care highly preferred current kindred rehabcare employee click,hospital and healthcare,245,1,6,0,0,1,2,6,0.00816326530612245,0.024489795918367346
Field Service Representative (Los Angeles),"Los Angeles, CA, US",job description seeking dedicated talented individual athletic training background join djo field service rep greater los angeles orange county area great opportunity work clinical setting leader orthopedic bracing brands donjoy aircast procare exos dont miss great opportunity start career industry leader essential functions provides customer service clinics physicians therapists patients responds questions issues problems moderate complex scope serves liaison customer sales educates trains office staff maintain inventory accordance osha regulations manages product mix franchise vs non franchise designated level responsible coordinating required audits inventory set forth djohs management team handles defective products returns djo replacement instructs office staff handle document reissue products case defective products ensures proper completion djo measuring forms insurance billing information forms functional brace fitting works within emrs access appropriate patient information billing well read understand medical records educates completes insurance verifications benefits completes delivers appropriate documentation billing department following necessary compliance regulatory processes obtains certificate medical necessity forms chart notes necessary forwards billing department responsible pre authorization claims required individual insurance contracts responsible proper fitting instructions soft goods bracing bone growth stimulation djo products dispensed clinics performs functional brace measuring fitting prescribed physicians clinic coordinates patients follow fitting appointments necessary responsible educating staff members djohs policies procedures identifies infection control area product disposal educates staff area requirements adheres internal corporate compliance guidelines government healthcare regulations addition policies procedures set forth clinic hospital administration duties assigned qualifications minimum 2 years’ experience hospital healthcare facility clinic office independent contractor working directly care orthopedic patient related experience required experience dealing multiple physicians high volume clinic required bachelor’s degree related field required holds board certification boc appropriate state regulatory agency strongly preferred boc includes certified athletic trainer physical therapy certification orthopedic technology certification related previous experience inventory management programs emrs strongly preferred demonstrated experience application soft goods functional bracing preferred travel may required travel 90 time overnight travel required must willing travel various local clinic sites using transportation upon request dictated territory work environment physical demands field based e physician’s offices hospitals clinics etc physical demands must frequently lift move 20 pounds office desk work requiring sitting walking using phone computer reasonable accommodations may made enable individuals disabilities perform essential functions djo global djo global leading global developer manufacturer distributor high quality medical devices provide solutions musculoskeletal health vascular health pain management products address continuum patient care injury prevention rehabilitation surgery injury degenerative disease enabling people regain maintain natural motion products used orthopedic specialists spine surgeons primary care physicians pain management specialists physical therapists podiatrists chiropractors athletic trainers healthcare professionals addition many medical devices related accessories used athletes patients injury prevention home physical therapy treatment product lines include rigid soft orthopedic bracing hot cold therapy bone growth stimulators vascular therapy systems compression garments therapeutic shoes inserts electrical stimulators used pain management physical therapy products surgical division offers comprehensive suite reconstructive joint products hip knee shoulder products marketed portfolio brands including aircast® chattanooga cmf™ compex® donjoy® procare® exos™ dr comfort® donjoy performance® djo® surgical additional information company please visit www djoglobal com djo growing subsidiary diversified technology leader colfax corporation eoe aa f vet disability qualified applicants receive consideration employment discriminated basis race religion color national origin sex protected veteran status disability basis protected federal state local laws,hospital and healthcare,537,13,11,0,0,4,17,11,0.03165735567970205,0.020484171322160148
Housekeeping Technician,,job details high school diploma internal posting sfmc associates 01 9 2020 01 15 2020 st francis medical center sfmc dedicated serving healthcare needs communities southeast los angeles vision values driven integrated health care delivery system collaboration share values operate 384 bed acute care hospital one largest busiest private emergency trauma centers los angeles county treating 84 000 children adults year last year 5 000 babies born sfmcs family life center 875 babies cared state art neonatal intensive care center primary stroke care center stemi receiving center approved los angeles county emergency medical services agency position summary performs variety general task cleaning patient rooms offices public areas hallways assigned areas hospital create maintain safe clean orderly environment patients visitors associates position requires full understanding active participation fulfilling mission st francis medical center expected associate holding position demonstrate behaviors consistent core values comply required standards governing commitment compassionate care exemplary service serving patients associate holding position support st francis medical centers strategic plan essential elements quality improvement financial stewardship education training experience high school graduate equivalent ability communicate understand oral written instructions english previous experience hospital healthcare setting preferred bilingual english spanish preferred licenses certifications bcls c card aha physical demand analysis must continuously 66 100of work day walking tile floors wrist rotation deviation use bilateral upper extremities hands reaching shoulder level standing must frequently 34 66 work day lifting minimum 50 lbs twisting bending neck forward backward must occasionally 11 33 work day stooping squatting waist bending standing,hospital and healthcare,248,4,12,0,0,0,4,12,0.016129032258064516,0.04838709677419355
Hospital Marketing and Community Liaison,"Alhambra, CA, US",responsibilities business development representative full time one nation’s largest respected providers hospital healthcare services universal health services inc built impressive record achievement performance growing steadily since inception esteemed fortune 500 corporation annual revenues 11 4 billion 2019 2020 uhs recognized one world’s admired companies fortune 2019 ranked 293 fortune 500 2017 listed 275 forbes inaugural ranking america’s top 500 public companies headquartered king prussia pa uhs 90 000 employees subsidiaries operates 26 acute care hospitals 328 behavioral health facilities 42 outpatient facilities ambulatory care access points insurance offering physician network various related services located 37 u states washington c puerto rico united kingdom operating philosophy effective today 40 years ago build acquire high quality hospitals rapidly growing markets invest people equipment needed allow facility thrive become leading healthcare provider community serve headquartered king prussia pa uhs 81 000 employees subsidiaries operates 320 acute care hospitals behavioral health facilities ambulatory centers united states puerto rico u virgin islands united kingdom bhc alhambra hospital seeking dynamic talented business development representative mission bhc alhambra hospital develop implement manage ethical efficient manner network superior behavioral health services optimal client outcome business development representative implements philosophy policy procedures systems strategic goals set forth senior management team maximizing referral potentials assigned accounts developing new business achieve goals objectives business development systems key responsibilities include develop new accounts markets employer eap primary care physicians licensed practitioners managed care segments directed director business development develop designated number qualified business development contacts per week achieve overall business development goals objectives develop account management list maintain current account information update required contact primary accounts personal visits telephone calls letters mailers ongoing basis developing encouraging relationship trust active accounts monitor referrals admissions plan appropriate strategy maximize referral potential qualifications position requirements education bachelor’s degree behavioral health area marketing business administration related field preferred equivalent combination education experience experience minimum two 2 years experience health care business development marketing environment measurable business development results knowledge psychiatric chemical dependency treatment principles preferred licensure must valid driver’s license applicable state within 90 days employment opportunity provides following *uhs challenging rewarding work environment growth development opportunities within uhs subsidiaries competitive compensation generous paid time uhs registered trademark uhs delaware inc management company universal health services inc wholly owned subsidiary universal health services inc universal health services inc holding company operates subsidiaries including management company uhs delaware inc healthcare management operations conducted subsidiaries universal health services inc extent reference uhs uhs facilities website including statements articles publications contained herein relates healthcare management operations referring universal health services subsidiaries including uhs delaware terms us company context similarly refer operations universal health services subsidiaries including uhs delaware employment referenced website universal health services inc solely one subsidiaries including limited uhs delaware inc uhs accepting unsolicited assistance search firms employment opportunity please phone calls emails resumes submitted search firms employee uhs via email internet form method without valid written search agreement place position deemed sole property uhs fee paid event candidate hired uhs result referral means,hospital and healthcare,497,14,12,0,0,1,15,12,0.030181086519114688,0.02414486921529175
RN QUALITY IMPROVEMENT COORDINATOR,,job summary quality coordinator nurse coordinator provides oversight medical support team implementation coordination monitoring evaluation quality care delivery process improvement accreditation patient safety initiatives throughout beverlycare use health information technology electronic health records patient portal data extraction reporting etc major component qi program quality coordinator reports medical director well senior operations manager essential duties responsibilities overall responsible delivery nursing services continuous quality improvement clinic ensures competencies nursing personnel ensures standards nursing practice upheld delivery care ensures clinic survey ready times develops implements measures outcomes beverlycare’s quality improvement plan accordance strategic goals organization federal state laws regulations accreditation standards based clinic’s needs collaboration clinics staff provides ongoing leadership quality issues including limited managing projects activities patient safety performance improvement projects accreditation activities initiatives responsible collection analysis interpretation reporting quality data trains works closely management staff ensure clinical setup workflow development aligned qi program requirements goals objectives partnership medical director facilitates quality improvement committee develop meeting agendas facilitate meetings advice assure quality improvement ideas carried evaluated performs requested follow duties oversees developmental opportunities medical support staff develops implements continuing education programs meet identified needs responsible maintaining quality management documents case files correspondence organized confidential secure manner analyzes customer survey data identifies plans quality improvement well review patient experience incident reports patient complaints grievances report trends assists medical director medical staff credentialing privileges assists medical director medical staff peer review activities quality improvement purposes assists chart reviews ensure quality metrics compliance quality improvement plan participates audit preparation coordination working partnership clinical operations staff monitors evaluates full spectrum care services provided patients quality continuous improvement satisfaction develop revise annually beverlycare qi program work plan annual evaluation actively participates risk management activities provides recommendation prioritization issues risk assessment based level organizational exposure investigate matters related complaints grievances incidents including conducting internal investigations assures incident resulting patient injury brought forward appropriate agencies appropriate develops plans implements policies procedures support nursing patient care services support ongoing improvements electronic health records ensures safe environment care staff patients families ensures delivery quality nursing care acts patient staff advocate ensures patients access providers medical support timely manner assures optimal patient referral process specialty care performs duties responsibilities requested data management ensure maintenance clinical program data collection management reporting infrastructure ensure maintenance clinic’s data dashboards compile monitor report data related qi operations program evaluation hedis uds meaningful use mips management conduct routine reporting external agencies skills knowledge requirements bachelor’s degree nursing least one year experience ambulatory hospital healthcare quality improvement programs knowledge federal state laws regulations regarding quality programs including quality improvement assurance health care setting understanding patient safety issues qi project management knowledge data analysis reporting quality improvement skills excellent communication skills present updates projects senior leadership statistical analysis data display trending using excel similar program ability lead inter disciplinary work groups skilled microsoft office microsoft access data entry use business email demonstrates behaviors based eight values organization caring accountability patient centered positive attitude open communication teamwork quality improvement innovation training education licensure completion accredited registered nursing program current valid rn license bls certification valid california driver’s license transportation available meet job requirements,hospital and healthcare,513,19,17,0,0,0,19,17,0.037037037037037035,0.03313840155945419
ER Patient Access Specialist,"Arlington, VA, US",er patient access specialist creating best outcomes patients requires right people virginia hospital center staff exceeds expectations performing top level profession virginia hospital center strong advocate employees provides true collaborative environment healthcare team works closely together bringing skill experience mutual respect task providing superior medical care patients er patient access specialist responsible addressing public needs managing dissemination resources meet patient needs he she also responsible registration patients need medical attention maintaining medical records receiving incoming calls processing paperwork monitors waiting area addresses complaints concerns expressed patients family members visitors notifies appropriate personnel complaints concerns require attention obtains accurate information patients registration includes correct name address phone number insurance information employment signatures needed processing essential information entered computer identification insurance cards photocopied attached chart charts signed consent initialed correct address assists doctors nurses finding information needed assists patients general information fees resource personnel referring social worker financial assistance application medicaid high school diploma equivalent preferred experience healthcare field preferred,hospital and healthcare,158,2,6,1,1,4,7,7,0.04430379746835443,0.04430379746835443
Clinical Analyst,"Los Angeles, California, United States",seeking clinical analyst experience inpatient documentation information systems hospital healthcare setting responsibilities clinical documentation specialist performs review inpatient medical records identify documentation opportunities accurately represent severity illness risk mortality length stay intensity service hospital quality metrics improves overall quality completeness clinical documentation working closely providers application coding guidelines evidence based knowledge analysis depth review interpretation identification opportunities communication consistent follow evaluation concurrent retrospective required medical record documentation ability build powerforms tasking iview build maintenance mpages builds workflow mpages nursing ones tracking board build emergency maternity general knowledge orders prosum equal opportunity employer,hospital and healthcare,92,2,2,0,0,1,3,2,0.03260869565217391,0.021739130434782608
Facilities Manager - Hospital/Healthcare,"Memphis, TN, US",job summary purpose position manage multiple functions building operations maintenance hospital facility campus portfolio buildings must relative hospital healthcare facilities management experience well strong experience joint commission surveys essential duties responsibilities medical clinic healthcare experience needed oversight large number hospital beds square footage facilities management coordination working project management teams managing capital projects various sizes working sizable budgets strong client interfacing experience maintaining client relationship ceo cfo administration leading team supervisors technicians engineers tracking record innovation best practices team work leadership develops maintains positive relationships clients attends client meetings coordinates oversees manages repair maintenance work assignments performed technicians vendors contractors performing building maintenance landscaping janitorial work reviews work orders ensure assignments completed responsible facilities inspections reports coordinates manages moves adds change activities obtains reviews price quotes procurement parts services labor projects manages capital projects prepares capital project operating budget variance reports manages vendor relationships trains vendors work order billing procedures responsible invoice processing accuracy cost center coding uses pc pda work order system email ess training provides process procedure training conducts financial business analysis including preparation reports coordinates oversees manages repair maintenance work assignments performed technicians vendors contractors performing building maintenance landscaping janitorial work duties may assigned supervisory responsibilities provides formal supervision individual employees within single functional operational area recommends staff recruitment selection promotion advancement corrective action termination plans monitors appropriate staffing levels utilization labor including overtime prepares delivers performance appraisal staff mentors coaches team members develop competencies leads example models behaviors consistent companys values desired skills experience qualifications perform job successfully individual must able perform essential duty satisfactorily requirements listed representative knowledge skill ability required reasonable accommodations may made enable individuals disabilities perform essential functions education experience high school diploma general education degree ged required minimum four years related experience training associates degree bachelors degree preferred focus business technical management areas prior supervisory experience preferred certificates licenses facility management certification preferred drivers license may required communication skills excellent written verbal communication skills strong organizational analytical skills ability provide efficient timely reliable courteous service customers ability effectively present information ability respond effectively sensitive issues financial knowledge requires advanced knowledge financial terms principles ability calculate intermediate figures percentages discounts commissions conducts advanced financial analysis reasoning ability ability comprehend analyze interpret complex documents ability solve problems involving several options situations requires advanced analytical quantitative skills skills abilities intermediate skills microsoft office suite outlook intranet internet ability use work order system working knowledge architectural electrical mechanical systems working knowledge leases contracts related documents scope responsibility decisions made thorough understanding procedures company policies business practices achieve general results deadlines responsible setting work unit project deadlines errors judgment may cause short term impact department,hospital and healthcare,439,27,16,0,0,1,28,16,0.06378132118451026,0.03644646924829157
"Specialist, Hospital/Healthcare Capital Projects & Infrastructure","Chicago, IL, US",apply qualifications bachelor’s degree engineering architecture advanced degree preferred 3 5 years’ professional experience capital projects infrastructure preferable exposure hospital healthcare projects deep interest exposure way hospitals allocate building capital special expenditure significant experience working capex construction projects project management experience preferred high level entrepreneurship professionalism presence succeed team based setting ground clients enjoy hand’s change management operational implementation involving multiple stakeholders across hospital organization strong problem skills ability quickly process complex information present clearly simply change transformation efforts clients experience appetite analytics quantitative data analysis ideally health care sector comfortable traveling 80 week client site youll work part provider performance improvement ppi group within healthcare systems services practice provider performance improvement helps hospitals implement strategies operating models organizational enhancements sustain improvements quality care boost cost effectiveness youll work teams collaborate experts bottom design design optimization risk management contracting procurement construction management ramp production processes capital intensive healthcare projects likely carry lean construction project implementations capability building part youll develop short long term capability building plans relevant levels client leadership mckinsey client service teams anticipated deliverables outcomes required resources bring best capital instructure practice healthcare systems services practice leveraging operational analytical skills help executives meet challenges teams served market leading institutions well hospitals embarking large scale performance transformations youll actively engaged front line client teams involved construction new healthcare facilities stages strategic alignment design procurement execution role leverage expertise take ownership tenure appropriate client relationships guide clients appropriate syndication discussions well longer term front line implementation projects example working procurement project use existing operational process expertise procurement weigh knowledgeably clients procurement choices impact patient experience medical effectiveness total project cost deliver necessary analysis inform problem solving process translate analysis actionable insights client teams drive value capture,hospital and healthcare,286,15,3,0,0,4,19,3,0.06643356643356643,0.01048951048951049
Infection Prevention Coordinator,"Arlington, VA, US",infection prevention coordinator creating best outcomes patients requires right people virginia hospital center staff exceeds expectations performing top level profession virginia hospital center strong advocate employees provides true collaborative environment healthcare team works closely together bringing skill experience mutual respect task providing superior medical care patients individual position responsible health safety patients staff guests regarding identification prevention nosocomial infections exposure communicable diseases infection prevention coordinator also responsible health safety employees utilization osha standards cdc guidelines pay benefits addition salary benefit package includes paid major holidays vacation sick time health dental insurance 401 k assists improvement patient care identifying preventing controlling healthcare associated infections utilizing infection prevention surveillance methods institutes infection prevention measures prevent patient staff visitor exposures communicable diseases whenever necessary provides contact tracing follow exposure communicable diseases report appropriate health department appropriate assists preparation regulatory inspections surveys drills facilitating compliance applicable standards laws assists prevention healthcare associated infections assisting process managing sentinel events identified cases unanticipated death major permanent loss function associated healthcare acquired infection participates hand hygiene initiative includes cdc hand hygiene guidelines healthcare bachelors degree nursing public health related field required masters degree preferred graduate accredited medical school physician assistant program preferred two years infection prevention experience preferred one year experience wih aseptic techniques data analytics preferred certification infection control cic licensed registered nurse virginia department health professions compact state licensure nursing preferred,hospital and healthcare,226,4,9,0,0,3,7,9,0.030973451327433628,0.03982300884955752
