job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Human Resources Generalist,"Los Angeles, California, United States",title human resources generalist lucas group job id 1574486 location los angeles ca travel 50 week role overview lucas group partnered one long time retail clients fill brand new human resources generalist role added enhance employee relations effort role sit downtown los angeles warehouse support chatsworth warehouse emphasis role employee relations onboarding compliance safety must front line mentality direct experience warehouse distribution supply chain environments focused responsibilities position include limited execute proactive employee engagement programs ensure high levels management credibility business performance provide direction bench development process team members including performance management career development workforce planning support regional recruiting front line positions deliver full compliance strong diversity effective selection leverage leadership development training options improve leadership capability drive business growth provide counsel support managers employees ongoing hr initiatives projects key qualifications include ability willingness travel week 50 experience working within warehouse distribution center strong desired 3 years’ experience human resources coordinator generalist role progressive hr department bachelor’s degree strong business acumen hr experience proven track record hr partner operations environment experience proactive employee relations recruitment staffing employee relations including fact finding managing conflicts developing win win solutions desired ability lead influence collaborate environment knowledge state federal employment law including hr technical knowledge eeo aa fmla ada unemployment worker’s compensation lucas group since founding nearly 50 years ago lucas group led continuously transformed executive recruiting industry delivering transcendent executive talent corporate clients helping individuals fully realize career ambitions collaborative culture attracts rewards industry’s top recruiters coupled industry leading methodologies drives superior results unparalleled reach across major u cities job functions industries divisions specializing accounting finance human resources information technology legal military transition sales marketing supply chain operations well contract engineering one man operation 1970 atlanta lucas group grown nearly 450 employees success built unmatched customer service bottom line results objective trusted consultant professional recruiting placement needs,human resources,305,12,10,0,0,2,14,10,0.04590163934426229,0.03278688524590164
Human Resources Assistant,"44408, Columbiana, Ohio, United States",stg communication services currently seeking human resources administrative assistant join team job responsibilities include limited assisting day day operations hr functions duties providing clerical administrative support senior staff responsible human resources assistant duties including limited employee onboarding termination paperwork recruiting compliance benefits conduct initial orientation newly hired employees provides designated log credentials compile update employee records hard soft copies maintains employee information entering updating employment status change data maintains employee confidence protects operations keeping human resource information confidential skills qualifications reporting skills maintaining employee files dependability organization confidentiality independence orienting employees verbal communication teamwork requirements strong ability using microsoft office excel word powerpoint ability handle data confidentiality excellent communication interpersonal skills excellent organizational time management skills ability meet deadlines reports work daily timely basis assists special projects needed,human resources,128,6,8,0,0,0,6,8,0.046875,0.0625
Human Resources Generalist,"Elizabeth, New Jersey",location elizabeth nj type full time f hours 900 600 pm must flexible schedule must able work sundays needed ideal candidate responsible recruitment efforts new hire orientation onboarding employee termination payroll benefits company policy procedure adherence addition build strong relationships companys managers order help human resource needs responsibilities oversee full cycle recruitment efforts develop oversee new hire orientation onboarding efforts employee termination process ensures compliance company policies procedures legal responsibilities partner hr manager develop implement recruiting strategies anticipated staffing needs conduct exit interviews ensure necessary employment termination paperwork completed review employment applications job orders match applicants job requirements processes administers leave absence requests disability paperwork medical personal disability fmla qualifications bachelors degree equivalent experience business human resources related area 3 years experience working human resources strong interpersonal communication skills knowledge principles procedures personnel recruitment selection training compensation benefits labor relations negotiation personnel information systems works well pressure meets tight deadlines highly computer literate capability email ms office related must bilingual spanish,human resources,161,4,10,0,0,0,4,10,0.024844720496894408,0.062111801242236024
Human Resources Generalist,"Chicago, Illinois, United States",hr generalist midwest foods wholesale food distributor providing top quality food products numerous food establishments chicago surrounding suburbs michigan wisconsin indiana import fruits vegetables world distribute products local markets currently seeking hr generalist essential duties responsibilities serve bilingual point contact hr related functions oversee recruiting interviewing onboarding orientation process new candidates,human resources,51,0,2,0,0,0,0,2,0.0,0.0392156862745098
Human Resources Generalist,"575 Anton Boulevard 12th Floor, Costa Mesa, CA 92626, US",ideal candidate responsible new hire orientation onboarding employee termination payroll benefits company policy procedure adherence addition build strong relationships companys managers order help human resource needs responsibilities implements human resources programs providing human resources services including employment processing benefits administration training development records management safety health employee relations retention terminations,human resources,50,0,5,0,0,0,0,5,0.0,0.1
Human Resources Payroll Assistant,"Wilmington, CA, US",looking get foot door fortune 500 oil gas company? client looking add administrative assistant payroll experience team general direction human resources business partner position provides payroll timekeeping administrative support human resources department objectives must multi task oriented strong sense urgency ensure payroll deadlines met responsibilities human resources assistant may responsible interacts levels management including support staff outside vendors tracks new hire process schedules interviews manages applicant flow sets personnel files training records prepares monthly tracking status reports provides support biweekly semi monthly payroll process well using scheduling express prepares workforce queries using sap hr system maintains storage cages basement hr building purchases maintains inventory office supplies hr department manages attendance control tracking database sends notices supervisors assists scheduling training sessions hr training appropriate document records management primary focal point hr group works hr business partners recruiting selection activities provides support staffing express system execute payroll processing activities including generating accurate timely hourly represented payroll data sap cats per company policies collective bargaining agreements prepare file bi weekly monthly quarterly annual reports assist employees supervisors workforce timekeeping training payroll issues requests payroll information regular basis research payroll issues discrepancies process necessary corrections comply regulatory standards policies procedures payroll assist hr business partner necessary new hire documentation processing paperwork hires terminations promotions demotions status change forms transfer paperwork personnel actions providing quality courteous customer service employees hr business partner management sap hr personnel payroll administration transactions processing high volume incoming calls email requests timely manner reviewing monthly reports validate data handling wide range questions interprets policies procedures provide answers identifying process improvements assist implementing streamline processes maintaining broad knowledge hr processes policies procedures basic minimum qualifications high school diploma proficient perform skill limited assistance word excel powerpoint 3 5 years experience hr administrative support function must valid ca drivers license able travel companys two plant facilities needed two years experience handling payroll timekeeping functions including data entry knowledge familiarity california employment payroll laws regulations basic understanding experience hr eeo employment laws practices record keeping requirements handling confidential information must able take direction set priorities show initiative must able work team environment excellent verbal written communication skills able work independently able manage unplanned critical tasks time excellent organizational skills job requires frequent diverse interfaces levels management able maintain strict confidentiality establish effective work relationships levels organization preferred qualifications associates bachelors degree 1 2 years experience using sap hr knowledge disability benefits family medical leave act fmla attendance programs experience union environment skills apply primary services today,human resources,413,8,12,0,0,0,8,12,0.01937046004842615,0.029055690072639227
Human Resources Generalist,"Apopka, FL, US",job description pentair currently opening human resources generalist join team apopka fl location role human resources generalist manage administer implement hr policies procedures programs documentation human resources generalist participate employee relations management organization change facilitation termination process physical demands described representative must met employee successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions performing duties job employee frequently required stand walk sit reach hands arms talk hear work environment characteristics described representative employee encounters performing essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions performing duties job employee occasionally exposed moving mechanical parts factory floor may need work environment noise level could moderate loud expanding global presence cross cultural insight competence essential ongoing success believe diverse workforce contributes different perspectives creative ideas enable us continue improve every day race gender ethnicity country origin age personal style sexual orientation physical ability religion life experiences many factors contribute diversity take ongoing action improve diversity workforce,human resources,163,5,4,0,0,0,5,4,0.03067484662576687,0.024539877300613498
"Sr Manager, Human Resources","El Segundo, CA, US",join hundreds talented innovative team members making impact every day one iconic media brands nation whether love tell compelling stories want drive award winning powerhouse new directions los angeles times team place job description summary sr human resources manager directly responsible overall administration coordination evaluation human resource function including managing personnel position responsible leading broad range hr responsibilities including employee relations talent performance management career development compensation compliance benefits employee programs ability project manage programs initiatives understands business operations strategies ensures alignment hr activities strategic priorities business unit company highly dynamic role requires superior business acumen combined hr competencies facets including labor relations thank interest joining team los angeles times look forward reviewing application,human resources,114,6,7,0,0,1,7,7,0.06140350877192982,0.06140350877192982
Human Resources Assistant,"Marlborough, Massachusetts, United States",kelly services recruiting temporary hr assistant marlborough area first shift opportunity reputable company summary role provide first line human resources support plant operations ~400 employees marlborough hr assistant individual contributor work site hr manager global supply chain business segment key responsibilities include advise partner functional departmental leaders hr matters works leaders managers professionally execute corporate policies hr programs ensuring appropriate agreed levels quality delivery cost responsible supporting advising consulting aspects hr including salaried non salaried employee relations employee payroll compensation employee engagement organizational design change serving employee advocate balancing fair labor standards company policy practice business needs coaching counseling providing employees support related hr policies procedures relative transfer promotion compensation benefits conditions employment assist communication engagement change management support managers talent acquisition needs assist managing implementing training hr systems order maintain integrity employee organizational data conduct additional duties required qualifications bachelor’s degree business administration human resources industrial relations industrial organizational psychology related discipline business knowledge understanding human resource practices gained hr systems knowledge workday adp payroll,human resources,166,3,13,0,0,1,4,13,0.024096385542168676,0.0783132530120482
Human Resources Payroll Manager,Los Angeles Metropolitan Area,company overview tide rock holdings successful private capital investment firm begun making investments addiction treatment market goal building larger comprehensive behavioral health services company company provide enhanced mental health addiction services offer continuum care including residential treatment outpatient treatment telehealth wellness services first two acquisitions completed early 2020 addition carus recovery triumph recovery acquisitions already established strong foundation growth existing operations generating multi million dollar profit committed capital partner tide rock acquisition financing newly hired industry veteran ceo 15 years’ experience managing premier programs tide rock’s near term goal scale company multiple acquisitions 2020 drive organic growth position strategic addition company aimed strengthen human resources foundation support rapid growth due high response rates applicants match qualifications contacted,human resources,117,3,3,0,0,0,3,3,0.02564102564102564,0.02564102564102564
