job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
"Investigations Specialist, External Investigations","Goodyear, AZ, US",description investigations specialist external investigations provide support analysis investigation resolution services pertaining protection people product data amazon individual responsible actionable recommendations derived data analysis impact external loss protection programs investigations driving profitability shrink improvement additionally individual responsible pursuing field investigative matters customer seller vendor fraud leveraging various data points analytics across enterprise identify organized retail crime activity investigating accordingly investigations specialist external investigations key member security loss prevention team position based phoenix az report manager investigations strategic investigative solutions loss prevention global security operations amazon equal opportunity employer minority women disability veteran gender identity sexual orientation age amazon com services llc job id a1031803,security and investigations,104,8,3,0,0,2,10,3,0.09615384615384616,0.028846153846153848
Security Officer,"Long Beach, CA, US",overview founded faith based hospital 1923 sisters charity incarnate word dignity health st mary medical center 389 bed acute care nonprofit hospital located long beach california hospital offers full complement services including level ii trauma center cardiac vascular center surgical weight loss maternity care center recognized prep center excellence hospital shares legacy humankindness dignity health one nations five largest health care systems visit information security officer expected provide reasonably safe secure environment enter dignity health properties assure physical security buildings grounds expected security officer demonstrate behavior consistent dignity health core value humankindness security officer shall support dignity healths strategic plan goals direction quality improvement process improvement activities responsibilities include hellosecurityofficer security officer guard safety protection guard card iahss law enforcement military service police public safety equal opportunity dignity health equal opportunity affirmative action employer committed diverse inclusive workforce qualified applicants considered employment without regard race color religion sex sexual orientation gender identity national origin age disability marital status parental status ancestry veteran status genetic information characteristic protected law information eeo rights applicant please dignity health discharge manner discriminate employees applicants inquired discussed disclosed pay pay another employee applicant however employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractors legal duty furnish information 41 cfr 60 1 35 c external hires must pass post offer pre employment background check drug screen qualified applicants arrest conviction considered employment manner consistent federal state laws well applicable local ordinances ban box laws including limited san francisco los angeles fair chance ordinances need reasonable accommodation part employment process please contact us telephone let us know nature request respond messages left involve request reasonable accommodation application process accommodate needs qualified candidate requests reasonable accommodation americans disabilities act ada dignity health participates e verify,security and investigations,317,11,5,0,0,0,11,5,0.03470031545741325,0.015772870662460567
Security and Safety Officer,"Polson, MT, US",description providence calling security safety officer hospital administration variable shift 0 9 fte providence st joseph medical center polson montana community caregivers delivering every day mission provide compassionate care accessible especially poor vulnerable primary shift variable shift subject change depending department need providence st joseph medical center 22 bed critical access hospital beautiful northwest montana employing nearly 250 employees including physicians expanding services building renovations outstanding technology community hospital heart medical care polson montana large sparsely populated surrounding area close ties st patrick hospital providences tertiary center located 66 miles away missoula http www providenceiscalling jobs rewards benefits expressions god’s healing love witnessed ministry jesus steadfast serving especially poor vulnerable providence health services profit catholic network hospitals care centers health plans physicians clinics home health care services guided mission caring sisters providence began 160 years ago providence proud equal opportunity employer providence discriminate basis race color gender disability veteran military status religion age creed national origin sexual identity expression sexual orientation marital status genetic information basis prohibited local state federal law full time variable facilities security montana polson 256689,security and investigations,179,0,7,0,0,0,0,7,0.0,0.03910614525139665
Investigations and Inquiries Specialist,"Los Angeles, CA, US",duties help duties summary additional information announcement may used fill one vacancies duties responsibilities vary may increase according grade level public notice may used fill target grades e gs 05 gs 07 learn agency travel required occasional travel may expected travel position supervisory status promotion potential 7 1801 general inspection investigation enforcement compliance series help conditions employment basic qualifications least one year specialized experience equivalent gs 04 level federal service equipped particular knowledge skills abilities ksas successfully perform duties position typically related position filled specialized experience least one year specialized experience equivalent gs 05 level federal service equipped particular knowledge skills abilities ksas successfully perform duties position typically related position filled view qualifying educational requirements combination education specialized experience click following link https www opm gov policy data oversight classification qualifications general schedule qualification standards 1800 general inspection investigation enforcement compliance series 1801 knowledge skills abilities ksas qualifications evaluated basis level knowledge skills abilities competencies following areas part time unpaid experience credit given appropriate unpaid part time work must clearly identify duties responsibilities position held total number hours per week volunteer work experience refers paid unpaid experience including volunteer work done national service programs e peace corps americorps organizations e g professional philanthropic religious spiritual community student social volunteer work helps build critical competencies knowledge skills provide valuable training experience translates directly paid employment receive credit qualifying experience including volunteer experience education using education qualify must provide transcripts support educational claims education must accredited accrediting institution recognized u department education foreign education education completed foreign colleges universities may used meet requirements must show proof education credentials deemed least equivalent gained conventional u education program responsibility provide evidence applying sdl2019 258,security and investigations,280,9,11,0,0,1,10,11,0.03571428571428571,0.039285714285714285
Information Security Analyst (Incident Response),"Los Angeles, CA, US",spacex founded belief future humanity exploring stars fundamentally exciting one today spacex actively developing technologies make possible ultimate goal enabling human life mars information security analyst incident response target nation states people focused brand destruction information drives business must protect unauthorized changes improper destruction loss theft information highly visible dynamic organization must also value guard damage reputation brand finally paramount defend loss control confidence systems order guarantee highest probability mission success spacex information security analysts responsible network monitoring preventative detective controls forensics investigations security awareness security vulnerability management cyber threat intelligence activities spacex equal opportunity employer employment spacex governed basis merit competence qualifications influenced manner race color religion gender national origin ethnicity veteran status disability status age sexual orientation gender identity marital status mental physical disability legally protected status applicants wishing view copy spacexs affirmative action plan veterans individuals disabilities applicants requiring reasonable accommodation application interview process notify human resources department 310 363 6000,security and investigations,154,9,3,0,0,0,9,3,0.05844155844155844,0.01948051948051948
Security Officer,"Los Angeles, CA, US",brief job description ensure security buildings property maintain log findings action taken perform administrative functions creating incident reports conducting investigations follow protocol terms student check center grounds check identification students staff permit deny entrance exit assist center staff conducting safety inspection duties assigned education experience requirements high school diploma equivalent one year security experience united states armed forces organized police department firefighting organization preferred valid california guard card preferred valid drivers license acceptable driving record applicants must pass background check drug test wage 15 00 hour los angeles job corps job corps cost education career technical training program administered u department labor helps young people ages 16 24 improve quality lives career technical academic training job corps program authorized title c workforce innovation opportunity act 2014 supersedes wia 1998 information job corps program national level please visit official public web site http www jobcorps gov los angeles job corps center support job corps programs mission teach eligible young people skills need become employable independent place meaningful jobs education management training corporation equal opportunity employer minority female disability veteran,security and investigations,178,3,5,0,1,1,4,6,0.02247191011235955,0.033707865168539325
Security Officer,"Long Beach, CA, US",overview founded faith based hospital 1923 sisters charity incarnate word dignity health st mary medical center 389 bed acute care nonprofit hospital located long beach california hospital offers full complement services including level ii trauma center cardiac vascular center surgical weight loss maternity care center recognized prep center excellence hospital shares legacy humankindness dignity health one nations five largest health care systems visit information responsibilities security officer expected provide reasonably safe secure environment enter dignity health properties assure physical security buildings grounds expected security officer demonstrate behavior consistent dignity health core value humankindness security officer shall support dignity healths strategic plan goals direction quality improvement process improvement activities protecting staff patients visitors responding calls assistance timely prudent manner violent unruly patients visitors crimes committed progress opening doors responding emergency codes patrol facility grounds foot vehicle monitor security alarms dispatch officers promptly location needed report unsafe acts conditions knowledge emergency procedures equipment supplies reports hippa breaches witnessed investigate security breaches conduct follow investigations write incident reports log activities daily log accurately record events 2 complete clear concise legible reports timely manner use appropriate emergency radio codes dispatching security officers knowing hospital campus ensure dispatched right location hellosecurityofficer security officer guard safety protection guard card iahss law enforcement military service police public safety qualifications minimum requirements minimum 6 months experience security officer involving extensive public contact required completion iahss basic training healthcare security officer within 90 days hire cpr training within 60 days hire must able communicate clearly orally writing must able speak english current drivers license issued state wherein position posted satisfactory dmv report file ability obtain one within 30 days hire current state issued security officer license applicable showing disciplinary actions workplace violence training annually preferred requirements one year experience security officer hospital healthcare setting prior law enforcement military service completion college level education courses criminal justice preferred equal opportunity dignity health equal opportunity affirmative action employer committed diverse inclusive workforce qualified applicants considered employment without regard race color religion sex sexual orientation gender identity national origin age disability marital status parental status ancestry veteran status genetic information characteristic protected law information eeo rights applicant please dignity health discharge manner discriminate employees applicants inquired discussed disclosed pay pay another employee applicant however employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractors legal duty furnish information 41 cfr 60 1 35 c external hires must pass post offer pre employment background check drug screen qualified applicants arrest conviction considered employment manner consistent federal state laws well applicable local ordinances ban box laws including limited san francisco los angeles fair chance ordinances need reasonable accommodation part employment process please contact us telephone 415 438 5575 let us know nature request respond messages left involve request reasonable accommodation application process accommodate needs qualified candidate requests reasonable accommodation americans disabilities act ada dignity health participates e verify,security and investigations,503,12,7,0,0,0,12,7,0.02385685884691849,0.013916500994035786
Security & Protection Agent,"Malibu, CA, US",gavin de becker associates dynamic security firm innovating threat assessment public figure protection mission aims protect enhance lives serve media figures transnational corporations universities womens shelters gdba stands front line assessment prediction management violence gavin de becker associates equal opportunity employer psd agents advise risk public figure clients protect theyre needed homes offices travel agents manage security operations dispatch command center create localized point analyzing security challenges disseminating information agents responsible enhancing safety security remaining alert times also play crucial role adding comfort convenience lives serve residential security executive protection protective services physical readiness,security and investigations,94,2,2,0,0,0,2,2,0.02127659574468085,0.02127659574468085
Security Officer,"El Monte, CA, US",overview allied universal ® security professionals assist clients public large providing essential jobs keep communities safe secure time need help ever immediate employment opportunities allied universal also employs interview process complete comfort home online application video interviewing technology north america’s leading security services provider 200 000 phenomenal employees invite apply join team job description allied universal seeking position professional security officer security officers embrace company’s core values sure visit jobs aus com security jobs learn company professional security officer allied universal responsible security safety client’s property personnel allied universal security officer know site specific policies procedures implement emergency response activities appropriate providing superior customer service qualifications requirements least 18 years age high school diploma equivalent possess effective written oral communication interpersonal skills ability deal levels personnel general public professional effective manner valid guard card license required state applying condition employment employee must successfully complete background investigation drug screen accordance federal state local laws display exceptional customer service communication skills intermediate computer skills operate innovative wireless technology client specific sites ability handle crisis situations client site calmly efficiently able work various environments cold weather rain snow heat occasionally lift carry 40 pounds climb stairs ramps ladders occasionally shift stand walk various surfaces long periods time closing allied universal provides unparalleled service systems solutions people business communities north america’s leading security services provider 200 000 employees allied universal delivers high quality tailored solutions allows clients focus core business information www aus com proudly support veteran jobs mission group 200 companies committed collectively hiring total one million military veterans eoe minorities females vet disability allied universal services equal opportunity employer committed hiring diverse workforce requisition id 2020 419218 options apply apply share email friend refer sorry share function working properly moment please refresh page try later share newsfeed,security and investigations,295,12,15,0,1,5,17,16,0.0576271186440678,0.05423728813559322
Field Security Officer (FSO),"Orange, CA, US",field security officer fso supervise direct security measures volts two cleared facilities manage overall security program organization staffing company provides employees clients defense aerospace manufacturing industries part time 30 hours week benefits reports chief legal officer position remote work volt office essential responsibilities administer execute strong security program compliance nispom nispom supplement dod 5105 21 1 comsec manual 90 1 dcids associated corporate government policies directives process new employee security clearances track security clearance investigations perform administrative support functions design administer comprehensive security education training program interface government prime contract customers security related issues prepare maintain security program procedures access knowledge use maintenance jpas e qip ncaiss sub applications niss stepp performance maintenance personnel security investigations perform required self inspections security programs works closely local dss industrial security representatives participate audits prepares maintains policy procedures handling storing keeping records related personnel visitor access sensitive data prepares assessments involving possible security violations initiates measures correct security deficiencies receive prepare issue maintenance dd254s provide input review request proposals wherein dd254s operations security opsec plans applicable coordinate corporate management security related matters duties assigned expected outcomes ensures compliant processes procedures respect applicable security regulations qualifications required skills thorough knowledge nispom supplement knowledge supporting security disciplines including document control visitor processing personnel security processing sci security processes procedures knowledgeable government online security systems including e qip jpas diss ability articulate present concise intelligent decisive risk managed recommendations demonstrate effective interpersonal skills work employees leaders levels organization strong organizational skills strong working knowledge physical personnel security requirements job requirements role u citizenship active top secret security clearance strongly preferred minimum active secret level clearance required minimum 2 years experience fso must valid drivers license ability operate vehicle must able maintain required security clearances applicants considered employment subject verification security clearances background investigations required skills effectively communicates writing effectively communicates verbally telephone effectively communicates person internal staff external customers field employees critical thinking ability take initiative strong computer internet skills ability work independently desired skills experience qualifications required skills thorough knowledge nispom supplement knowledge supporting security disciplines including document control visitor processing personnel security processing sci security processes procedures knowledgeable government online security systems including e qip jpas diss ability articulate present concise intelligent decisive risk managed recommendations demonstrate effective interpersonal skills work employees leaders levels organization strong organizational skills strong working knowledge physical personnel security requirements job requirements role u citizenship active top secret security clearance strongly preferred least active secret level clearance required minimum 2 years experience fso must valid drivers license ability operate vehicle must able maintain required security clearances applicants considered employment subject verification security clearances background investigations required skills effectively communicates writing effectively communicates verbally telephone effectively communicates person internal staff external customers field employees critical thinking ability take initiative strong computer internet skills ability work independently,security and investigations,466,21,20,0,0,0,21,20,0.045064377682403435,0.04291845493562232
