job_title,employer_location,job_description,industry,job_desc_count,masculine_counts,feminine_counts,mas_pron_counts,fem_pron_counts,sup_counts,mas_tot,fem_tot,mas_ratio,fem_ratio
Veterinary Assistant/Animal Care Attendant Opening,"Tarzana, CA, US",description **animal care assistant veterinary assistant opening small animal hospital valley** tarzana pet clinic long standing general practice small animals deep ties community tarzana pet clinic values compassionate high quality veterinary care pets provides excellent customer service upbeat fun working environment tarzana looking animal care veterinary assistant help lead veterinary care team provide medical anesthetic surgical assistance needed right candidate 1 love animals 2 wants new challenge 3 train prefer previous experience veterinary medicine 4 upbeat energetic outgoing personality 5 desire learn 6 ability lead train others tarzana pet clinic offers amazing benefits including 1 highly competitive pay 2 medical dental benefits ft employees 3 pet care discounts 4 uniform ce allowance 5 401 k match 6 paid holidays 7 stable work schedule 8 paid vacation also call overnights holidays come join amazing team look forward reviewing application soon requirements,vetinary,140,4,4,0,0,0,4,4,0.02857142857142857,0.02857142857142857
Vetco Veterinary Assistant,"Redondo Beach, CA, US",we’re obsessed health pets offer variety vet services meet needs customers means wealth career opportunities whether you’re licensed veterinarian veterinarian support professional located inside petco stores vetco wellness centers offer professional expertise common pet health problems vetco vaccination clinics offer variety preventive care services healthy dogs cats inside petco unleashed petco retail stores across us rather permanent presence clinics function like pop ups inside petco stores crew veterinarian arrive store equipment vaccines medications everything else need take care pets see position purpose vetco veterinary assistant meet veterinary team local dispatch office travel assigned petco clinic locations day clinics team veterinary assistants greet pet parents recommend veterinary services best protect pets veterinary assistant assist veterinarian services administered thank pet parent protecting pet essential job functionsthe incumbent must able perform following duties responsibilities without reasonable accommodation must love dogs cats people team player thrives supporting team every way make educated recommendations clients providing exceptional customer service works hard fun eager learn ability work changing environments traveling throughout market responsible accountable individuals attitude education experience available work saturdays sundays comfortable dogs cats breeds sizes ability appropriately safely restrain necessary fractious pets able lift 50 lbs stand long periods time strong product knowledge including heartworm preventatives flea preventatives vaccines strong knowledge intestinal parasites prevention heartworm prevention heartworm disease cats dogs detail oriented ability think clearly multitask busy environment ability perform basic math accurately strong client education communication skills bi lingual skills preferred required attitude team player minimum,vetinary,243,3,6,0,0,3,6,6,0.024691358024691357,0.024691358024691357
Veterinary Assistant,"Cleveland, TN, US",immedicate opening veterinary assistant seeking motivated compassionate hard working team members experience veterinary hospital required full time job includes rotating holiday work every weekend hours experience proper restraint dogs cats respectful client communication needed also experience avimark software idexx plus employment type full time bonus commission,vetinary,46,0,3,0,0,0,0,3,0.0,0.06521739130434782
Veterinary Assistant,"Manhattan Beach, CA, US",job description veterinary assistant vca animal medical dental group manhattan beach ca essential functions venipuncture catheter placement,vetinary,17,0,0,0,0,0,0,0,0.0,0.0
Veterinary Assistant,"Redondo Beach, CA, US",description position pv village pet hospital pv village pet hospital looking motivated friendly veterinary assistant join team ideal candidate excellent communication skills ability work effectively efficiently fast paced environment pv village pet hospital modern state art hospital located blocks away beach busy hospital wonderful team potential professional development invest heavily employees long term growth happiness offer wonderful benefit packages including medical vision dental life 401k paid time generous pet benefits well continuing education bonuses much much passionate pets providing exemplary veterinary care join team,vetinary,84,2,2,0,0,1,3,2,0.03571428571428571,0.023809523809523808
Veterinary Assistant,"Hawthorne, CA, US",veterinary assistant careers banfield pet hospital want put love pets action jobs rewarding vet assistant working closely pet health care professionals banfield you’ll chance advocate pets educate clients aspects pet health addition goal advance career you’ll access variety learning development opportunities along way job description summary veterinary assistant key member hospital team supports assists veterinarians veterinary technicians ensuring safety pets clients associates continuity quality veterinary care preferred education licenses certificate completion navta approved veterinary assistant program equivalent combination education training experience provides required knowledge skills abilities high school diploma equivalent preferred preferred experience must able perform required skills navta approved veterinary assistant programs level aids efficiency practice desired skills experience day life banfield veterinary assistant vet assistant provides professional efficient exceptional service times making sure clients pets comfortable hospital use technical skills daily basis within state practice acts outlined navta guidelines veterinary assistant skills duties responsibilities include helping maintain flow patients communicating veterinarian vet techs carrying setting procedures require veterinarian vet tech assistance adhering hospital standards keep pets safe treatment areas exam rooms labs clean organized educating clients optimum wellness plans® importance preventive care mentoring members hospital team commitment beyond qualifications every associate including vet assistant important contribution make veterinary team we’re looking vet assistants dedicated work positive attitude use five principles quality responsibility mutuality efficiency freedom guide addition vet assistants action oriented customer focused good listeners effective communicators caring care benefits banfield veterinary assistant comes benefits support personal wellness professional development offer wide range perks programs help take care family—including pets personal health savings wellness benefits every team member needs appreciated vet assistants receive generous benefits package including 401 k participation paid time optimum wellness plans pets addition medical vision dental life disability insurance offered associates based eligibility potential big passion whether you’re new vet assistant working years changing careers we’ll support professional growth performance development plans designed help reach established careers goals relevant learning opportunities networking events ways offer skills community support structure helps thrive we’ve created one kind leadership structure throughout practice includes support corporate headquarters field hospital level together team making real impact pet health care hospitals communities field veterinary medicine start banfield career veterinary assistant learn impact make part banfield hospital team see support wellness people profession view full job description you’re ready make move apply today banfield pet hospital® strongly supports values uniqueness individuals promotes work environment diversity embraced banfield pet hospital equal opportunity employer qualified applicants receive consideration employment without regard race religion color national origin sex sexual orientation gender identity age genetic information status protected veteran status qualified individual disability banfield pet hospital complies applicable federal state local laws governing nondiscrimination employment every banfield location,vetinary,443,14,28,0,0,4,18,28,0.040632054176072234,0.06320541760722348
Veterinary Technician,"Los Angeles, California, United States",ideal candidate 2 3 years credentialed veterinary technician experienced veterinary assistants also considered vts vts eligible technicians strongly encouraged apply veterinarians fully supportive pursuing vts administration understands value vts compensates accordingly current vts ecc allowed use skills trained candidates able work independently busy schedules ideal candidate also comfortable discussing medications treatments clients well following client inquiries candidates professional friendly courteous able multi task well basic computer skills organizational skills excellent communication skills mash offers full medical benefits sick pay paid vacation generous retirement plan offer highly competitive pay well shift differentials overnight technicians strongly encourage continuing education support wish attend ce mash provides house ce twice month veterinarians well leading speakers veterinary medicine,vetinary,113,7,4,0,0,1,8,4,0.07079646017699115,0.035398230088495575
Vetco Veterinary Assistant,"Redondo Beach, CA, US",we’re obsessed health pets offer variety vet services meet needs customers means wealth career opportunities whether you’re licensed veterinarian veterinarian support professional located inside petco stores vetco wellness centers offer professional expertise common pet health problems vetco vaccination clinics offer variety preventive care services healthy dogs cats inside petco unleashed petco retail stores across us rather permanent presence clinics function like pop ups inside petco stores crew veterinarian arrive store equipment vaccines medications everything else need take care pets see vetco veterinary assistant meet veterinary team local dispatch office travel assigned petco clinic locations day clinics team veterinary assistants greet pet parents recommend veterinary services best protect pets veterinary assistant assist veterinarian services administered thank pet parent protecting pet w minimum,vetinary,121,0,1,0,0,3,3,1,0.024793388429752067,0.008264462809917356
Veterinary Assistant,"Marietta, GA, US",town country west veterinary clinic looking experienced veterinary assistant veterinary technician committed providing best care available looking someone motivated devoted ensuring patients clients get best care want someone compassionate professional willing learn experience avimark plus since clinic must able handle stressful situations emergencies arise fast paced veterinary clinic wants someone able connect clients nurture encourage lifelong relationships positive attitude first step job requirements medical vision dental employee discounts retirement plan long term disability please ask us conditions drug testing drug free workplace member must willing drug tested pay rate 10 15 based experience job require work 1 saturday eow 800 230 pm 10 hour shifts 4 times week alternating weeks town country west veterinary clinic located 1770 powder springs rd sw marietta ga 30064 visit website https www tcwvetclinic com information providing highest standards veterinary care four legged companions marietta georgia doctors staff town country west veterinary clinic devoted practice veterinary medicine greatly respect human animal bond honor relationships forged clients patients invite learn us participate preventative care patients develop implement treatment plans injured sick patients provide individualized care patients unique situation partnership clients education provide goal make every effort provide highest quality life four legged friends,vetinary,197,2,10,0,0,3,5,10,0.025380710659898477,0.050761421319796954
Veterinary Technician,"Santa Ana, CA, US",job direct hire represented staffing agency manage jobs applicant tracking system interested position redirect healthstaffconnect com join complete application please sure choose veterinary technician job title company overview privately owned full service veterinary surgical hospital located tustin area designed patients health well recovery mind veterinary team uses latest state art techniques equipment provide top quality veterinary care sounds like place please consider joining team seeking veterinary technician qualified candidate outgoing enthusiastic compassionate afraid get dirty person great customer champion wonderful communicator problem solver passionate patient advocate person professional trustworthy punctual always smiling powered jazzhr,vetinary,94,1,3,0,0,1,2,3,0.02127659574468085,0.031914893617021274
