num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eec371b61d0cb9d84898f48,55:07.6,0,"Spec, Project Management",L3Harris Technologies,"Greenville, TX, US",Posted 1 week ago,25,job id ims20200906 46331 date posted 06 09 2020 l3harris is dedicated to recruiting and developing diverse high performing talent who are passionate about what they do our employees are unified in a shared dedication to our customers’ mission and quest for professional growth l3harris provides an inclusive engaging environment designed to empower employees and promote work life success fundamental to our culture is an unwavering focus on values dedication to our communities and commitment to excellence in everything we do  l3harris technologies is an agile global aerospace and defense technology innovator delivering end to end solutions that meet customers’ mission critical needs the company provides advanced defense and commercial technologies across air land sea space and cyber domains l3harris has approximately 17 billion in annual revenue 50 000 employees and customers in more than 130 countries l3harris com description job title spec project management job code ims20200906 46331 job location greenville tx job description the spec project management will function as the point of contract between the program office functional management the customer supplier relationships and other stakeholders to coordinate efforts to ensure successful resolutions of program issues  essential functions manage the material budget for assigned program provide accurate material forecast assists in providing comprehensive business analysis of program material requirements and manage impact to program eacs for all material related actions work collaboratively with program office and functional management as well as other stakeholders to define and assign task requirements estimate and establish budget and schedules determine appropriate performance metrics clarify priorities and develop and implement specific management plans to support the program interact with engineering  engineering design reviews planning procurement and manufacturing personnel to ensure appropriate drawings are released and program schedules are achieved assists in reviewing proposals  statements of work sow to establish status metrics and reporting methods that assists with make buy decisions follows up on open purchase orders verifies delivery participates in resolving supplier issues approves payment and maintains necessary records of material movement throughout manufacturing and inventory cycle s  utilize program management tools to monitor and report program performance to objectives including budget schedule and other management requirements  and facilitate project coordination and decision making lead participate in integrated product teams to assure successful program execution and drive non value added costs out of the program provide proposal support to include estimating the scope of mpm labor and material efforts  qualifications bachelor degree with a minimum of five 5 years of relevant experience an equivalent combination of education and experience may also be considered active dod secret clearance required 3 years in a similar technical pm or equivalent leadership capacity strong project management skills outstanding communication both verbally and written  negotiation organizational and leadership skills recent experience in commercial and military aviation aerospace products development and production is highly desired knowledge of manpower planning milestone scheduling pm tools and related financial management must have high attention to detail capable of managing and working in an environment that is fast paced demanding with a focus on problem resolution and process improvement strong organizational and time management skills intermediate knowledge of microsoft office products to include word excel powerpoint outlook and project extensive experience with sap and material processes strongly preferred proven team player with outstanding customer relationship skills  preferred additional skills previous material management experience please be aware many of our positions require the ability to obtain a security clearance security clearances may only be granted to u s citizens in addition applicants who accept a conditional offer of employment may be subject to government security investigation s and must meet eligibility requirements for access to classified information  by submitting your résumé for this position you understand and agree that l3harris technologies may share your résumé as well as any other related personal information or documentation you provide with its subsidiaries and affiliated companies for the purpose of considering you for other available positions  l3harris technologies is proud to be an affirmative action equal opportunity employer l3harris is committed to treating all employees and applicants for employment with respect and dignity and maintaining a workplace that is free from unlawful discrimination all applicants will be considered for employment without regard to race color religion age national origin ancestry ethnicity gender including pregnancy childbirth breastfeeding or other related medical conditions  gender identity gender expression sexual orientation marital status veteran status disability genetic information citizenship status characteristic or membership in any other group protected by federal state or local laws l3harris maintains a drug free workplace and performs pre employment substance abuse testing and background checks where permitted by law ,Associate,aviation & aerospace,"['Information Technology & Services', 'Defense & Space', 'Computer Software']",Full-time,"['Project Management', 'Information Technology']",https://www.linkedin.com/jobs/view/1900199695/?eBP=CwEAAAFywViEMXGvgGML1AePN7t6MJ_zUfE0THL3QQ1jH5DtEVbZ7DHabJBzXndfaBm03OWRlcacq2Yi1ulvX_e5eALeTORtFS9-hiykpn29h6rGUUY5DkTyv2jE1SZe414fl1Efr4Ii5W7FX4lBpJxQCDTWhhpmU5uYKmj4lutFjXYCwP316aEFMHvNn1aL9-Re5hwz04avDip_8T5XRm50vB5AGO3TIPO_A_jAUisJz0hO2OgCJqXR5ifgH_fPiavirfI7QiPPig0TAcRWLcV-aTQIo573kqKrSEukLhstuIuFIkTkQBjwcL33kdxphoy2DYg1IiuJ3fSgEscQY78IMglUPXDyptVrxbaMkqTLIzZvxPvRg_6lOF2AlIgnt6qOGilMee5VDax0R-NC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
2,5eec372f61d0cb9d84898f4b,55:27.7,3,Logs and Records Clerk - CA0016867389,Tyonek Native Corp,"San Diego, CA, US",Posted 7 months ago,25,less thanpless thanstronggeneral descriptionless than strongless than pless thanulless thanlithis job is at a depot level repair facility maintenance on types of aircraft which include but not limited to av 8 c 130 c 2 e 2 ea 6b f a 18 h 1 h 53 h 60 mq 8 p 3 p 8 f 35 and v 22 military aviation platform experience is a plus less than liless than ulless thanpless thanstrongdutiesless than strongless than pless thanulless thanliat least two years of documented experience in aerospace and or aircraft log and records procedures and processes less than liless thanliprovide verification to the cor of this experience during the first 30 days of performance and or upon hiring less than liless thanlireview all incoming ready for issue rfi engine logbooks and included documentation for accuracy and completeness and maintain these logs throughout the depot custody of the engine less than liless thanlireview screen and transcribe into the logbook from completed work documents the actual work performed on the engines in accordance with the cnafinst 4790 2b less than liless thanliscreen for accuracy all scheduled removal component src cards module service record msr cards equipment historical record ehr cards and assembly service record asr cards to ensure all information is compatible with the latest technical publications and is in the format required by the cnafinst 4790 2b less than liless thanlithrough analysis of completed work documents ensure that all work directed has been accomplished and certified in all respects and that applicable changes and bulletins have been incorporated and are in compliance with the most current technical publications less than liless thanlireview all technical directive bulletins and change configuration sheets from the shop processing documents reflecting those technical directives accomplished during the processing of the engine accessories for inclusion in the logbooks less than liless thanlifurnish a completed f404 f1d2 engine module log record data sheet and f404 f1d2 engine parts life tracking sheet with every f404 f1d2 engine module for the purpose of parts life tracking system comprehensive engine management system plts cems entry by the engine production data technician less than liless thanliknowledge to interpret technical directives engineering pertaining to inspections modifications maintenance and rework of engines less than liless thanlihave thorough knowledge of the cnafinst 4790 2b and make logbook entries consistent with the guidelines of the cnafinst 4790 2b less than liless thanlihave the knowledge of production control functions reporting procedures and have a thorough knowledge of the routing system that moves components and engines through the rework process less than liless thanliinput and extract technical directive information and src cards asr cards msr cards tracking information for engines and components from various computer systems and programs less than liless thanlishall be required on occasion to use their judgment within established parameters specified within cnafinst 4790 2b to interpret the specific entry required for the logbook less than liless thanlimust be aware of the importance of correctly transcribing information into the engine logbooks which may ultimately affect the airworthiness of an aircraft omissions and inaccuracies may create dangerous or questionable conditions necessitating expenditure of numerous man hours to correct or prove entries or if not corrected or proven could mean the loss of life and aircraft less than liless thanlimust be a qualified typist and have the ability to operate commonly used computer terminals less than liless thanliother duties as assigned less than liless than ulless thanpless thanstrongeducation experience requirementsless than strongless than pless thanulless thanlihigh school diploma or equivalentless than liless thanli,Entry level,aviation & aerospace,"['Electrical & Electronic Manufacturing', 'Defense & Space', 'Aviation & Aerospace']",Full-time,['Administrative'],https://www.linkedin.com/jobs/view/1607235371/?eBP=NotAvailableFromVoyagerAPI&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
3,5eec373d61d0cb9d84898f4d,55:41.5,5,Aerospace Engineer 4 - LVSA,Teledyne Technologies Incorporated,"Cape Canaveral, FL, US",,No longer accepting applications,teledyne brown engineering inc is an industry leader in engineered systems and advanced manufacturing the company provides full spectrum systems engineering integration manufacturing and lifecycle sustainment solutions to the marine aviation aerospace and defense energy and environment markets teledyne brown has expertise in systems integration technology development hardware design prototype development system test and evaluation advanced manufacturing performance based logistics solutions and operations and maintenance teledyne brown engineering is seeking a motivated articulate aerospace professional to serve as the lvsa subject matter expert liaison at ksc in order to coordinate and control l 6 pre launch through post launch activities in accordance with policies procedures and guidelines the lvsa liaison will possess the initiative to work autonomously and communicate effectively with tbe program management in huntsville alabama  work location primarily at ksc florida with occasional travel to huntsville alabama  primary duties establish communication channels and associations with key ksc personnel who will provide access maintenance and security for lvsa at ksc represent tbe at meetings and provide meeting minutes back to tbe leadership attend and participate in lifting and stacking meetings and become knowledgeable about the process and requirements at ksc assist in drafting “rules of engagement” for any post dd250 activities that warrant tbe involvement develop a monitoring and reporting method for lvsa cleanliness health maintenance and surveillance develop and update check list for routine inspections on lvsa coordinate incident reports and investigations with exploration ground systems egs  initiate and participate in repair projects provide on site support for post repair evaluations understand and coordinate for physical storage of kits loose items once delivered to ksc maintain additional ancillary equipment and supplies i e things that will be needed but not necessarily a part of the loose items kit  observe and monitor activities and events at ksc that influence lvsa and report to leadership become involved with any and all certificate of flight readiness cofr activities and understand processes become familiar with tbe qa processes and documentation represent tbe on nonconformance issues and mrb’s this position will require administrative technical writing and coordination directly with customers occasional support during nights and weekends will be needed required qualifications supervisory work experience in nasa or dod aerospace field 10 years required us citizen capable of obtaining a security clearance bachelors in a technical discipline from an accredited institution required excellence in business communications manners and appearance on behalf of tbe for customer and coworker communications required experience working independently and on integrated product teams ipts  required 15 travel required  travel up to 15 to other customer and vendor locations in the usa preferred qualifications experience in working with vendors who support nasa preferred nasa space flight hardware experience preferred work experience in and around kennedy space center preferred hands on experience in developing or producing space vehicle flight hardware preferred this position is on site with the customer at kennedy space center in central florida attendance at meetings and other training may be required at huntsville alabama offices ,Associate,aviation & aerospace,"['Electrical & Electronic Manufacturing', 'Construction', 'Mechanical Or Industrial Engineering']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1851197194/?eBP=NotAvailableFromVoyagerAPI&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
4,5eec374b61d0cb9d84898f4f,55:55.5,7,Enforcement Investigator,U.S. Department of Transportation,"El Segundo, CA, US",Posted 2 weeks ago,25,duties help duties summary the office of aerospace medicine aam develops and manages medical programs in support of aviation safety learn more about this agency responsibilities the incumbent serves as an enforcement investigator for the special investigations branch aam 830 within the drug abatement division of the office of aerospace medicine aam  this position performs multiple varying and complex assignments under the minimal direction of a manager applies experience and comprehensive technical knowledge when conducting complex investigations and in planning scheduling and conducting ongoing monitoring of industry operations in accordance with 14 cfr part 120 and 49 cfr part 40 conducts comprehensive investigations of individuals and employers in violation of the dot faa drug and alcohol testing regulations throughout the united states and its territories prepares final written reports of these investigations which may result in administrative civil penalty or certificate action defines organizes and assigns resources to accomplish program and organizational objectives provides testimony and or serves as a technical advisor to the faas office of chief counsel during hearings and in preparation for hearings works across functional and organizational lines often representing aam avs faa as a technical point of contact communicating complex technical information with stakeholders both internal and external to the faa and at all levels of management establishes and maintains liaison with other services and offices and lines of business and civil aviation security and when required law enforcement officials to assure compliance and enforcement of drug and alcohol regulations interprets policy provides guidance and instruction to stakeholders internally and externally to the faa defines organizes and assigns resources to accomplish organizational objectives provides guidance to lower level staff on how to solve difficult technical issues resolves all but unique technical problems without the intervention of management or a more experienced technical specialist work is rarely reviewed typically through status reports and completion of projects work activities directly impact the objectives of aam avs and faa ensuring the safety of the aerospace industry and customers performs other duties as assigned travel required 50 or less  the job may require up to 50 travel supervisory status no promotion potential na job family series 1801 general inspection investigation enforcement and compliance series requirements help requirements conditions of employment us citizenship is required selective service registration is required for males born after 12 31 1959 must submit an sf50 see required documents a one year probationary period may be required successful completion of a security investigation may be required please review required documents  additional information qualifications reference opms group coverage qualification standard for administrative and management positions to qualify for this position at the fv j fg gs 14 level you must demonstrate in your application that you possess at least one year of specialized experience equivalent to fv i fg gs 13 level specialized experience is experience that has equipped you with the particular knowledge skills and abilities to perform successfully the duties of the position to be filled and that is typically in or related to the work of the position to be filled specialized experience may include but not limited to experience working with drug and alcohol testing programs defining and organizing resources to accomplish organizational objectives experience preparing and reviewing drug and alcohol investigation reports and experience analyzing statistical data networking and building relationships with stakeholders across multiple layers of an organization agency and industry applicants should provide examples of specialized experience in their work history education see qualifications required  ksa information as a part of the federal wide hiring reform initiative streamlining the hiring process  the faa is committed to eliminating the use of the knowledge skills and ability ksa narratives from the initial application in the hiring process for all announcements therefore as an applicant for this announcement you are not required to provide a narrative response in the text box listed below each ksa in lieu of providing a ksa narrative response in the text box listed below each knowledge skills and abilities ksas  in your work history please include information that provides specific examples of how you meet the response level or answer you chose for each ksa your work history examples should be specific and clearly reflect the highest level of ability your ksa answers will be evaluated further to validate whether the level that you selected is appropriate based on the work history and experience you provided your answers may be adjusted by a human resource specialist as appropriate eligible applicants meeting the minimum qualification requirements and selective factor s  if applicable may be further evaluated on the ksas and other factors listed in the announcement based on this evaluation applicants will be placed in one of the following categories score order category grouping or alphabetical and referred to the selecting official for consideration preview job questionnaire make sure your resume includes detailed information to support your qualifications and answers to the job questionnaire ,Associate,aviation & aerospace,"['Construction', 'Government Administration', 'Financial Services']",Full-time,"['Other', 'Information Technology', 'Management']",https://www.linkedin.com/jobs/view/1907330778/?eBP=NotAvailableFromVoyagerAPI&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
5,5eec375261d0cb9d84898f50,56:02.2,8,Mission Systems Engineer,"Whitney, Bradley & Brown (WBB)","Eustis, FL, US",Posted 4 weeks ago,25,job title mission systems engineer project overview this position is contingent upon contract award position requires technical expertise related to various aviation mission systems technology areas to include avionics human systems interfaces autonomy survivability lethality and sensors the scope of work ranges from concept definition and analysis through development to test evaluation and demonstration of new capabilities through simulation and flight events including support of the future vertical lift fvl family of systems fos  job description and responsibilities the mission systems engineer will be supporting the army science  technology st programs and will provide software engineering support services and be involved in the development integration and evaluation of software intensive mission systems products  responsibilities will include performing tasks that provide engineering technical and managerial direction for problem definition analysis requirement development and implementation for complex systems required to meet technical requirements participating in efforts that develop recommendations and advice on system development improvements optimization or support efforts supporting analysis and implementation of hardware and software systems requirements and researching summarizing and evaluating engineering data and preparing engineering and test reports for customer review interacting with customer representatives concerning the status of assigned tasks administering and coordinating tasks for assigned project work activities arranging periodic management meetings for staff and customer representatives compiling materials for customer briefings and proposal presentations potentially evaluating proposal pricing preparing funding packages and participate in marketing activities may also estimate manpower needs and scheduling requirements for assigned activities required skills and qualifications security clearance secret active secret security clearance bachelors degree general experience with approximately with five years in an engineering discipline such as systems industrial civil aviation aerospace electrical mechanical nuclear chemical information computer software telecommunications information security network or other engineering disciplines experience requirement preferred is 12 years minimum is 8 desired skills and qualifications experience with army technology development directorate  aviation technology systems integration  demonstration tdd a sid operational experience with army aviation rotorcraft experience as a pilot or copilot gunner graduate of naval test pilot school or other service equivalent travel 10 location fort eustis va wbb is a technical and management consulting company that provides innovative products and services that solve government and commercial customers toughest problems for more than 30 years wbb has set the standard for excellence in consulting services while providing its employees with an outstanding work environment with ample opportunities for growth and success wbb continues to enjoy impressive growth which is directly attributed to the companys hiring practice of always hiring the very best professionals from government military and industry we are proud of our diverse environment and are an equal opportunity employer wbb is committed to a policy of equal employment opportunity wbb participates in e verify wbb does not accept unsolicited resumes through or from search firms or staffing agencies all unsolicited resumes will be considered the property of wbb and wbb will not be obligated to pay a placement fee ,Entry level,aviation & aerospace,['Staffing & Recruiting'],Full-time,['Information Technology'],https://www.linkedin.com/jobs/view/1905936820/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
6,5eec375861d0cb9d84898f51,56:08.7,9,Manager Training 3 - Mfg Production,ClearedJobs.Net,"Palmdale, CA, US",,No longer accepting applications,at northrop grumman our employees have incredible opportunities to work on revolutionary systems in air and space that impact people’s lives around the world today and for generations to come our work preserves freedom and democracy and advances human discovery and our understanding of the universe we look for people who have bold new ideas courage and a pioneering spirit to join forces to invent the future and have a lot of fun along the way our culture thrives on intellectual curiosity cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible our employees are not only part of history they’re making history as a leader you always act with integrity and the highest ethical standards characterize everything you do you enable your team to achieve predictable and balanced results while satisfying the needs of internal and external partners you treat all people with respect and you modelpersonal growth and continuous development you know how to build an inclusive environment that attracts retains and inspires a diverse and engaged team you develop trusted and valued customer relationships and communicate effectively so that people throughout the organization feel engaged and connected to their work you deliver excellence strive for continuous improvement and respond vigorously to change you ensure that your team has the information and tools needed to perform at their best you demonstrate our committed pursuit of applying innovation to meet the requirements of our customer you craft and execute strategies that result in sustainable value creation that delivers measurable results if this is you…keep reading northrop grumman aeronautics systems has an opening for a training manager 3 to join our team of qualified diverse individuals this position will be located in palmdale ca the selected candidate will be responsible for the compliancbasic qualifications high school diploma ged with 7 years of experience in an aviation aerospace maintenance or manufacturing production role 5 years of experience in training and staffing 5 years leadership experience active dod secret clearance ability to obtain and maintain program access as needed by the business ability to travel up to 25 preferred qualifications bachelor’s degree current special program access experience with manufacturing production operations excellent 2 way communication skills  upward and downward excellent communication interpersonal skills and the ability to interface with all levels of employees and management experience with curriculum development experience leading coaching and overseeing training teams northrop grumman is committed to hiring and retaining a diverse workforce we are proud to be an equal opportunity affirmative action employer making decisions without regard to race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability or any other protected class for our complete eeo aa and pay transparency statement please visit www northropgrumman com eeo u s citizenship is required for most positions nglinkedas 1ngspace ngfeaturedjobs aslasvegas,Mid-Senior level,aviation & aerospace,"['Construction', 'Information Technology & Services', 'Telecommunications']",Full-time,['Human Resources'],https://www.linkedin.com/jobs/view/1897427880/?eBP=NotAvailableFromVoyagerAPI&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
7,5eec375f61d0cb9d84898f52,56:15.3,10,Electronics Engineer,U.S. Department of Transportation,"Oklahoma City, OK, US",Posted 1 week ago,25,dutieshelpdutiessummaryajw 178 provides operational support engineering for faa owned data communications equipment used in the national airspace system nas  ajw 178 is the highest level of engineering expertise in the faa for these systems learn more about this agencyresponsibilitiesprovide technical assistance to field facilities that are maintaining nas equipment and restoring nas services perform modification engineering to resolve problems with nas equipment develop and maintain technical documentation used in the maintenance of nas systems and services provide technical assistance to washington program offices fielding new nas equipment incumbent is responsible for national modifications and technical maintenance of hardware and software concerns in communications systems equipment and facilities of the national airspace system the incumbent will perform the following duties under the direction of a more experienced engineer analyze operational maintenance and logistical problems to determine functional impact and technical course of action to correct prepare engineering study reports detailing results of analysis and recommendations develop hardware and software modifications to correct problems with communications systems develop test plans procedures and quality control techniques to insure quality of product generate directives needed to implement modifications review and analyze technical maintenance documentation for communications systems to ensure it is complete accurate and adequate develop new documents or changes to existing ones to correct discrepancies identified and reflect modifications provide technical assistance to field personnel to resolve problems and restore nas services provide technical consulting to headquarters program offices in the development of new nas communications systems travel is required in the performance of duties performs multiple varying and complex assignments and plans the implementation of projects programs under limited direction of a manager project program manager or more experienced engineer may act as a contributing specialist on large work activities or as a team leader for single or small work activities applies experience and advanced knowledge of engineering principles theories and concepts applicable to his her discipline to accomplish assignments and to develop plans and techniques to improve programs and policies understands how his her technical area interacts with or is affected by other disciplines and considers the objectives of the major subdivision and lob so when developing integrating and implementing solutions to diverse complex problems typical assignments may include system design and integration extensive research and shared responsibility for project program management defines plans and organizes assigned resources to accomplish organizational objectives allocates resources to accomplish small work activities within established schedules contacts are internal and external may act as a key technical point of contact for assigned activities contributes to the preparation of management technical reports or contractual documents and may be called upon to communicate the overall results of a project or work activity to faa management the aviation and aerospace industries and other external parties established policies procedures provide guidance for most assignments but allow considerable discretion to select the most appropriate approach or to recommend new approaches assignments typically require solutions that are to be derived by interpreting and extrapolating from situations that were faced in the past provides recommendations to improve work processes provides guidance to lower level staff to solve difficult technical issues resolves all but unique technical problems without the intervention of management or a more experienced engineer identifies and informs management of problems that require their attention often develops and recommends techniques to address problem situations work is reviewed periodically typically at major milestones and at completion for technical compliance and alignment with the requirements of the project or other work activity travel required25 or less  the job may require up to 25 travel supervisory statusnopromotion potentialna* job family series 0855 electronics engineering* requirementshelprequirementsconditions of employment* us citizenship is required * selective service registration is required for males born after 12 31 1959 * must submit an sf50 see required documents * this position has a positive education requirement transcript s required qualificationsto view the complete qualification standard applicants should reference  u s office of personnel management the individual occupational requirements for all professional engineering positions 0800 https www opm gov policy data oversight classification qualifications general schedule qualification standards 0800 files all professional engineering positions 0800 pdfbasic requirementsa degree engineering to be acceptable the program must 1 lead to a bachelors degree in a school of engineering with at least one program accredited by abet or 2 include differential and integral calculus and courses more advanced than first year physics and chemistry in five of the following seven areas of engineering science or physics a statics dynamics b strength of materials stress strain relationships  c fluid mechanics hydraulics d thermodynamics e electrical fields and circuits f nature and properties of materials relating particle and aggregate structure to properties  and g any other comparable area of fundamental engineering science or physics such as optics heat transfer soil mechanics or electronics orb combination of education and experience  college level education training and or technical experience that furnished 1 a thorough knowledge of the physical and mathematical sciences underlying engineering and 2 a good understanding both theoretical and practical of the engineering sciences and techniques and their applications to one of the branches of engineering the adequacy of such background must be demonstrated by one of the following professional registration or licensure  current registration as an engineer intern ei  engineer in training eit 1 or licensure as a professional engineer pe by any state the district of columbia guam or puerto rico absent other means of qualifying under this standard those applicants who achieved such registration by means other than written test e g  state grandfather or eminence provisions are eligible only for positions that are within or closely related to the specialty field of their registration for example an applicant who attains registration through a state boards eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions written test  evidence of having successfully passed the fundamentals of engineering fe 2 examination or any other written test required for professional registration by an engineering licensure board in the various states the district of columbia guam and puerto rico specified academic courses  successful completion of at least 60 semester hours of courses in the physical mathematical and engineering sciences and that included the courses specified in the basic requirements under paragraph a the courses must be fully acceptable toward meeting the requirements of an engineering program as described in paragraph a related curriculum  successful completion of a curriculum leading to a bachelors degree in an appropriate scientific field e g  engineering technology physics chemistry architecture computer science mathematics hydrology or geology may be accepted in lieu of a bachelors degree in engineering provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance ordinarily there should be either an established plan of intensive training to develop professional engineering competence or several years of prior professional engineering type experience e g  in interdisciplinary positions  the above examples of related curricula are not all inclusive to qualify for this position you must demonstrate in your application that you possess at least one year of specialized experience equivalent to fv h fg gs 11 specialized experience is experience that has equipped you with the particular knowledge skills and abilities to perform successfully the duties of the position specialized experience includes but is not limited to experience providing engineering modifications for a complex communications system that included reading and tracing schematic diagrams for troubleshooting and resolving hardware problems experience working with internet working technology requirements and specifications please include examples of specialized experience in your work history qualification requirements must be met by the closing date of this vacancy announcement educationthis position has a positive education requirement applicants must submit a copy of their college or university transcripts s and certificates by the closing date of announcement to verify qualifications if selected an official transcript will be required prior to appointment you may upload these documents with your application in usajobs or fax it to fax number provided in the announcement please include announcement number on each page failure to do so will result in loss of consideration schools must be accredited by an accrediting institution recognized by the u s department of education accreditation may be verified at the following website www ed gov admins finaid accred index html foreign education must be evaluated by a private professional organization specializing in interpretation of foreign education credentials or an accredited u s educational institution in terms of equivalence to a degree acquired at an american college or university a copy of the evaluation results must be included otherwise your foreign education will not be considered preview job questionnairemake sure your resume includes detailed information to support your qualifications and answers to the job questionnaire ,Entry level,aviation & aerospace,['Staffing & Recruiting'],Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1906133257/?eBP=NotAvailableFromVoyagerAPI&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
8,5eec376c61d0cb9d84898f54,56:28.4,12,Avionics Technician 4 - Deployable,HiredAllied.com,"Edwards Air Force Base, CA, US",Posted 6 days ago,25,are you interested in expanding your career through experience and exposure all the while supporting a mission that seeks to ensure the security of our nation and its allies? if so then northrop grumman may be the place for you  as a leading global security company providing innovative systems products and solutions to customers worldwide northrop grumman offers an extraordinary portfolio of capabilities and technologies here at northrop grumman we are comprised of professionals that bring different perspectives are curious about the world accepting of each other and understand that the more ideas backgrounds and experiences we bring to our work then the more innovative we can be as we continue to build our talented workforce we look for professionals that exemplify our core values leadership characteristics and approach to innovation  job description northrop grumman defense systems is seeking an avionics technician 4 for a rotational oconus position based out of palmdale ca the successful candidate installs tests troubleshoots and repairs avionics systems wiring in aircraft in accordance with technical specifications engineering instructions and faa regulations fabricates installs and tests installation routing clamping and wiring harnesses reads wiring diagrams and blueprints reads wiring diagrams and blueprints ability to operate specialty vehicles able to perform work in an approved environment during specified work hours ability to understand and follow basic instructions and guidelines able to relay and receive information ability to be subject to a variety of physical conditions  the selected candidate may receive additional training and be cross utilized into aircraft low observable maintenance to fulfill the daily activities and duties required to meet contract requirements low observable tasks include repair of composite or metallic structures and sanding stripping testing masking and other preparation tasks temporary assigned work location can be at edwards afb ca  qualifications basic qualifications high school diploma or equivalent and 6 years additional education and or related experience must be willing to work a flexible work schedule that may include extended shifts holidays and weekends and support on call status for 24 hours a day 7 days a week 365 days a year must have the ability to obtain and maintain a valid u s passport accept customer furnished quarters for a period up to 120 days away from primary work location and comply with mobility requirements must meet medical requirements for worldwide travel which include a physical must have complete understanding of aviation and aerospace technical data must be a us citizen and have a current and active dod secret clearance must have the ability to obtain and retain special program access clearance within 365 days from submission  preferred qualifications operational experience is preferred over manufacturing or production but all candidates will be considered  northrop grumman is committed to hiring and retaining a diverse workforce we are proud to be an equal opportunity affirmative action employer making decisions without regard to race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability or any other protected class for our complete eeo aa statement please visit www northropgrumman com eeo  u s citizenship is required for this position ,Entry level,aviation & aerospace,"['Financial Services', 'Hospital & Health Care', 'Pharmaceuticals']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1904836939/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
9,5eec377361d0cb9d84898f55,56:35.3,13,Aircraft Low Observ Mech 3 (Deployable),ClearedJobs.Net,"Palmdale, CA, US",Posted 1 month ago,25,are you interested in expanding your career through experience and exposure all the while supporting a mission that seeks to ensure the security of our nation and its allies? if so then northrop grumman may be the place for you as a leading global security company we provide innovative systems products and solutions to our customers worldwide we are comprised of diverse professionals that bring different perspectives and ideas understanding that the more experiences we bring to our work the more innovative we can be as we continue to build our workforce we look for people that exemplify our core values leadership characteristics and approach to innovation  northrop grumman defense systems is seeking a principal aircraft low observable mechanic for a rotational oconus program based at palmdale ca the successful candidate will be r esponsible for all aircraft low observable outer mold line structures materials and applications prepares composite or metallic surfaces for coating applications by performing various operations such as sanding stripping applying vacuum performing porosity testing masking and other preparation tasks mixes and applies sealants gap fillers and any other required processes prior to paint which may require the use of heating devices mixes and applies paints and other coatings at the proper spraying consistency applies additional surface details to manufacturer specifications performs or coordinates component level testing for specification compliance after applications have been completed may perform similar duties in aircraft build modification or maintenance role  the selected candidate may receive additional training and be cross utilized into general aircraft maintenance to fulfill the daily activities and duties required to meet contract requirements aircraft maintenance tasks include performing minor structural repairs and modifications troubleshoots repairs and services aircraft and engine systems basic qualifications high school diploma ged and 4 years additional education or aviation and aerospace industry related experience a valid u s passport accept customer furnished quarters for a period up to 180 days away from primary work location and comply with mobility requirements meet medical requirements for worldwide travel perform work assignments at palmdale and edwards afb ca willing to work a flexible work schedule that may include extended shifts holidays and weekends and support on call status for 24 hours a day 7 days a week 365 days a year must be a us citizen and hold a minimum active dod top secret security clearance a bility to obtain and retain special program access clearance within 365 days from submission is a condition of employment preferred qualifications aviation and aerospace industry operational experience is preferred over manufacturing or production but all candidates will be considered northrop grumman is committed to hiring and retaining a diverse workforce we are proud to be an equal opportunity affirmative action employer making decisions without regard to race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability or any other protected class for our complete eeo aa statement please visit www northropgrumman com eeo u s citizenship is required for this position ,Associate,aviation & aerospace,"['Information Technology & Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1904908997/?eBP=NotAvailableFromVoyagerAPI&refId=335c780c-0603-4197-9d00-45116699c0b8&trk=d_flagship3_search_srp_jobs
