num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5ee6dc2cd5a897ae6cd953b4,25:48.3,0,Business Intelligence Engineer,Brooksource,Greater Chicago Area,Posted 1 week ago,"Posted Date
Posted 1 week ago
Number of applicants
90 applicants",brooksources private healthcare client is looking for a bi applications  system administrator to join their bi team in the northwest suburbs of chicago this individual will start on a 6 month contract to full time hire the full time conversion is expected to be shortly after the initial 6 month contract duration  responsibilities administration supports and administers the business objects and tableau server environments monitoring uses application performance monitoring tools to evaluate and take real time actions to ensure continuity of internal reporting environment capacity planning utilizes monitoring tools and analytics to evaluate bi application capacity and plans for growth upgrades provides technical support testing and implementation of software upgrades for bi applications maintenance and recovery coordinates and executes maintenance plans inclusive of system backups and restarts develops disaster recovery plans and checklists support provides day to day support for business questions related to bi applications security develops and applies security protocols for bi applications performance tuning evaluates recommends and implements improvements to tableau dashboards business objects reports and overall server environments team player works closely with other functional areas and overseas resources to accomplish team objectives skills at least 4 years of experience in tableau and business objects report development at least 3 years of experience in tableau and or business objects application administration experience leading and conducting business objects and or tableau server upgrades and maintenance activities demonstrated proficiency for working in fast paced work environments in a matrixed organization demonstrated proficiency for resolving system performance and capacity issues demonstrated experience working with infrastructure network dba and development teams within an it organization excellent verbal and written communication skills are required ability to self direct and accomplish objectives as part of larger project teams familiarity with sso and various user authentication protocols is preferred familiarity with java web applications is preferred experience with tableau prep is preferred strong sql skills are preferred experience with metadata management tools is preferred education certification a minimum bachelor’s degree in computer science engineering or a related information technology field ,Mid-Senior level,Computer Software,['Information Technology & Services'],Contract,"['Information Technology', 'Engineering', 'Other']",https://www.linkedin.com/jobs/view/1877047728/?eBP=CwEAAAFytcVioGOLf59BMPB7MO75O-oAZokYQvLS_R9fEtTC_HdTiMrxSRhiPB_b1B4zTdu6ieGqZIj2Bxdt-uVjIIm39dKjSpmsXDTlXZwLfnFmjT6_auo-HJM6tBWU1oWo8kCirag3aAhynaS83RUlbQp8mCIdOnBv813-cDvh3NZEbiUQK1AR3l_m3ZtkeVhVExg95wiNjarrOoEinLByQ5iqG4lQH_Rk7B3iAT238xkV_HPh7VMH-sd3lugqXZSiN2S-TsH8uzi4eNDDOG5PdLhgoQWaLT1v6T9OlKx4rN8FcC9tf1O8-TesxSzbXnVgIMNVJnVdj_XoOoubGjtZWyj_LGbifJQYcNvDWLkzZzFgJY5ade2csvfDTSQx6mmbzWXhRVvSYU3Th5RU&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
2,5ee6dc3ad5a897ae6cd953b6,26:02.3,2,Data Scientist,XSELL Technologies,"Chicago, Illinois, United States",Posted 1 week ago,200,ready to write the best chapter of your career? xsell technologies is an artificial intelligence company focused on increasing sales our cloud based machine learning engine uses predictive analytics and natural language processing to equip sales professionals with the best real time responses driving improved conversion rates and customer experiences we pride ourselves on our high performing collaborative culture we are passionate about our product our clients and our industry leading results xsell is currently seeking a data scientist to serve as a key member of our data science team this role will work within the safe agile framework of continuous delivery work with other data scientists and be a critical resource for our growing data science staff  job description designing implementing and improving xsell’s proprietary softwares real time messaging recommendation systems hipercobot and qabot using various mathematical natural language processing nlp algorithms and machine learning models developing new systems using python nlp lemmatization stemming named entity recognition and updating the existing systems by adding new features to enhance the customers experience interacting with stakeholders to identify the requirements and define new processes closely work with the team to define the architecture of the microservice environment and deploy systems using restful api’s planning development and analysis of dialogue prediction sentiment models causal models of customer agent behavior improving the accuracy of the in house xsell recommendation system software suite by evaluating and monitoring annotations manually labelled by ontology team analyzing and researching the current market trends for possible ai opportunities improvements qualifications ms phd in a quantitative discipline e g machine learning data science computer science mathematics statistics or a related field  3 years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data proficiency in python with knowledge of basic libraries for data manipulation machine learning natural language processing and text mining experience creating and using advanced machine learning algorithms regression neural networks etc  understanding of deep learning algorithms and experience with related libraries such as tensorflow pytorch nice to have experience in sql understanding of object oriented design ability to craft new concepts and stay current with academic research experience with graph databases and graph designs experience in designing developing production level machine learning architectures using flask or redis we provide competitive compensation generous benefits and a professional atmosphere xsell fosters an entrepreneurial results driven work environment where you will have the opportunity to be part of a collaborative inclusive team and be able to grow and develop your professional career xsell technologies is an equal employment opportunity employer and all employment decisions shall be made without regard to age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity or expression genetic information marital status citizenship status or any other basis as protected by federal state or local law ,Mid-Senior level,Computer Software,['Computer Software'],Full-time,['Information Technology'],https://www.linkedin.com/jobs/view/1878128078/?eBP=CwEAAAFytcVioDr_VtPeqCFEjzOQjS4cwWLUFKBTHUchYhAApsYg9rX7GKqrm5w_AsWd9XffNXvjAArmQM3sBl_FjunUvIuwh4RguEZB6OWdEY7IM5Jkb15AvgkTdftxclbQH6bOh3a6LZZqC4U5u-FPs22cXQzkEPHaDBjGu8trpU3Jma4GrRWSvkECjdHAQFA_pmLy6XcbVtSlN5lxcKO9BMLVJQRexNclWy-aC9PNknBRs5uzg1NeMB6DML200PzgKUe-opqdwDCeZgg1bshPqhjYVoCxahEjKA61ySc_Z7W-BkXuiZsq63TMupgR1ij0J_R01XYZfOV0ApIczM4NDfDV__d_75S_jY2WWEolFMc8hhWLCflIpprnsElHpY2oWzaSbyBwWvwK1O1T&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
3,5ee6dc40d5a897ae6cd953b7,26:08.7,3,Associate Software Engineer,Jam City,"Culver City, California, US",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
63 applicants",as a leading mobile games developer jam city is looking to “level up” our talent we’re on the hunt for innovators who consider themselves dynamic collaborative and thrive in a fast paced environment  perks  benefits unlimited vacation paid sick days  holidays 100 employee covered medical dental vision plan base plan life insurance 401k flexible spending accounts commuter benefits  more catered lunches  well stocked kitchens yoga  wellness activities happy hours company events dog friendly responsibilities working with the design team to create features which contribute to the overall fun and challenge of the game play a substantial role in day to day coding participating in performance profiling optimization and general troubleshooting as necessary participate with the rest of the engineering organization providing valuable input on the companys long term engineering roadmap and helping identify areas of opportunity for improvement participate in prototyping meetings to provide technical perspective  qualifications 2 years specifically with c development a history of developing software and enthusiasm to work with small teams in a collaborative environment demonstrated competency in several of the following specialties with an expertise in one gameplay physics 3d graphics rendering networking optimization analytics demonstrated knowledge of several platforms with experience preferred on ios android and browser based games demonstrated command of applicable programming languages and knowledge of software design including modularity event driven architecture object oriented design extensibility and testability team player with strong communication skills  nice to have python unity  unreal c java proven problem solving skills and the ability to jump on a system and identify its flaws and their solution quickly demonstrated knowledge of software best practices demonstrated ability to solve complex code problems efficiently demonstrated experience in building new software technology self starter analytical creative highly motivated with a visionary spirit familiarity with git jenkins jira  about jam city jam city is an award winning mobile entertainment studio providing unique and deeply engaging games that appeal to a broad global audience  led by ceo chris dewolfe former myspace co founder and ceo and coo josh yguado former 20th century fox executive jam city is the creative powerhouse behind some of the highest grossing and most enduring mobile games jam city’s global franchise cookie jam has generated more than half a billion dollars and panda pop has more than 120 million downloads to date  the company also is the go to studio for hollywood having developed immersive narrative rich mobile games around iconic entertainment brands the company’s popular rpg game harry potter hogwarts mystery was the 1 game in more than 40 countries at its launch in april 2018  jam city has nine studios located in los angeles hq  berlin buenos aires bogotá burbank cedar falls san diego san francisco and toronto ,Entry level,Computer Software,"['Computer Software', 'Entertainment', 'Computer Games']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1880963888/?eBP=JOB_SEARCH_ORGANIC&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
4,5ee6dc47d5a897ae6cd953b8,26:15.2,4,Software Engineer,CGTech,"Irvine, California, United States",Posted 6 days ago,200,cgtech is a stable and consistently profitable business owned and managed by the original founders since 1988 we are looking for a software engineer to join our growing team headquartered in irvine california cgtech specializes in numerical control nc cnc simulation verification optimization and analysis software technology for manufacturing since 1988 vericut® software has become the industry standard for simulating cnc machining in order to detect errors potential collisions or areas of inefficiency cgtech also offers machine independent off line programming and simulation software for automated fiber placement cnc machines with offices worldwide vericut software is used by companies of all sizes universities trade schools and government agencies  software engineer is responsible for and is involved in the design and development of vericut software to meet customer requirements through team and individual efforts  qualifications 2 years of programming experience preferred strong proficiency in java c c experience with gui and computer graphics understanding of algorithms and data structures solid understanding of 3d concepts strong math skills and background excellent problem solving software design coding testing and debugging skills bachelor’s of science degree in computer science computer engineering or related field in addition to the above the following qualifications are desirable but not required experience in commercial software development for windows knowledge of cad cam development manufacturing experience job type full time,Entry level,Computer Software,['Computer Software'],Full-time,"['Engineering', 'Manufacturing']",https://www.linkedin.com/jobs/view/1865665708/?eBP=JOB_SEARCH_ORGANIC&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
5,5ee6dc4dd5a897ae6cd953b9,26:21.8,5,Office Engineer,Ghirardelli Associates,Los Angeles Metropolitan Area,Posted 4 days ago,"Posted Date
Posted 4 days ago
Number of applicants
34 applicants",location various locations  los angeles metropolitan area www ghirardelliassoc com at ghirardelli associates we believe that thinking outside of the box is the spark to set innovation on fire ghirardelli associates is a full service construction management firm with 20 years of experience providing service throughout california our company inspires ingenuity by providing cutting edge solutions to our clients with a commitment to exceptional service we are proud to shape the communities we live in while creating a positive environment for our associates to foster creativity and growth  position summary the office engineer will undertake responsibility for contract administration of one or multiple concurrent construction projects the oe is committed to making certain that the project moves smoothly ensuring teamwork efficiency and clear communication with project team members including contractors agencies and staff this position will serve as the on site field administrator of activities related to construction projects field orders submittals and project documentation  duties and responsibilities • assists the resident engineer and or project manager in all aspects of required office construction engineering work including setting up and maintaining project files writing contract change orders processing required documents and progress payments as necessary • office engineers shall be knowledgeable in computer applications and computer software programs such as microsoft word and microsoft excel • develops and maintains an organized and complete set of records and procedures for the project • review negotiate and make recommendation for change orders • review submittals deliverables and other construction documents for completeness and accuracy • monitors and schedules all necessary construction staking surveys field and material inspections and preliminary acceptance and specialty testing as required throughout the contract • provide and maintain logs for rfls change orders submittals request for quotations correction notices stop work notices and related construction documents • track process and distribute submittals rfi’s design submittals shop drawings product data and work plans • prepare weekly reports on progress of submittal rfi and design submittal reviews to the resident engineer • maintains the as built drawings for change order updates and assists project lead in ensuring field staff updates as built drawings as required • assists the project lead in preparing final project closeout documents including the resolution of potential claims skills qualifications • high school diploma or equivalent • a b s or b a degree in an appropriate construction related technical or engineering field is preferred • minimum of 4 years of construction and engineering experience directly related to general field administration on significant construction projects is required • ability to communicate with project team staff or others • candidate should be detailed oriented and organized • strong applied experience with computer applications and computer software programs such as microsoft word microsoft excel or equivalent • assists with administering training programs and assists with writing training manuals • caltrans experience highly desired  physical demands working conditions the physical demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions  while performing the duties of this job the associate is regularly required to sit for up to 6 to 8 hours per day while working at a computer during meeting or while driving walking up to 2 hours per day while performing field visits ability to see well enough to function in a typical office environment and read standard text on paper and electronic screen of a computer or handheld device the associate frequently is required to use hands repetitive reaching repetitive hand use physical agility to perform tasks requiring a full range of body movements including lifting pushing pulling bending stretching twisting reaching balancing squatting climbing crawling kneeling or assuming crouched positions repetitive arm hand finger wrist leg or foot motion the employee must frequently lift and or move up to 10 pounds and occasionally lift and or move up to 25 pounds frequently use safety equipment such as a hard hat and safety vest work in areas not well ventilated such as utility vaults work outdoors or work on uneven ground or floor spaces work at elevations above ground level must be able to work in all weather conditions and can work any day of the week both night and day available for after hour emergency response  benefits health benefits medical insurance  united healthcare and kaiser dental insurance  metlife vision plan  vsp flexible spending plan fsa health spending account hsa globalfit membership wellness rewards program financial benefits life insurance long term disability profit sharing 401 k plan work  life pto bereavement leave 9 holidays education allowance bonuses company vehicle depending on assignment  ghirardelli associates is an equal opportunity employer all aspects of employment including the decision to hire promote discipline or discharge will be based on merit competence performance and business needs we do not discriminate on the basis of race color religion marital status age national origin ancestry physical or mental disability medical condition pregnancy genetic information gender sexual orientation gender identity or expression veteran status or any other status protected under federal state or local law,Associate,Computer Software,['Civil Engineering'],Full-time,"['Consulting', 'Engineering', 'Project Management']",https://www.linkedin.com/jobs/view/1901408414/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
6,5ee6dc54d5a897ae6cd953ba,26:28.5,6,"Product Manager, AR",Snap Inc.,"Los Angeles, CA, US",Posted 1 day ago,"Posted Date
Posted 1 day ago
Number of applicants
42 applicants",we’re looking for a product manager to join snap inc as a member of the spectacles team you will drive the roadmap and execution for future versions of spectacles our sunglasses that snap working from our los angeles headquarters you’ll collaborate with designers and engineers to define and build new generations of spectacles that combine cutting edge camera technology and software  what you’ll do define and own delivery for the key strategic product milestones for spectacles collaborate with designers engineers data scientists and user researchers to analyze patterns and trends to identify new opportunities for spectacles drive strategic planning that combines new hardware capabilities with innovative software to produce unique ar experiences lead cross functional teams to prioritize and pursue the highest impact opportunities manage a long term roadmap for spectacles that includes in app features hardware capabilities partnerships internal tools and data analytics knowledge skills  abilities experience performing product oriented quantitative analysis including statistical analysis ability to execute against defined objectives both tactically and strategically ability to initiate and lead cross functional projects to completion with minimal guidance ability to communicate the results of analyses clearly and effectively minimum qualifications bachelor’s degree or equivalent years of experience 5 years of product management and or strategy experience at a consumer electronics or technology company preferred qualifications experience creating integrated hardware software products or platform ecosystem products a team player who can collaborate with engineers designers and other cross functional teams a seasoned strategist analyst and product minded thinker a passion for snapchat and creativity at snap we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate snap is proud to be an equal opportunity employer and committed to providing employment opportunities regardless of race religious creed color national origin ancestry physical disability mental disability medical condition genetic information marital status sex gender gender identity gender expression pregnancy childbirth and breastfeeding age sexual orientation military or veteran status or any other protected classification in accordance with applicable federal state and local laws eoe including disability vets if you have a disability or special need that requires accommodation please don’t be shy and contact us at accommodations extsnap com ,Entry level,Computer Software,"['Marketing & Advertising', 'Computer Software', 'Internet']",Full-time,"['Product Management', 'Marketing']",https://www.linkedin.com/jobs/view/1880970591/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
7,5ee6dc5bd5a897ae6cd953bb,26:35.2,7,Back-End Engineer (REMOTE),Gorgias,Remote,Posted 3 weeks ago,"Posted Date
Posted 3 weeks ago
Number of applicants
29 applicants",gorgias helps e commerce companies deliver excellent customer service at scale  our product creates a unified profile of customers by combining emails live chat and social media messages with e commerce data such as purchase and delivery info  combining all this data in a single application makes customer service more efficient and just better another fortunate side effect is that some requests are completely automated using ml   weve been around since 2015 and were currently serving over 2700 e commerce businesses including steve madden timbuk2 and fjällräven  is working with a real world application that touches the lives of millions your thing? then yeah gorgias is for you  ‍ what are some of the things we work on? the backend code is mostly written in python3 and runs using flask rest api and celery for all background work the state is stored in postgresql and rabbitmq for async tasks with redis for ephemeral storage and finally everything runs on top of kubernetes  given the above we usually work on one of these levels by improving the existing api improve performance or we create a new feature which more often than not has a component on both backends and maybe a migration in the database or a maintenance command  who are we at work? we have a strong preference for people who worked with high traffic web applications for the past 3 years  were essentially running a distributed system that has lots of moving parts and having a decent amount of experience with this type of system helps a lot additionally our apps have over 10k daily active users with sessions longer than 6h day and serve tens of millions of end consumers per year so we put great importance on quality testing and code review of all our code our apps have big codebases and we have to feel comfortable about navigating and progressively improving them sometimes however we gotta and figure out why the 10tb db is slow or why some k8s pod is not running correctly figure out how to successfully retry a failing api request etc  the end goal is to hide a lot of complexity from the user and make their life easier  if this is the type of environment youre looking for then you should consider applying  about you  nice to have 3 years of experience doing back end development on high traffic web apps with python or js 3 years of experience working with large rdms or document databases you are passionate about learning and want to help us learn too you care about working on applications that are putting the customer needs first you are comfortable communicating with other technical teams and management to collect requirements describe software product features demo work in progress and provide project updates you have the drive and focus to get challenging projects over the finish line and you are comfortable advocating for what you need to do your best work you thrive in a fast paced environment  company benefits  perks competitive salary equity packages and performance bonus packages 4 weeks of vacation and parental leave latest macbook pro or equivalent retirement benefits unlimited snacks health coverage useful things to know about gorgias raised our series a in november techcrunch com 2019 11 26 gorgias series a what our customers are saying apps shopify com helpdeskreviews our software stack stackshare io gorgias other positions jobs lever co gorgias,Entry level,Computer Software,"['Information Technology & Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1877742893/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
8,5ee6dc62d5a897ae6cd953bc,26:42.0,8,Business Analyst,The Pictsweet Company,"Bells, Tennessee, United States",Posted 3 days ago,200,the pictsweet company is growing we are currently looking for a business analyst to join a cross functional team that focuses on continuous improvement in our business operations this position will report to the vp of corporate development and will work closely with multiple departments to find opportunities for cost reduction and margin improvements for key projects the ideal candidate will have a healthy mix of experience in production logistics sales marketing and data analysis  responsibilities will include review business processes and company policies to enhance work flows and efficiency collect analyze and deliver benchmarking data to identify and implement best in class processes and procedures collaborate with sales and operations teams to create cost effective business processes examine margins for variance anomalies and identify margin improvement opportunities provide revenue enhancement and cost savings project research for business analytics team and eio committee manage cross functional projects by establishing relationships with key personnel in mutliple departments utilize data whenever possible to support decisions provide consultation and automate reporting ideal candidates will possess a master’s degree from an accredited college required in business analytics data analytics or related field excellent verbal written communication skills demonstrated computer software skills in excel ability to create strong working relationships with others proven initiative to research manipulate data identify options and opportunities for improvement and implement solutions 2 years in an operations or analyst role lean six sigma training preferred,Mid-Senior level,Computer Software,['Food Production'],Full-time,['Analyst'],https://www.linkedin.com/jobs/view/1869833749/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
9,5ee6dc68d5a897ae6cd953bd,26:48.7,9,Competitive Intelligence Analyst,VMware Carbon Black,"Los Angeles, CA, US",Posted 2 days ago,25,carbon black is now part of vmware as a standalone company carbon black established itself as a leader in the endpoint security space the product portfolio includes the rapidly growing carbon black cloud platform that delivers next generation endpoint protection capabilities from the cloud  we are seeking an experienced competitive intelligence analyst to join our expanding team of ci professionals at carbon black this individual will be expected to have a real passion for and deep understanding of the competitive landscape within the endpoint protection platform epp and endpoint detection  response edr market spaces in an effort to improve product roadmaps positioning and sales effectiveness through deep technical and product research this individual will be expected to identify competitive advantages and opportunities for improvements and train peers as well as management on recommendations for improving technologies and new technologies  what you’ll do research collect and analyze data relative to the epp and edr market space to identify the following in order to enable management and field teams current and emerging competitive threats competitor product strengths improvements and weaknesses at a technical level identify and assess competitive differentiation growing opportunities identify groundbreaking methods of exploiting competitive differentiation what you’ll bring 5 8 years experience in b2b product marketing business analysis competitive intelligence or sales engineering in enterprise software and a passion about groundbreaking technology demonstrated track record of managing complex data driven projects collecting and synthesizing information into meaningful conclusions strong grasp on insight generation scalability influencing problem solving and business acumen skills proven ability to analyze new products and competitors and translate that information into actionable intelligence positioning campaigns and sales tools strong written and verbal skills with the ability to quickly create collateral to differentiate the carbon black product offering and improvements bonus experience and familiarity with epp edr cyber security it management software products or similar technologies category  marketing subcategory product dev marketing experience business leadership full time part time full time posted date 2020 06 11 vmware company overview at vmware we believe that software has the power to unlock new opportunities for people and our planet we look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly our cloud mobility and security software form a flexible consistent digital foundation for securely delivering the apps services and experiences that are transforming business innovation around the globe at the core of what we do are our people who deeply value execution passion integrity customers and community shape what’s possible today at http careers vmware com  equal employment opportunity statement vmware is an equal opportunity employer and prohibits discrimination and harassment of any kind vmware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment all employment decisions at vmware are based on business needs job requirements and individual qualifications without regard to race color religion or belief national social or ethnic origin sex including pregnancy  age physical mental or sensory disability hiv status sexual orientation gender identity and or expression marital civil union or domestic partnership status past or present military service family medical history or genetic information family or parental status or any other status protected by the laws or regulations in the locations where we operate vmware will not tolerate discrimination or harassment based on any of these characteristics vmware encourages applicants of all ages vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law ,Associate,Computer Software,"['Information Technology & Services', 'Computer Software', 'Computer & Network Security']",Full-time,"['Marketing', 'Sales']",https://www.linkedin.com/jobs/view/1880925444/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
10,5ee6dc6fd5a897ae6cd953be,26:55.5,10,"Sales Professional – Computer, Hardware, Software, and Cloud Data Center Sales","GHA Technologies, Inc",Remote,Posted 3 weeks ago,25,gha technologies inc has become the 1 mission critical supplier in america and is now ranked 69 on the 2018 crn solution provider 500 and 15 2018 crn fast growth 150 list microsoft has named gha it’s 1 western region var gha was just named the 1 fastest growing company in arizona we sell apple hp ibm lenovo dell vmware adobe qlogic emc fujitsu microsoft intel cisco and all the hottest data center virtualization energy conservation cloud storage security wireless sd wan video and identification technologies we also specialize in mission critical product procurement and integration services for some of the largest corporate government and educational clients in america our client base is a whos who of corporate america some facts about gha technologies inc  one of the largest private providers of technology solutions for corporate government  education markets in america  gha is now 33 employee owned employees receive stock shares every year and are now part owners of the company  our vast access to a coast to coast distribution network and warehouse facilities support just in time delivery  mission critical delivery orders placed by 900 p m est 800 p m cst can be received the next morning for in stock items  secure password protected 24 hour access to your own personal customized website with special pricing on more than 2 million products from 3 000 manufacturers  we are currently hiring industry experienced technology sales professionals nationwide  we look forward to hearing from you  we offer a highly lucrative earnings package with top salespeople earning between 50 000 to 700 000 annually 10 000 fast start bonus offer w 2 employment medical benefits dental benefits 401k retirement and company stock ownership plan esop ,Mid-Senior level,Computer Software,"['Computer & Network Security', 'Computer Hardware', 'Computer Software']",Full-time,"['Sales', 'Business Development']",https://www.linkedin.com/jobs/view/1865992003/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f1ecd4f5-1f75-4373-ae59-8afe2b35d64b&trk=d_flagship3_search_srp_jobs
