num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eec5a94f785fd1e0f04a3df,26:28.8,0,Construction Manager,"Good-Men Roofing & Construction, Inc.","San Diego, California, United States",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
25 applicants",good men roofing  construction is seeking an experienced construction manager to lead our san diego team  in this role you will estimate schedule forecast and manage all activities to ensure project accuracy and quality from conception to completion construction managers create the organizational structure for the project itself and act as the higher authority for decision making and the center for project administration construction managers also need to possess the proper knowledge of estimating building codes and regulations associated with construction design build projects   good men roofing  construction is a san diego based commercial general contractor focused on providing the highest quality construction roofing and operations and maintenance services to clients our clients include navfac us army corps of engineers and various government entities in addition to providing the highest quality we pride ourselves with being good stewards serving as a strategic partner with our clients rather than just another contractor we look to hire and train innovative self starters who are motivated to deliver quality results our goal is to complete projects ahead of schedule and within budget by utilizing the expertise of all members of the team to the fullest   responsibility  duties  ·    ensure timely and accurate material procurement and delivery to job site ·    assist in job scheduling of all field personnel vendors subcontractors etc  necessary to complete the project ·    interface with clients architects engineers and subcontractors ·    maintain network of material suppliers equipment rental providers and qualified subcontractors ·    attend preconstruction and job meetings when necessary ·    study contract documents to identify potential problems and unforeseen costs ·    visit jobsites to evaluate constructability ·    prepare and submit accurate cost estimates project budgets in timely manner ·    proactively solve problems with hands on approach ·    prepare periodic project status reports as requested by the cm owners ·    collaborate with project superintendent to submit monthly invoices to accounting department  ·    prepare bids and supervise submittal control data ·    understand and enforce company safety rules and procedures ·    prepare and execute change orders between the company and architect and subcontractors ·    maintain as built drawing records ·    review and or assist with project proposals rfp’s  ·    collaborate with senior project manager in the planning project completion client satisfaction and financial outcome of assigned construction projects  skills and work experience  ·    4 year college degree construction management engineering business or architecture and ten years of related experience ·    experience with government contracts design build and or roofing required  ·    strong knowledge of principles of project management for building construction theory principles and practices of engineering and architecture related to design and construction ·    experience with rsmeans cpm scheduling microsoft project procore and spectrum a plus ·    must have strong estimating skills with emphasis on accuracy ·    must maintain a high degree of integrity loyalty and honesty ·    ability to work in team environment ·    must be able to multi task and manage multiple projects in fast paced environment ·    experience in preparing and writing cost estimates change order estimates and negotiate cost proposals    job type full time compensation doe benefits medical dental life retirement generous paid time off policy training opportunities we are an equal employment opportunity employer,Director,construction,['Construction'],Full-time,"['Project Management', 'Management']",https://www.linkedin.com/jobs/view/1882574250/?eBP=CwEAAAFyyzbLZB-0gtZ7FQIVToLcNgLwcDH6AXyXzdV-fhj7TEUVzKCwcjmtSh5usQ481VwKlTdgGljVnOl3KSDq9wyBbeme9IUrzl9yyAtFwjErHdBPUOvln8q3FlXwqVvO7_Wkv5R8Ys4PoKRluJsErWGt3OgLXTyCNZr6K9Euy6lvOBmgbJrkbg9x19mPmAzOAIoJidIGUzcJASlNn8TFBdaELAvju1LKgi8mleH-tDybxrq-79qO4ptjFBe9L_tecjTyk6aDZ8H4LDAIgOc3k3GKO91TGSKTi12HPeXEbtZzpBzLmFfMM7z82XM6Hbs_ukT8OAQfSKxGoj0lO2kSQPNDc9rOjPmRckzQbrw1fbOXq5sQIkZeNyG_vI7edtWJYu8UL8Tr5bJtdA&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
2,5eec5a9bf785fd1e0f04a3e0,26:35.1,1,Construction Controller,VincentBenjamin,"Orange County, California, United States",Posted 4 weeks ago,"Posted Date
Posted 4 weeks ago
Number of applicants
68 applicants",orange county based engineering firm in the anaheim area has a need for a controller this is an amazing opportunity to broaden your skills and and deal directly with the ceo  in this role you will be responsible for monthly financial statement preparation analysis month end close financial analysis reconciliations a r billing cash applications follow up accrual accounting and adhoc projects ,,construction,,,,https://www.linkedin.com/jobs/view/1868605968/?eBP=CwEAAAFyyzbLZL0_xb_a5T99WneD7fEcMGNKr6RTjzoRzpxntW9xmKK2sqtIqauZkw0Gz0rPPiW0MKPKDABK-Maeqi9H_8CLwMpxQra_oHC4NRalc5KXj84P7T5Wci1OJA3EyUD8dpQ09bEQ7lTSsPBHzRZa_usnX3km6B6NJ3kQomDbi43Nj1K2mtJFxK_BKuJE5Oxen3mJ-CGhe1xzQDepmJTeUYi_C_s4hdiSL-joLJzRfgVcooAavhZZ5dRRs9VMGcIxSmKfZaS33_z_iTIOr53FK7oTfw9e8bjmIV9EGIn9D01GV408LiOHxxq7GmAVs1YxbwArMkhy3vi61aZnLRQuaRbz1pvhA3h0RY-No4efLXXPCwzQNnemRMqyiipXh8O6W9MvnoOx9vsV&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
3,5eec5aa9f785fd1e0f04a3e2,26:49.0,3,Construction Coordinator,"Williams-Sonoma, Inc.","Van Ness, CA, US",Posted 6 days ago,"Posted Date
Posted 6 days ago
Number of applicants
64 applicants",about the team you will be part of the store development team responsible for designing building and delivering retail experiences this includes new construction remodeling and repairs and maintenance   about the role looking for a smart creative person to be a liaison between construction and store operations store systems real estate and marketing supports construction project managers by maintaining functional reporting systems and communication  reports to director of construction  youre excited about this opportunity because you will   works with the store development team to issue bids and works with project managers to execute the bid process liaison between store operations and internal business partners is responsible for certain elements of data entry into the central project management database as needed during the entire construction process point person for turnover facilitates all phases of the turnover process including turnover 2 week call daily turnover and check in calls issues construction kick off and project award e mails attends store assumptions quarterly meeting as the store development representative acts as system administrator for project talk system provides support training and system maintenance as needed  issues and tracks gc work authorization documentation  works with pms to issue and monitor items on the punch list checklist maintains communication with business partners regarding progress  miscellaneous administrative tasks including but not limited to copies note taking distribution of notes and fielding of calls and questions maintains and renews list of consultants temporary and external business partners on site id badges maintains fixed cost estimate template updates on a regular schedule with project managers may work with finance and project managers on project reconciliation and closeout process   why you will love working at williams sonoma inc  were a successful fast growing company with an entrepreneurial vibe a technologically and data driven business competitive salaries and comprehensive health benefits were at the forefront of tech and retail redefining technology for the next generation were passionate about our internal and external clients and live breathe the client experience we get to be creative on a daily basis a smart experienced leadership team that wants to do it right and is open to new ideas we believe in autonomy and reward taking initiative we have fun,,construction,"['Design', 'Information Technology & Services', 'Retail']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1880975506/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
4,5eec5aaff785fd1e0f04a3e3,26:55.4,4,Construction Manager,,"San Diego, California, United States",Posted Date,25,are you a detail oriented superstar who gets thing done in a timely fashion while leading others? if so please read further  10x construction is continually growing and we are looking for a construction manager to add to our team  construction manager summary the focus of this job centers around producing timely results that are high quality and accurate benefiting from an analytical inquiring and critical mind this job requires imagination and strong problem solving skills but with a strong technical orientation the job requires an ability to deal with abstract concepts systems and ideas and all of that in an organized and self disciplined way it also requires that serious consideration be given to all possibly related facts and potential problems this job demands deep knowledge and expertise and to do it successfully depends on understanding detailed information intellectual confidence is important in this job and to do it well requires close hands on involvement careful follow up and very disciplined and limited delegation this job is technically demanding and ‘strictly business’ with little need for influential ‘people interactions’ central to this job is the need to weigh all decisions carefully and thoroughly based on expertise in order to avoid unpredictable risk getting the job done and getting it done right are the two equal drivers for this job and that may create conflict ,,construction,"['', '', '']",,"['', '', '']",https://www.linkedin.com/jobs/view/1890306739/?eBP=JOB_SEARCH_ORGANIC&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
5,5eec5ab5f785fd1e0f04a3e4,27:01.8,5,Construction Specialist,The Daniel Group,"Houston, Texas, United States",Posted Date,25,background in residential construction ability to manage and deliver quality resullts to residential property owners experiencing wind rain hail mold damage familiar with new technology software must have hands on experience with project site experience 8 years residential construction experience required strong customer service skills ability to management customers and construction teams simultaneously,,construction,,,,https://www.linkedin.com/jobs/view/1911583528/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
6,5eec5abcf785fd1e0f04a3e5,27:08.2,6,Construction Administration Assistant,Humphreys & Partners Architects,"Dallas, Texas, United States",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
107 applicants",we are currently seeking an experienced clerical staff to join our construction administration ca team in our dallas tx office this entry level position will perform clerical duties associated with construction administration for a variety of multifamily projects including mixed use luxury senior living affordable and student housing projects in markets across the country  job responsibilities,,construction,,,,https://www.linkedin.com/jobs/view/1882553297/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
7,5eec5ac2f785fd1e0f04a3e6,27:14.5,7,Construction Coordinator,Worley,"Houston, TX, US",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
52 applicants",typically regarded as a fully qualified engineer carries out responsible and varied assignments requiring general familiarity over a broad field of engineering design science requires knowledge of reciprocal effects of work upon other fields problems usually solved by use of combinations of standard procedures modifications of standard procedures or methods developed in previous assignments participates in the planning phase of projects as well as the execution  global level details advanced knowledge and a specialized depth or breadth of expertise within a field engineering  commissioning discipline gaining a mastery of a single areas or multiple broader areas of specialty product and systems  university degree or equivalent in related field or equivalent trade qualification combined with further relevant training and experience experience varies based on education background those with degree typically have 5 years relevant experience those with trade qualifications will typically have 10 years relevant experience  makes independent technical decisions with recommendations for small independent projects studies decisions take into account financial social environmental impact within the company difficult complex or unusual matters or decisions are usually referred to more senior authority  works under supervision and self initiated technical guidance with regular weekly to monthly interaction with supervisor work is not generally supervised in detail and amount of supervision varies depending upon the assignment broad duties assigned monthly work is occasionally reviewed for accuracy usually technical guidance is available to review work programs and advise on unusual features of assignment  may assign activities and give technical guidance to a few staff for a common project in rare cases may have direct reports but has no authority for performance evaluations impacting pay  proficiently communicate ideas and concepts persuading and influencing through participation in the preparation and delivery of proposals presentations and reports  strong understanding of systems processes and tools related to field able to assist others and troubleshoot issues   worley  usa tx houston  construction management  full time  staff  experienced  may 22 2020  jun 21 2020  contract manager,,construction,"['Construction', 'Information Technology & Services', 'Oil & Energy']",Full-time,"['', '']",https://www.linkedin.com/jobs/view/1884829352/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
8,5eec5ac9f785fd1e0f04a3e7,27:21.0,8,Construction Coordinator,Private Family Office,"Menlo Park, California, United States",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
33 applicants",construction coordinator job description director of facilities for a private family office seeking a motivated construction coordinator to join the team immediately in menlo park this candidate will work closely with project managers contractors architects engineers and other various vendors and consultants within the design and construction teams a strong candidate will possess and demonstrate the ability to communicate efficiently with the construction teams and facility team knowledge of the construction process from conception implementation and continued analysis of progress throughout the project duration is a must  high level reviewing and tracking of project budgets schedules and critical path invoice review and most important quality control and consistency enforcement to ensure the clients level of expectation is maintained a construction coordinator should lead by example have a positive and motivated attitude maintain proper discretion and continentally ,,construction,,,,https://www.linkedin.com/jobs/view/1882735783/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
9,5eec5acff785fd1e0f04a3e8,27:27.7,9,Construction Specialist,Dr. Martens - Airwair International Ltd,"Portland, Oregon, United States",Posted 3 days ago,"Posted Date
Posted 3 days ago
Number of applicants
50 applicants",the stuff that sets you apart you enjoy the fast paced nature of retail operations and thrive when you’re able to support multiple projects you’re able to quickly alternate between responsibilities because you’re well versed in all things construction including work orders blueprint reviews project rollouts real estate systems processes and communications you get the dr martens brand and are excited to support the team in enhancing dr martens’ footprint in the americas region ,,construction,,,,https://www.linkedin.com/jobs/view/1875670101/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
10,5eec5ad6f785fd1e0f04a3e9,27:34.3,10,Construction Inspector,Ghirardelli Associates,Los Angeles Metropolitan Area,Posted 1 week ago,25,location los angeles metropolitan area www ghirardelliassoc com at ghirardelli associates we believe that thinking outside of the box is the spark to set innovation on fire ghirardelli associates is a full service construction management firm with 20 years of experience providing service throughout california our company inspires ingenuity by providing cutting edge solutions to our clients with a commitment to exceptional service we are proud to shape the communities we live in while creating a positive environment for our associates to foster creativity and growth ,,construction,,,,https://www.linkedin.com/jobs/view/1901425742/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=62aa4b14-257d-4349-a273-9a634bad0702&trk=flagship3_search_srp_jobs
