num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eed1967f785fd1e0f04b81d,00:39.8,0,Design Consultant,Emser Tile,"Los Angeles, California, United States",Posted 1 week ago,"Posted Date
Posted 1 week ago
Number of applicants
88 applicants",job role and summary new product design – designer provides additional collateral to help finalize color and design of new flooring wall and decorative products to create and develop a presentation on materials to be referenced during product development and review stages to sign off on color choices to ensure they are on trend compatible with the “whole house” they ensure that the final colors and designs will meet demands in the new home construction sphere ,,design and graphic design,[''],,"['', '', '']",https://www.linkedin.com/jobs/view/1879797139/?eBP=CwEAAAFyzcfCGncPtbeqfeDwvyPAiZH9UpqmH-kD4g8Oqekdts-QPctDjzGaSmyhJJtZC4yzjbavTR-rbikdgW5kPejz7eczPqOZPpGoU6VV1vBWiUeXAVBCaAPFBf788fW0ULeXj6URi5AgUDrgXtETPvILb5UzduT7dR9-EZSh_7MQdTTem6nVkikqdN1y3QP0rAU1dtQx4dEOxeKZLhDWmVSL9X8luoRaa2EziPoj2XinbJyrec4Xfex-h_dF8Yy9Ald399CqR8a2XhgxuQsS_64BJu1bKlAJwEZGUc2a_LEnjmjr6-pz0TwMg0nRCFhnrZ1sPPjgqU1_fdMfFD8_6Kbs3rdkRHLcpltcrTp3r_DRPvydgsf21mNR7BQ4YXj2RLqdl2vKBNdehw&recommendedFlavor=COMPANY_RECRUIT&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
2,5eed196ef785fd1e0f04b81e,00:46.3,1,Remote UX/UI Design Consultant – Famous West Coast Beauty Salon,Fourth Floor,"Los Angeles, California, United States",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
42 applicants",iconic west coast beauty salon is seeking an experienced ux ui designer to join their team on a remote basis! the ux ui designer will work on concepts and executions of the company’s digital and print experience you will work cross functionally to help evolve and streamline various ux ui components design patterns and visual styles for the company  qualifications bachelor’s degree in graphic design user research or a related field,,design and graphic design,[''],,[''],https://www.linkedin.com/jobs/view/1887401586/?eBP=CwEAAAFyzcfCG1LmKb8Yxidr4nVUeneLCfKJ28gb3KFbCR8xlyklQzf9QBAzMC5C0QHFqCWaiyz5En3sDklgl0VL1WCNlt8vXjvPL-Bav1AUniiirvqqSM1inhZZ-dHQjtdDJBAUFsE_rcn-OxbLkZhqPlAvnjz5ZQc4wMjPvl8fwVxu_GZ6zSb58yB38hgek-JWiGifHpChnJYql5GPsFOBau7ibEdVW8EKijQeVZg8O-_dbxAVkFXpTOE6ODu_GidIBzF-94PujPOnLegtXWea9yni6pphXbnM2p8UyyVM0IxQb-LyeafTtgmqobgK91f_rmyx52w2vWEzxSblW2O46gorHax1ecO6W4RVGYysHmrLoEf0gTcMMiu5cRvztmpOMigFXfT4ias8R8TX&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
3,5eed197cf785fd1e0f04b820,01:00.7,3,Graphic Design Intern,ROOM,,Posted 2 days ago,200,about the role room is a fast paced startup looking to disrupt the existing industry by producing new digital and physical products and services that rethink tomorrow’s workspace our design team is on the hunt for a talented graphic design intern to help translate our mission into inspiring and innovative design  here at room design is part of our dna we’re building a brand new in house creative studio that will support—and partner with our brand and growth marketing teams the graphic design intern needs to be well rounded and comfortable executing design projects across a range of media web email display and social channels brand presentations and maybe even the odd gif  graphic design experience with an agency startup or tech cpg brand is a plus including illustrations icons  general understanding of web design whether it’s intuitive ui responsive design interactivity accessibility or conversion rate optimization is preferred  this role reports to our junior digital designer and is a paid intership working out of the office in new york soho ,Internship,design and graphic design,"['Computer Software', 'Internet', 'Consumer Goods']",Internship,"['', '']",https://www.linkedin.com/jobs/view/1908481462/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
4,5eed1983f785fd1e0f04b821,01:07.2,4,Digital Designer,Rare Beauty,"Los Angeles, California, United States",Posted 1 week ago,200,position summary  the digital designer will ensure the brand message is communicated with high visual impact across all digital channels this role will be responsible for creating site banners paid media assets and landing page assets in addition to the creation of stills video and animation for social media use  responsibilities ,,design and graphic design,[''],,"['', '', '']",https://www.linkedin.com/jobs/view/1880457358/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
5,5eed1989f785fd1e0f04b822,01:13.6,5,Graphic Designer,Murad,,Posted 1 week ago,200,this designer will support the development of global campaigns with a focus on all digital social platforms with a critical eye and a clean aesthetic you’ll provide smart typography color and layout solutions that are aligned with brand guidelines you’re agile flexible and collaborative when partnering with cross functional team members to elevate brand equity engage consumers and support business objectives you’re also comfortable executing your own projects from concept to production  ,,design and graphic design,[''],,"['', '']",https://www.linkedin.com/jobs/view/1880945597/?eBP=JOB_SEARCH_ORGANIC&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
6,5eed1990f785fd1e0f04b823,01:20.3,6,Design Asset Coordinator,CBS,"Los Angeles, CA, US",Posted Date,25,ref 36783 cbs business unit cbs television network job type full time staff job schedule full time job location los angeles ca  cbs was established in 1928 when founder william paley purchased 16 independent radio stations and christened them the columbia broadcast system today with more than 200 television stations and affiliates reaching virtually every home in the united states cbss total network lineup was watched by more than 110 million people a week during the 2017 2018 season cbs has been the 1 network in primetime for 10 consecutive seasons the network has the 1 comedy scripted program the big bang theory 1 newsmagazine 60 minutes l late night program the late show with stephen colbert and 1 daytime drama the young and the restless its programming arms include cbs entertainment cbs news and cbs sports   the design asset coordinator is responsible for facilitating the collection and distribution of digital assets to from internal and external sources including cbs news cbs sports cbs entertainment and cbs studios seeking a self motivated and detail oriented individual who can adjust workload based on shifting priorities and can problem solve technical delivery issues errors everyday duties will include interfacing with multiple teams and coordinating asset delivery with graphic designers producers creative directors publicity and social media teams      equal opportunity employer minorities women veterans disabled,Entry level,design and graphic design,"['Broadcast Media', 'Entertainment', 'Media Production']",Full-time,"['', '']",https://www.linkedin.com/jobs/view/1888195089/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
7,5eed1996f785fd1e0f04b824,01:26.7,7,Digital Designer - Entertainment Industry,Arrowmac,"Los Angeles, California, United States",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
93 applicants",are you a creative and passionate designer with a background in the entertainment industry? do you thrive in a fast paced environment while working with other creatives? if yes we would love to hear from you! our leading entertainment industry client is looking for a digital web designer with experience in the entertainment industry specifically for virtual events to join their team! this person should be knowledgeable in leading edge design and craft as it pertains to the entertainment industry the role is to develop high level digital assets for a variety of shows and movies this designer must possess strong typographic skills design skills production skills and has strict attention to detail if this sounds like you please submit your resume and portfolio!,,design and graphic design,,,,https://www.linkedin.com/jobs/view/1884430574/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
8,5eed199df785fd1e0f04b825,01:33.2,8,"Designer, Creative Lab",TikTok,Los Angeles Metropolitan Area,Posted 2 weeks ago,200,tiktok is the leading destination for short form mobile video our mission is to inspire creativity and bring joy tiktok has global offices including los angeles new york london paris berlin dubai mumbai singapore jakarta seoul and tokyo  in this you will  • brainstorm with designers and brand strategists to bring advertising campaigns to life from concept to execution • create campaign mock ups and data visualizations,,design and graphic design,[''],,[''],https://www.linkedin.com/jobs/view/1878128900/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
9,5eed19a3f785fd1e0f04b826,01:39.6,9,"Graphic Design Assistant (Internship, Remote)",Somos Digital,Remote,Posted 3 weeks ago,200,somos is a creative global digital marketing agency based in shenzhen los angeles and bangalore our clients include both new and established consumer electronics and e commerce brands expanding into the global market  were looking for a graphic design assistant intern to join our ranks in our usa based operation this is a part time unpaid remote position with the opportunity to earn college credit and transition into a contract role based on performance applicants must be based in the usa ,,design and graphic design,,,,https://www.linkedin.com/jobs/view/1874801887/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
10,5eed19aaf785fd1e0f04b827,01:46.2,10,Graphic Design Intern,Law,"Studio City, CA, US",Posted Date,25,we are seeking a graphic design intern to join our team! you will create graphics to meet a commercial or promotional need looking for someone that might be just starting out bilingual spanish  responsibilities create eye catching graphics and engaging designs handle graphic projects from start to finish develop and maintain image library files coordinate with outside agencies and services as needed,Internship,design and graphic design,"['Law Practice', 'Legal Services', 'Financial Services']",Internship,"['', '']",https://www.linkedin.com/jobs/view/1912423205/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=0efb7ded-8a72-4e8e-9f68-acdaeeb45720&trk=flagship3_search_srp_jobs
