num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eec234de74247ffdaed301d,30:37.5,2,Environmental Services Worker,Penn Medicine Information Services,"Plainsboro Center, NJ, US",Posted 1 month ago,25,environmental services worker  job id** 84960  job category** environmental linen services  specialty area** environmental linen services  primary shift** day  work schedule** per department needs  penn medicine entity** penn medicine princeton health  location** plainsboro nj  address** 1 plainsboro road  education required** per position description  experience required** per position description  employment type** full time regular penn medicine is dedicated to our tripartite mission of providing the highest level of care to patients conducting innovative research and educating future leaders in the field of medicine working for this leading academic medical center means collaboration with top clinical technical and business professionals across all disciplines  today at penn medicine someone will make a breakthrough someone will heal a heart deliver hopeful news and give comfort and reassurance our employees shape our future each day are you living your lifes work? position description**  c leans and maintains the medical c enter at princeton buildings and performs a variety of environmental services duties not being limited to any one or specific duty always must adhere to infection control and safety standards  essential job duties and responsibilities** sweeps dusts dry and wet mops vacuums properly utilizes wet floor sign clean vents and televisions damp dust furniture bedside cabinets overbed tables lamps window sills bed mattresses televisions telephones and any other room furniture always using proper germicide gathers and disposes of trash wash wastebaskets and large refuse containers and replace liners dispose of all medical waste according to the infection c ontrol manual support customer service and performance improvement goals of the department collaborates with other caregivers staff within and outside the department to develop means of enhancing patient care and service performs emergency housekeeping function when assigned participates in unit compliance as related to established standards met or exceeded evs departmental hc ahps score of 82 7 demonstrates ability to effectively use penn c hart and meet the evs bed c leaning turnaround time of 60 minutes or less minimum requirements**  high school degree or ged required  additional information**  we believe that the best care for our patients starts with the best care for our employees our employee benefits programs help our employees get healthy and stay healthy we offer a comprehensive compensation and benefits program that includes one of the finest prepaid tuition assistance programs in the region penn medicine employees are actively engaged and committed to our mission together we will continue to make medical advances that help people live longer healthier lives  penn medicine http www pennmedicine org careers  live your lifes work eoe aa minority female disabled veteran we are an equal opportunity and affirmative action employer  candidates are considered for employment without regard to race ethnicity color sex sexual orientation gender identity religion national origin ancestry age disability marital status familial status genetic information domestic or sexual violence victim status citizenship status military status status as a protected veteran or any other status protected by applicable law ,Entry level,environmental services,['Hospital & Health Care'],Full-time,"['Customer Service', 'Information Technology']",https://www.linkedin.com/jobs/view/1905387182/?eBP=NotAvailableFromVoyagerAPI&refId=3f844b0f-bb28-4155-94db-d65335b42622&trk=d_flagship3_search_srp_jobs
2,5eec235be74247ffdaed301f,30:51.3,4,Environmental Services Manager,Baltimore City Community College,,Posted 1 month ago,25,description job summary the environmental services manager performs responsible managerial work involving the assignment and direct supervision of environmental services employees ensures assigned staff maintains proper cleanliness and sanitation of buildings offices classrooms fitness centers laboratories furnishings and equipment as well as building entrances and exterior walkways  the environmental services manager is also responsible for training new employees on proper custodial procedures for the use of manually operated tools electrically powered machines cleaning compounds solvents and chemicals  please upload 7 professional references* responsibilities duties supervises the activities of environmental services staff and student workers directly by using both verbal and written instructions in compliance with the guidelines provided by the immediate supervisor and using independent judgment in instances not covered by the guidelines provides reports to director of facilities or work order initiator in a clear and professional presentation ensures that environmental services meet the needs of the department the college and established environmental guidelines by scheduling work activities and adjusting workloads to compensate for scheduled and unscheduled absences changing priorities and special custodial projects inspects the work of environmental personnel and ensures corrective measures are to be taken when necessary to meet guidelines develops an effective team of environmental personnel by instructing all employees in the proper methods and use of materials and equipment for safe and efficient work performance evaluates individual performances to meet established standards provides feedback on performance evaluations and recommends retention of new employees assists in hiring qualified employees by participating in the interview process and recommends selected candidates enforces colleges rules and policies regarding employee conduct uses progressive discipline when necessary  minimum qualifications required qualifications associates degree in business administration hotel management or related field or years of experience in lieu of degree experience working in a union environment minimum of 5 five years of management experience and or previous supervisory experience 5 five years of relevant experience working in facilities custodial janitorial experience for a large organization with multiple facilities minimum of 6 six years progressively responsible job related experience in addition to a high school diploma or ged may be substituted for required education  knowledge skills and abilities demonstrated excellent attention to detail and accuracy significant knowledge of custodial equipment and standards including modern safety standards and techniques ability to effectively and efficiently handle multiple simultaneous and complex tasks and projects analyzes and resolves work problems initiates or suggests plans to motivate workers to achieve goals skill in organizing resources and establishing priorities must be available to respond to campus when needed and be on  call as assigned proficient in estimating labor and material costs  preferred qualifications preferred qualifications 6 six years relevant experience working in facilities custodial janitorial experience for a large organization with multiple facilities preferred experience in an institution of higher education ,Mid-Senior level,environmental services,"['Non-profit Organization Management', 'Higher Education', 'Education Management']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1871327847/?eBP=NotAvailableFromVoyagerAPI&refId=3f844b0f-bb28-4155-94db-d65335b42622&trk=d_flagship3_search_srp_jobs
3,5eec2362e74247ffdaed3020,30:58.2,5,Environmental Services Associate,Hartford HealthCare,"Bridgeport, CT, US",,No longer accepting applications,description job schedule part time standard hours 24 job shift shift 1 shift details monday friday 8am to 430pm and rotating weekends 7a 330p  work where every moment matters  every day over 30 000 hartford healthcare colleagues come to work with one thing in common pride in what we do knowing every moment matters here we invite you to become part of connecticut’s most comprehensive healthcare network  st vincent’s medical center in bridgeport has more than 3 200 employees it includes a 473 bed community teaching hospital a 76 bed inpatient psychiatric facility in westport a large multispecialty provider group and special needs services for adults and children st vincent’s is the first hospital in fairfield county to be integrated into the hartford healthcare network and is the system’s second largest hospital  job summary performs a variety of environmental services to maintain assigned areas in a clean and orderly condition responsibilities cleans patient rooms or other assigned areas daily including collecting and removing trash changing bed linens and sanitizing all surfaces follows policies and procedures on patient isolation or other special situations in accordance with facility standards stocks paper items and other supplies in assigned areas as necessary or designated maintains supplies and or equipment in clean and working condition observes and reports the general need to repairs to equipment furniture building and or fixtures understands oral instructions and follows printed label instructions in english other duties as assigned follows safe guidelines and limitations for receiving transporting and stocking of intravenous iv fluids as related to specified essential job duties ensures that intravenous iv fluids are kept safe and secure have not been tampered with and are not expired intravenous iv fluids are defined as solutions containing 5  dextrose 0 9  sodium chloride or combinations of these two solutions education qualifications high school diploma or ged required work experience none required we take great care of careers  with locations around the state hartford healthcare offers exciting opportunities for career development and growth here you are part of an organization on the cutting edge – helping to bring new technologies breakthrough treatments and community education to countless men women and children we know that a thriving organization starts with thriving employees  we provide a competitive benefits program designed to ensure work life balance every moment matters and this is your moment,Entry level,environmental services,"['Non-profit Organization Management', 'Health, Wellness & Fitness', 'Hospital & Health Care']",Part-time,['Other'],https://www.linkedin.com/jobs/view/1825811744/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=3f844b0f-bb28-4155-94db-d65335b42622&trk=d_flagship3_search_srp_jobs
4,5eec237ee74247ffdaed3024,31:26.9,9,Environmental Service Aide,Millard Fillmore Surgery Ctr,"Millard Fillmore Suburban Hospital, NY, US",,No longer accepting applications,cleans and maintains assigned areas of the hospital ensures a sanitary safe orderly and attractive facility handles all facets of waste disposal in the hospital setting ,Entry level,environmental services,"['Health, Wellness & Fitness', 'Medical Practice', 'Hospital & Health Care']",Full-time,['Administrative'],https://www.linkedin.com/jobs/view/1903538754/?eBP=CwEAAAFyv__Gof402JvUGun3eQw293pKV8hRVhBsrlgWWhUT2wHdU2y_LL_fqsVn7ChNi8Tk1Vn8NBrCO84VKMAp2_Bi2ql2gRwK1cWjF97mvrOoaMhRVcDoKByoOP7qrnCZOu4m5Bz1BJRiAzMHHDpd-nwHNLvDd6PGIv_RknBhTJcktrlhVOI95Nc7WyQu4Ais1UF9urT9NKzogZ--kRkrDQ8mG-lxUO9uVjD_5m2Yt_sTZjPbNRuUitdxCVxrOr77ktQhg2mT2wKN5VBo3XGeI3lb1fMoD-656_02UvKZscxwiGr3wog-Hpovv_JNZJHTdCtiY9aaJ8l_n6-rsQ211u5qR8IYI07dfTcKgsDmJ5sviJ_JKmaIYbrMm5-4ncMeUfERAa09-uqovg&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
5,5eec2385e74247ffdaed3025,31:33.3,10,Environmental Services Technician,UofL Hospital,,Posted 6 days ago,25,responsibilities maintains strict confidentiality of information gained in the process of day to day work this includes hippa compliance as well as following the corporate compliance guidelines  demonstrates a strong sense of team and the ability to cooperate and work with others this includes strict adherence to the standards of conduct policy  follows infection prevention practices including the regulations recommendations and standards of regulatory agencies and safety practices while completing the kentuckyone health evs standard work  safe handling disposal packaging for transport of pharmaceutical waste hazardous materials bio hazardous regulated medical waste 1  completes the resource conservation recovery act rcra and hazardous waste education during new employee orientation and annually 2  is knowledgeable of the process for identifying the proper waste stream and uses the appropriate container to dispose of waste 3  responds to a release of hazardous chemicals or hazardous pharmaceuticals p listed waste utilizing the facility hazardous waste contingency plan 4  knowledgeable regarding the process to contact the emergency response coordinator for hazardous waste pharmaceutical release spill clean up  evs tech position’s standard work routine cleaning procedures include but are not limited to solid waste collection and disposal including proper waste segregation linen distribution and collection high dusting changing light bulbs cleaning light lenses changing cubicle curtains cleaning windows and blinds low level surface disinfection restroom cleaning stocking restroom and hand hygiene products cleaning walls and partitions hard surface and carpeted floor care making patient beds moving furniture emptying trash cans emptying linen receptacles emptying recycling containers packaging and transport of regulated waste containers perform isolation cleaning procedures as applicable perform terminal cleaning procedures as applicable perform restricted area and invasive procedure area cleaning as applicable cleaning blood and body fluids from surfaces and floors mixing and utilizing cleaning chemicals according to the manufacturer label and or epa guidelines performing non routine floor care and cleaning duties floor refinishing shampooing steam cleaning  other duties as assigned   high school diploma or ged preferred  must be able to work weekends and holidays requires continuous use of cleaning solutions including bleach based germicidal cleaner ,Entry level,environmental services,['Hospital & Health Care'],Full-time,[''],https://www.linkedin.com/jobs/view/1904440799/?eBP=NotAvailableFromVoyagerAPI&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
6,5eec238ee74247ffdaed3026,31:42.2,11,Environmental Services Tech,Kendall Regional Medical Center,,Posted 1 day ago,25,description shift days rotating weekends  schedule full time environmental services technician environmental services department full time day shift 1 0 fte kendall regional medical center miami fl facility description kendall regional medical center is a 417 bed full service acute hospital providing 24 hour comprehensive care in the community including trauma burn surgical women’s and children’s services behavioral health and diagnostic services along with two full service free standing er facilities one in doral and the other at the palms town  country  located in west miami dade county kendall regional medical center has received the distinguished hospital award for overall clinical excellence from healthgrades this national recognition places us in the top 5 of hospitals in the nation for overall clinical quality we are a level i adult and pediatric trauma center certified by the florida department of health and verified as a level i adult trauma center by the american college of surgeons kendall is certified as a thrombectomy capable stroke center by the joint commission and we are one out of only five american burn association verified burn centers in the state with six acgme accredited graduate medical education programs kendall strives to be a leading community based research hospital  why not join our team at kendall regional medical center where you will experience a dynamic career with a hospital that continues to reward clinical professionals for their commitment and provide growth opportunities while encouraging you to enjoy a healthy lifestyle outside of work in a culturally diverse and friendly community? benefits we offer a generous benefits package including tuition reimbursement 401k match medical plan options dental  vision employee stock purchase program reimbursement  flexible spending accounts dependent scholarship program clinical certification support  bonuses paid community service days and more being a part of hca healthcare we provide unprecedented career opportunity including the ability to move within more than 250 hospitals and freestanding surgery centers located in 21 states and the united kingdom  job description the environmental services technician performs a variety of general cleaning tasks to maintain patient rooms offices hallways and other assigned areas these include follows specific procedure to perform terminal cleaning of patient rooms and prepares rooms for new patients uses industrial cleaning agents and equipment following appropriate safety procedures operates mechanical floor cleaners polishers and vacuums moves furniture and other objects as needed in order to ensure adequate cleaning follows standard precautions using personal protective equipment as required  qualifications high school diploma or ged preferred ability to read write speak and understand english required experience in housekeeping in healthcare setting preferred notice our company’s recruiters are here to help unlock the next possibility within your career and we take your candidate experience very seriously during the recruitment process no recruiter or employee will request financial or personal information social security number credit card or bank information etc  from you via email the recruiters will not email you from a public webmail client like gmail or yahoo mail if you feel suspicious of a job posting or job related email let us know by clicking here  for questions about your job application or this site please contact hcahranswers at 1 844 422 5627 option 1 ,Entry level,environmental services,['Hospital & Health Care'],Full-time,['Other'],https://www.linkedin.com/jobs/view/1882541752/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
7,5eec2395e74247ffdaed3027,31:49.3,12,Environmental Services Aide,"MedStar Research Institute, Inc.","Washington, D.C., DC, US",Posted 4 days ago,25,job summary the incumbent in this position will perform a variety of duties necessary to maintain conditions consistent with the infection control standards of medstar national rehabilitation network mnrn  this role ensures the maintenance of a clean and safe environment the incumbent in this role must have the ability to adhere to mnrn policies and osha regulations as it relates to following and abiding by safety precautions as working with chemical agents is a requirement in this position minimum qualifications education training high school diploma or g e d preferred  experience minimum of 6 months experience working in housekeeping within a hospital setting preferred  license certification registration n a  knowledge skills  abilities the incumbent in this role must have written and oral communication skills in addition the incumbent should we customer service oriented and meticulous in their work and able to follow proper cleaning procedures to maintain a clean and safe environment primary duties and responsibilities distributes clean linen to appropriate areas removes soiled linen from utility rooms dusts mops and sanitizes patient rooms restrooms offices utility rooms and common areas using appropriate solutions empty trash and move waste to appropriate areas within the hospital cleans wax and polish floors by hand or machine vacuums carpeted areas moves furniture and supplies as directed reports repairs or malfunctions to evs director or group leader clean spills promptly and safely ,Entry level,environmental services,['Hospital & Health Care'],Full-time,['Administrative'],https://www.linkedin.com/jobs/view/1906179660/?eBP=NotAvailableFromVoyagerAPI&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
8,5eec239be74247ffdaed3028,31:55.9,13,Associate - Environmental Services - Phoenix,HiredAllied.com,"Phoenix, AZ, US",Posted 1 week ago,25,position description responsible for cleaning all areas of the facility including patient rooms offices rest rooms corridors floors and other areas as assigned  must collaborate with others organize well accomplish tasks solve problems and communicate effectively  qualifications must be able to lift 25 pounds  additional qualifications hs diploma or ged preferred the ability to read and write english is preferred  conversational english is preferred  previous housekeeping experience is preferred  exemption status non exempt compensation detail education experience and tenure may be considered along with internal equity when job offers are extended the minimum pay rate is 13 21 per hour  benefits eligible yes schedule part time hours  pay period 80 schedule details part time 8am to 430 pm works weekends and holidays weekend schedule works weekends and holiday 8 hour days site description over the next four years mayo clinic is making significant investments in both the physical and technological future of health care through doubling the size of the mayo clinic campus in phoenix inclusive of practice education and research activities mayo clinics campuses in arizona are located in phoenix and scottsdale in the beautiful sonoran desert the region is known as the valley of the sun a metropolitan area with more than 4 million residents in 25 cities and towns  with phoenix being the sixth largest city in the nation this sunny desert metropolis offers the amenities of a big city in the midst of a strikingly beautiful rugged southwest landscape  scottsdale frequently earns praise as a highly desirable place to live the citys more than 200 000 residents enjoy a vibrant mix of culinary hot spots arts and entertainment professional and collegiate sports teams and community resources the regions desert climate promotes an outdoor lifestyle with a full complement of sports and recreation  category support services job posting number 132639br recruiter pauline ptacek raiche equal opportunity employer as an affirmative action and equal opportunity employer mayo clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate women minorities veterans people from the lgbtq communities and people with disabilities are strongly encouraged to apply to join our teams reasonable accommodations to access job openings or to apply for a job are available ,Entry level,environmental services,"['Financial Services', 'Hospital & Health Care', 'Pharmaceuticals']",Part-time,"['Customer Service', 'Information Technology']",https://www.linkedin.com/jobs/view/1899608783/?eBP=NotAvailableFromVoyagerAPI&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
9,5eec23a3e74247ffdaed3029,32:03.2,14,Environmental Services Specialist I,La Rabida Children's Hospital,,Posted 1 month ago,25,job description full time position any day shift clean fixtures sinks toilets and tubs empty and clean west containers replace liners high dust vents clicks tops of doors door frames make beds with clean linen upload linen data into the hospital laundry computer clean in house linen job requirements high school diploma or equivalent g e d  preferred two or three years experience in health care environmental services work preferred required to read write and speak english ,Entry level,environmental services,"['Non-profit Organization Management', 'Mental Health Care', 'Hospital & Health Care']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1886839313/?eBP=NotAvailableFromVoyagerAPI&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
10,5eec23aae74247ffdaed302a,32:10.1,15,Environmental Services - AL0002843642,Shadescrest Health Care Ctr,,Posted 4 weeks ago,25,housekeeping work in nursing home requires some lifting will be cleaning in patient rooms common areas hallways eating areas and other duties as assigned pay and shift hours will be discussed at interview ,Entry level,environmental services,"['Food & Beverages', 'Hospital & Health Care', 'Hospitality']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1871989624/?eBP=NotAvailableFromVoyagerAPI&refId=619373df-67bf-46c1-a397-2a1e786f1cda&trk=d_flagship3_search_srp_jobs
