num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eebd6c5a6e9ff99130fa97e,04:05.2,0,Financial Services Representative,Fulda Area Credit Union,,Posted 2 weeks ago,25,job description fulda area credit union is looking for a financial services representative to provide prompt and courteous service to internal external customers in person and on the telephone must be friendly efficient accurate very detail oriented and enjoy working with the public this role may often be challenging so you should be able to remain calm and polite in tough situations the ideal candidate will be someone with exceptional member service skills past job experience in banking or similar customer service skills preferred ,,financial services,,,,https://www.linkedin.com/jobs/view/1862487803/?eBP=CwEAAAFyvuW7BPK_lGCAho-B_6t8YJB1ki0D1Pq8XYz-uIeSf76uBUZ3B8zh1SHrA_v6uqtHZTZNNez3D-x3jntte5obL3lSPlHMvzOyHuYpI3UfJEwao4nZsi8WB4hbpQppyqL0E8HBWVs-2cLl8Fo0nLEk_KJu3gpO3HrPouBB73-mvKgOlTdTHO86eqxm76-PlxcCO3pplfVA2v5adBnG1P_X2E9eUGqYR2Shxgi0zP1xxi4obyoKq1OHt6UNdRmjfzw4BngHwHXD-eS23Sin5eYViFIDkr5-kRsUjgcogwQbnsqTyG1_0rljCn_jKu9BAyGc5YMjcZ8zze78rSbXo5sKl1Yhbq461Z8CSJbcwyI&refId=156d61de-2638-435f-b8fc-ce96a14d5d33&trk=d_flagship3_search_srp_jobs
2,5eebd6d1a6e9ff99130fa97f,04:17.3,1,Financial Services Representative,First Horizon Bank,"Nashville, TN, US",,No longer accepting applications,develop and retain long term and profitable customer relationships to maximize revenue growth responsible for maintaining high customer service and procedural standards provides fulfillment of retail banking products either through referral based leads prospecting lists or self sourcing performs basic to moderately tasks  renews or opens new accounts opens and processes new demand and time deposit accounts including passbook accounts iras certificates of deposit and money market accounts  researches and resolves problems and responds to customer inquiries on account status maintains files  cross sells other bank services and refers customers to other departments as appropriate  banking center hours monday  thursday 800 am  400 pm friday 800 am  600 pm saturday 900 am  100 pm rotating sales goal oriented good verbal and written communication skills including consultative sales and presentation skills and cross selling skills proficient with applicable computer software good organizational and customer service skills  this position requires a high school diploma or ged with associates degree preferred zero to two years of sales experience is required ,,financial services,"['Banking', 'Financial Services', 'Retail']",Full-time,"['Sales', 'Finance', 'Accounting/Auditing']",https://www.linkedin.com/jobs/view/1892431370/?eBP=CwEAAAFyvuW7BNBBPOKEU1br8LCzl1IkeNnPf4mvy3C4tmrUZfUa-nfkrZUKpJV9H1ezZ0UwN0PyGsmzX9T43-TN2xnMRbSahKfD_9scpWPzVo8VjT5CpqDUyTul1-juX8DD3wzC0vB83k4dK4VltPMIYB0_1EIBzNttQ5mBQtc-gussibd45USti3Gb1NJ-FSOhdlVrz9afEVFrqV_fAWl5G_QLX64mwg_Ul7312FThZ4sVrCGReiZqHqo9hpqfxjRhrFWitbL1NIck3GeDzOi6LUbUIqqX4PFkOEtB7363FLPMKSK0CCReHUGG8ti8uo5MpIUr7stwswD5IQo532pa4iG3ykDH_7N-TEPSh_oNI60iiWheiKerwi2Fa_-jJasGmIJcUXfKsotRLw&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=156d61de-2638-435f-b8fc-ce96a14d5d33&trk=d_flagship3_search_srp_jobs
3,5eebd744a6e9ff99130fa989,06:12.4,11,Financial Services Representative,TargetCW,"Middle River, Maryland, United States",Posted 3 weeks ago,25,financial services representative full time middle river md 21220 13 16 hr doe  full benefits our company works with the maryland transportation authority to deliver next generation customer service to the states toll system if you are detail oriented have a steallar and positive attitude and enjoy working in finance we want you to apply,,financial services,,,,https://www.linkedin.com/jobs/view/1870099590/?eBP=CwEAAAFyvuW7BwpspPFgbrmNKwu9rp6NISmCm_RBw5gnVrQcPhCai6ZuWhM07fTwG5jeVfhBhhljyjnmNVcrasUH-Yl1Lp0h5sw-GerKPf79e0Ifjgx_AO4P2eSOrzpo8As42v7NUdE-I1r_DG9OMfL3gHNv2_wsZgFMLTkG3DcEmwzfwh3u-5LfRhF3MYTxfY4zIHXTjT9Y983PZGvL4IIcYLe3WL6hO401c8DAZ4Dlkbz5SZNcgXCCW_ea3llzMwBC01wbAGFQG8wKt7JlGe_i1QEn2MX3ev43qgxBZP9uZ345HKYaI9LIscHmEt8VqakzmfgS5LpbTAT0aCnpBWeux-UQMrstbRZ2-yMpSxechk8&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=156d61de-2638-435f-b8fc-ce96a14d5d33&trk=d_flagship3_search_srp_jobs
4,5eebd763a6e9ff99130fa98c,06:43.5,16,Financial Services Representative,Primerica,"48036, Clinton Township, Michigan, United States",Posted 3 days ago,25,we continue to follow the current recommendations closely and have adapted our thriving business model during the covid 19 pandemic providing all services online  seeking individuals for immediate employment to train as financial service representatives candidates must demonstrate high professional and ethical standards a positive attitude,,financial services,,,,https://www.linkedin.com/jobs/view/1875627627/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=156d61de-2638-435f-b8fc-ce96a14d5d33&trk=d_flagship3_search_srp_jobs
5,5eebd777a6e9ff99130fa98d,07:03.1,22,Financial Services Representative,VelvetJobs,"Deerfield Beach, FL, US",Posted 4 days ago,25,company description about company americas most convenient bank company americas most convenient bank is one of the 10 largest banks in the u s  providing more than 8 million customers with a full range of retail small business and commercial banking products and services at approximately 1 300 convenient locations throughout the northeast mid atlantic metro d c  the carolinas and florida in addition company and its subsidiaries offer customized private banking and wealth management services through company wealth and vehicle financing and dealer commercial services through company auto finance company is headquartered in cherry hill n j to learn more visit company website find company on facebook at company website and on twitter at company websiteus company americas most convenient bank is a member of company group and a subsidiary of the toronto dominion bank of toronto canada a top 10 financial services company in north america the toronto dominion bank trades on the new york and toronto stock exchanges under the ticker symbol company to learn more visit company website   the financial service representative fsr i is an insurance licensed employee providing customers with additional products and services and acting as wealth referral champion for the store the financial services representative fsr i is required to obtain and maintain active life and health license in the state in which they reside the financial service representative fsr i is the sales leader in their store and is the primary contact and resource for a multitude of products and services with primary focus on basic investment needs of customers fsrs need to provide consistent exemplary customer service through selling and cross selling a wide range of investment products banking products and services to new and existing customers fsrs need to show exceptional relationship building skills as well as have an aptitude for identifying needs and presenting appropriate solutions for those needs good verbal and communication skills needed success in this position is an excellent career path within the company structure consistently executes appropriate behaviors to deliver a legendary customer experience in the store conducts needs based conversations and offers financial solutions to meet our customers needs makes quality referrals to appropriate partners responsible for meeting individual performance metrics responsible for making sound decisions and timely problem resolution proactively reaches out to customers to deepen relationships through needs based conversations prepares for life and health licensing exams through proactive engagement in the education process and successful achievement of licensing requirements within the first 90 days meets with customers and prospects to develop understanding of other financial objectives and needs assesses customer information and suggests appropriate product and service solutions sells customers on value and benefits of suggested alternatives and closes sales maintains strong product and sales knowledge and champions core service values provides guidance and training to less experienced staff contributes to the ongoing improvement of the customer experience by leading coaching and modeling quality service at every customer interaction job requirements  1 years of related experience required life and health insurance required within 90 days of employment sales skills with the ability to influence customers excellent customer service and relationship building skills excellent written and verbal communication skills previous financial services or sales experience helpful developing knowledge of retail investment industry demonstrated effective problem solving skills demonstrated ability to schedule and prioritize work demonstrated ability to work independently and within deadlines ability to train less experienced team members strong pc skills  ability to provide community services including but not limited to financial education classes inclusiveness at company we are committed to fostering an inclusive accessible environment where all employees and customers feel valued respected and supported we are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live in and serve and creating an environment where every employee has the opportunity to reach their potential if you are a candidate with a disability and need an accommodation to complete the application process email the company us workplace accommodations program at  applytoshowemail  include your full name best way to reach you and the accommodation needed to assist you with the application process eoe minorities females veterans individuals with disabilities sexual orientation gender identity ,Mid-Senior level,financial services,['Financial Services'],Full-time,[''],https://www.linkedin.com/jobs/view/1881110176/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=156d61de-2638-435f-b8fc-ce96a14d5d33&trk=d_flagship3_search_srp_jobs
6,5eebd7aba6e9ff99130fa98f,07:55.6,39,Financial Services Representative,Adams Bank & Trust,,Posted 2 weeks ago,25,description job description we are searching for a positive initiative driven customer oriented individual to join our team  this position is a combination of teller and personal banking responsibilities which includes but is not limited to building strong customer relationships cross selling bank products and services as well as opening and closing various demand deposit accounts flexibility to travel between our region locations is a must  qualified candidates will have the following cash handling experience strong customer service and communication skills and interpersonal expertise musthave the ability to multitask and be detail oriented prior sales experience ispreferred a college degree can be substituted for experience however we will train the right person professional appearance is required ,Entry level,financial services,['Banking'],Full-time,[''],https://www.linkedin.com/jobs/view/1904799733/?eBP=NotAvailableFromVoyagerAPI&refId=9be4559b-33f9-47e7-9d56-9332eb60c9f3&trk=d_flagship3_search_srp_jobs
7,5eebd7b8a6e9ff99130fa991,08:08.9,41,Financial Services Coordinator,Canvas Credit Union,"Fort Collins, CO, US",,No longer accepting applications,this position will be located at one of our fort collins area branches  essential duties responsibilities schedule appointments with canvas advisors representatives and members in accordance with department standards consistently meet department quality service and production standards that promote member satisfaction retention and expansion promote and market the canvas advisors program to credit union employees and members assist with seminars make room arrangements assemble seminar packets and confirm seminar attendance coordinate lobby displays and ensure materials are well supplied and current coordinate mailings of newsletters surveys seminars annual review letters and appointment information forms maintain member marketing lists to ensure information is current and accurate type memos reports and correspondence manage calendars analyze sort and deliver incoming mail provide telephone coverage troubleshoot and resolve member and internal inquiries in a timely friendly and accurate manner maintain up to date and accurate filing system make photocopies fax documents and perform other clerical functions exhibit support for the organization’s mission vision purpose goals initiatives and cost control follow all safety and security guidelines to properly safeguard member and organization assets comply with bank secrecy act bsa and other compliance requests and requirements embrace ongoing education and learn apply new skills and software applications regular attendance and punctuality are essential functions of the job must be bondable through cuna mutual for employment with canvas pre employment drug test and thorough background review components include criminal employment address social security number motor vehicle record global sanctions sex offender and credit perform other job duties as assigned  knowledge skill and ability job qualifications professional courteous and effective verbal and written communication skills with ability to explain credit union products programs and benefits to members and prospective members strong interpersonal and customer service skills proven sales telemarketing and referral skills strong relationship building and teamwork skills efficient organizational and time management skills with ability to work independently and manage multiple priorities deadlines strong problem solving and decision making skills solid knowledge and understanding of canvas financial products and services proficient in ms office outlook excel word  ability to maintain confidences  education or formal training high school diploma or ged  experience minimum of one year of administrative experience prior financial institution sales experience preferred  working environment physical activities extensive telephone and computer work in a high volume faced paced office environment the job routinely uses standard office equipment such as computers phones phone headsets printers copiers fax machines and filing cabinets the position requires manual dexterity the ability to lift files and open filing cabinets the position requires bending stooping or standing as necessary  other duties please note this job description is not designed to cover or contain a comprehensive listing of activities duties or responsibilities that are required of the employee for this job duties responsibilities and activities may change at any time with or without notice  canvas credit union is an equal opportunity employer gender minority veteran disabled  e verify participation notice  english e verify participation notice  spanish right to work notice  english right to work notice  spanish,Entry level,financial services,"['Marketing & Advertising', 'Banking', 'Financial Services']",Full-time,"['Accounting/Auditing', 'Finance']",https://www.linkedin.com/jobs/view/1901669823/?eBP=NotAvailableFromVoyagerAPI&refId=9be4559b-33f9-47e7-9d56-9332eb60c9f3&trk=d_flagship3_search_srp_jobs
8,5eebd7bfa6e9ff99130fa992,08:15.2,42,Patient Financial Services Representative,Banner Health,,Posted 1 week ago,25,the future is full of possibilities at banner staffing services we’re excited about what the future holds for health care our team has come together with the common goal make health care easier so life can be better if you’re ready to change lives we want to hear from you  as the internal staffing registry provider for banner health banner staffing services bss provides opportunities within one of the country’s leading health systems the bss team is dedicated to providing personal attention and professional support for its employees registry opportunities are a great way to market your skills within banner health as a bss employee you are eligible to apply at any time as an internal applicant to any regular full time or part time opportunities within banner health    bss requires completion of post offer occupational health physical assessment drug screen and background check includes employment criminal and education ,Entry level,financial services,"['Staffing & Recruiting', 'Health, Wellness & Fitness', 'Hospital & Health Care']",,[''],https://www.linkedin.com/jobs/view/1878558608/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=9be4559b-33f9-47e7-9d56-9332eb60c9f3&trk=d_flagship3_search_srp_jobs
9,5eebd7c8a6e9ff99130fa993,08:24.4,43,Associate Financial Services Representative,E*TRADE,"Sandy, Utah, United States",Posted 1 week ago,25,are you interested in financial services? have you always wanted to learn the inner workings of the stock market? do you get excited about solving problems and having customers compliment your work? are you goal driven and competitive? if you answered yes to these questions you’re the person we want on our associate financial services team as an associate financial services representative you would use your amazing customer service skills and knack for problem solving to engage our clients via incoming calls and answer various questions related to their stock portfolios to get you started in your career with us e*trade will pay for your training to obtain your series 7  63 licenses   in this role you will provide excellent customer service by identifying customer needs and determining the best solution for them educate customers on e*trade’s competitive advantage and identify additional products they would benefit from show us your determination to drive sales follow processes and manage your time to be 100 efficient during your day continually learn about investments and the financial markets to address the individual client’s investment needs help the company to identify opportunities keep our clients and do your part to minimize risk when necessary be required to maintain a high level of personal integrity and comply with e*trade’s code of conduct  you’ll have to sign a statement agreeing to this it’s important connect with other groups to gather info to resolve customer issues you will never be on your own we’re a family  be involved in other projects and tasks because there may be other things you can help with ,Mid-Senior level,financial services,['Financial Services'],Full-time,"['Finance', 'Customer Service', 'General Business']",https://www.linkedin.com/jobs/view/1869848683/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=9be4559b-33f9-47e7-9d56-9332eb60c9f3&trk=d_flagship3_search_srp_jobs
10,5eebd7cfa6e9ff99130fa994,08:31.5,44,Trading Analyst,Great White Capital,"New York, United States",Posted 4 days ago,200,overview gwc is seeking an exceptional trading quantitative analyst to join our blooming investments team this person will work closely with our founder  cio in developing new trading strategies improving our current methods and directly contributing to the management of gwcs equities and options portfolio experience with data science and machine learning is required the candidate should have a passion for and experience in capital markets this role presents an opportunity for entry and high level growth within a start up and meritocratic fund our current strategies are accurately portrayed by trades posted on the firms page in real time and regularly please officially apply by directing your resume and short motivation aspirations message to careersgreatwhitecap com  specific responsibilities include responsibilities directly support cio development of data signaling models implementation and testing of new trading strategies risk management analyzing post trades doing pl analysis and portfolio reviews directly contribute to the growth of the fund skills  experience required qualifications bachelor’s degree with a minimum of 2 years’ experience in financial services is preferred proficient in sql tableau and one of the following python r strong statistics  probability knowledge strong economics knowledge previous trading experience preferred an entrepeneurial mind motivated to become a leader in the industry strong communication skills the ability to be flexible and learn the ability to identify high positive expected value opportunities and risks what we offer early entry in a start up technology oriented fund 100 remote at first part time flexible schedule until the firm takes the next step eventual equity in business commensurate to members value to the firm no salary no benefits in the beginning,Associate,financial services,"['Investment Management', 'Capital Markets', 'Investment Banking']",Part-time,"['Finance', 'Analyst', 'Engineering']",https://www.linkedin.com/jobs/view/1906003040/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=9be4559b-33f9-47e7-9d56-9332eb60c9f3&trk=d_flagship3_search_srp_jobs
