num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5ee86d705a841debe7457ee4,57:52.4,0,RN Hospital Wound Care Coordinator,Kindred Healthcare,"Gardena, CA, US",Posted 1 week ago,25,description interested in a career with kindred hospitals  a place where you can put your heart into and make a real difference in our patients lives  come and grow your career with kindred hospitals a division of kindred healthcare our culture of caring for our patients and residents begin with our core values  our employees we are committed to fostering professional growth and dedicated healthcare teams that make us the provider of choice we embrace a diverse workforce and understand that hiring outstanding people is the key to providing quality care  and quality care is what we do every day join us wound care coordinator job will supervise and educate hospital personnel regarding the management of wounds and the prevention of nosocomial pressure ulcers coordinate the investigation on improvement of nursing care and personnel performance and prepare reports  responsibilities develop treatment plan according to current wound care protocols explain dressing rationale institute preventive measures and monitor results of care delivered communicate information to supervisors and director of quality management advise physicians on status of wound patients provide demonstrations on dressing techniques to educate and orient in services nurses give hands on instruction regarding the principles of asceptic technique provide a list of patients with nosocomial pressure ulcers which includes patients name site state support surface and dates of evaluation to the director of quality management identify patients requiring debridement procedures and alert attending physician identify nutritional deficiencies coordinate with health care personnel to solve nutrition problems and report results to respective supervisors while performing daily rounds assist in delivery of patient care to accomplish wound care tasks ensure adequate materials are on hand for every patient attend wound care education programs designed to enhance the benefits patients can derive from the most recent techniques procedures available wound care coordinator coord of wound care coordinator wound care coordinator of wound care wound care rn registered nurse wocn wound care nurse hospital healthcare long term acute care transitional care hospitals qualifications requirements include a current rn state license previous experience in wound care highly preferred if you are a current kindred rehabcare employee click here ,Associate,hospital and healthcare,"['Health, Wellness & Fitness', 'Medical Practice', 'Hospital & Health Care']",Full-time,['Health Care Provider'],https://www.linkedin.com/jobs/view/1893032444/?eBP=CwEAAAFyu958gtzXqLbrYI3KbWertuJ8wVylMyEFyURyF8_PikH34PnC5a5W7Jlw6zMzl9Ofcu-xw7gbyUukjLOkSFg4_rNfWFp2qfsnF7gmtoLWQ7AQv-zQln9lvi5j9-oZlzHkUOPZhR4UvtjdJD903rSTDUcLcMxPDxzy5DKgkL90uNGJJ0bSdi2MFXSW3FiUXLN2PyCLqZKwgRJtUdwF0ffLkCW9HrOl_0d4SPd5QKmCgbHyJ_3c7h-BQ5BWyaWkNinPr1TTSFI2YUtElaXtrA1GhSFpArGSCCiZ2IAx8noBYKBTGjBaRUAjXDUKJQwzAnyQTCKTU8P4BaEM9oOVgBEux4P4Bsu0fBLv_FbbSRi3dSMd0n2EhDOluC9G-4cN7mUyO7m0uywYmA&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
2,5ee86d7b5a841debe7457ee5,58:03.9,1,Field Service Representative (Los Angeles),DJO,"Los Angeles, CA, US",Posted 2 weeks ago,25,job description we are seeking a dedicated talented individual with an athletic training background to join djo as a field service rep in the greater los angeles  orange county area this is a great opportunity to work in a clinical setting for the leader in orthopedic bracing with brands such as donjoy aircast procare and exos dont miss this great opportunity to start your career with an industry leader essential functions provides customer service to clinics physicians therapists and patients responds to questions issues and problems of moderate to complex scope serves as a liaison between customer and sales educates and trains office staff to maintain inventory in accordance with osha regulations manages product mix of franchise vs non franchise to designated level responsible for coordinating required audits of inventory as set forth by the djohs management team handles all defective products and returns them to djo for replacement instructs office staff on how to handle document and reissue products in the case of defective products ensures proper completion of djo measuring forms and insurance billing information forms for functional brace fitting works within emrs to access appropriate patient information for billing as well as to read and understand medical records educates and completes insurance verifications of benefits completes and delivers appropriate documentation to billing department following all necessary compliance and regulatory processes obtains certificate of medical necessity forms and chart notes as necessary and forwards to the billing department responsible for pre authorization of claims as required by individual insurance contracts responsible for proper fitting and instructions of soft goods bracing bone growth stimulation and all other djo products dispensed at clinics performs functional brace measuring and fitting as prescribed by the physicians of the clinic coordinates with patients for follow up fitting appointments as necessary responsible for educating staff members to djohs policies procedures identifies infection control area s for product disposal and educates staff of area requirements adheres to all internal corporate compliance guidelines and government healthcare regulations in addition to the policies and procedures set forth by the clinic or hospital administration other duties as assigned  qualifications minimum of 2 years’ experience in a hospital healthcare facility clinic or office or as an independent contractor working directly in the care of the orthopedic patient or related experience required experience dealing with multiple physicians in a high volume clinic required bachelor’s degree in a related field required holds a board of certification boc with appropriate state regulatory agency strongly preferred boc includes certified athletic trainer physical therapy certification orthopedic technology certification or related previous experience with inventory management programs and emrs strongly preferred demonstrated experience with the application of soft goods functional bracing preferred travel may be required to travel up to 90  of the time but overnight travel is not required must be willing to travel to various local clinic sites using own transportation upon request as dictated by territory work environment and physical demands field based i e physician’s offices hospitals clinics etc  physical demands must frequently lift and or move up to 20 pounds office desk work requiring sitting walking using phone and computer reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions  about djo global djo global is a leading global developer manufacturer and distributor of high quality medical devices that provide solutions for musculoskeletal health vascular health and pain management our products address the continuum of patient care from injury prevention to rehabilitation after surgery injury or from degenerative disease enabling people to regain or maintain their natural motion our products are used by orthopedic specialists spine surgeons primary care physicians pain management specialists physical therapists podiatrists chiropractors athletic trainers and other healthcare professionals in addition many of our medical devices and related accessories are used by athletes and patients for injury prevention and at home physical therapy treatment product lines include rigid and soft orthopedic bracing hot and cold therapy bone growth stimulators vascular therapy systems and compression garments therapeutic shoes and inserts electrical stimulators used for pain management and physical therapy products our surgical division offers a comprehensive suite of reconstructive joint products for the hip knee and shoulder our products are marketed under a portfolio of brands including aircast® chattanooga cmf™ compex® donjoy® procare® exos™ dr comfort® donjoy performance® and djo® surgical  for additional information on the company please visit www djoglobal com  djo is a growing subsidiary of diversified technology leader colfax corporation eoe aa m f vet disability all qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race religion color national origin sex protected veteran status disability or any other basis protected by federal state or local laws ,Entry level,hospital and healthcare,"['Consumer Goods', 'Hospital & Health Care', 'Medical Device']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1876296350/?eBP=CwEAAAFyu958goruSfVwoslE4zcRT9vGW21cnmqnAm7-df9gn4c0GSLKkIxybFPZaGKNl-aMl7sUYZxTBOLwbIYxQfhJNetj24YfJx-Q-pUGac-EusX1d38ctDYbhhY8KJkRxAqtK6BhUdtIrFc6OpQyTgjxMAFFzO0l4n2ooVmyU8a6Q_4KdLhjFB-EU-dhzBv5hdir4Gphxpt-9uq_psmL0m7EG3-Rzce66i0DlMOo7IkrKQ3VlBe2QFGyGcT4OeiqRZt_R2Whqy3sSYHf8qw7VEWACqVmSCr_ORd7DodYdrRLsmkqvzsVmO7WC5Z08fiL8G7Mj4JMIHGo4x9IZwE1XjIBfMhgSHA3kAlklXNeQwH-4RWyBeguOKhWvV-3nSa0K1UHS8kLXBku-w&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
3,5ee86d885a841debe7457ee6,58:16.2,2,Housekeeping Technician,St. Francis Medical Center,,Posted 1 week ago,25,job details high school diploma internal posting for sfmc associates only 01 9 2020 to 01 15 2020 st francis medical center sfmc is dedicated to serving the healthcare needs of the communities of southeast los angeles our vision is to be a values driven integrated health care delivery system in collaboration with those who share our values we operate a 384 bed acute care hospital and one of the largest and busiest private emergency trauma centers in los angeles county  treating more than 84 000 children and adults each year last year more than 5 000 babies were born at sfmcs family life center with 875 babies cared for in our state of the art neonatal intensive care center we are a primary stroke care center and stemi receiving center both of which are approved by the los angeles county emergency medical services agency  position summary performs a variety of general task in cleaning patient rooms offices public areas hallways and other assigned areas of the hospital to create and maintain a safe clean and orderly environment for patients visitors and associates  this position requires the full understanding and active participation in fulfilling the mission of st francis medical center it is expected that the associate holding this position will demonstrate behaviors consistent with our core values and will comply with all required standards governing our commitment to compassionate care exemplary service and serving our patients the associate holding this position will support st francis medical centers strategic plan and all essential elements of quality improvement and financial stewardship  education training experience high school graduate or equivalent ability to communicate and understand oral and written instructions in english previous experience in a hospital or healthcare setting preferred  bilingual english spanish preferred licenses certifications bcls c card aha only  physical demand analysis must continuously 66 to 100of a work day  walking on tile floors wrist rotation and deviation use bilateral upper extremities and hands in reaching above shoulder level standing must frequently 34 to 66 of a work day  lifting a minimum of 50 lbs twisting and bending of the neck forward and backward must occasionally 11 to 33 of a work day  stooping and squatting waist bending while standing,Entry level,hospital and healthcare,"['Non-profit Organization Management', 'Mental Health Care', 'Hospital & Health Care']",Full-time,"['Engineering', 'Information Technology']",https://www.linkedin.com/jobs/view/1842657504/?eBP=CwEAAAFyu958glr5Jq2_nahR5M2Ih2lGHcSalUtNR6cE8bemEZaC5O2x5W63rCaivuxonWgNP0nUrpIz00Vsq6xve0sJKlf7NexKvb9rPRo2Kr2b5ubsR3gpa43J_rtFcm1PhAcHdtDx9KKRcthve6vLhCi427LWBAACwNq4qa1MNt9tFqoQjZDHCRgyGnZvHGtyhJ086ijmlxatO2IXT-3dsSiP2RcFzg9FoZnmWtgg5Mzg0H3JsKJugMoMkxjQgtpzPhqEh5nvaZfH5HBvfVquf-TI6YFoiMC5VUhQUXGsCeiNcWiTZAZlk-l7oyAK0JNPPv1cop9nntM9KHK_BID5LWQWONp3IRj8Et8a9VZcAZs&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
4,5ee86d925a841debe7457ee7,58:26.0,3,Hospital Marketing and Community Liaison,"BHC Alhambra Hospital, Inc.","Alhambra, CA, US",Posted 1 week ago,25,responsibilities business development representative – full time one of the nation’s largest and most respected providers of hospital and healthcare services universal health services inc has built an impressive record of achievement and performance growing steadily since its inception into an esteemed fortune 500 corporation our annual revenues were 11 4 billion in 2019 in 2020 uhs was again recognized as one of the world’s most admired companies by fortune in 2019 ranked 293 on the fortune 500 and in 2017 listed 275 in forbes inaugural ranking of america’s top 500 public companies headquartered in king of prussia pa uhs has more than 90 000 employees and through its subsidiaries operates 26 acute care hospitals 328 behavioral health facilities 42 outpatient facilities and ambulatory care access points an insurance offering a physician network and various related services located in 37 u s states washington d c  puerto rico and the united kingdom our operating philosophy is as effective today as it was 40 years ago build or acquire high quality hospitals in rapidly growing markets invest in the people and equipment needed to allow each facility to thrive and become the leading healthcare provider in each community we serve  headquartered in king of prussia pa uhs has more than 81 000 employees and through its subsidiaries operates more than 320 acute care hospitals behavioral health facilities and ambulatory centers in the united states puerto rico the u s virgin islands and the united kingdom  bhc alhambra hospital is seeking a dynamic and talented business development representative the mission of bhc alhambra hospital is to develop implement and manage in the most ethical and efficient manner a network of superior behavioral health services with optimal client outcome  the business development representative implements the philosophy policy procedures systems and strategic goals set forth by the senior management team while maximizing referral potentials from assigned accounts and developing new business to achieve the goals and objectives of the business development systems  key responsibilities include develop new accounts and markets in the employer eap primary care physicians licensed practitioners and managed care segments as directed by the director of business development develop a designated number of qualified business development contacts per week which will achieve the overall business development goals and objectives develop account management list to maintain current account information and update as required contact all primary accounts through personal visits telephone calls and letters mailers on an ongoing basis developing and encouraging a relationship of trust with all active accounts monitor referrals and admissions and plan an appropriate strategy to maximize referral potential  qualifications position requirements education a bachelor’s degree in a behavioral health area marketing business administration of related field is preferred or equivalent combination of education and experience  experience minimum of two 2 years experience in health care business development marketing environment with measurable business development results and a knowledge of psychiatric and chemical dependency treatment principles preferred  licensure must have a valid driver’s license in applicable state within 90 days of employment  this opportunity provides the following *uhs is challenging and rewarding work environment growth and development opportunities within uhs and its subsidiaries competitive compensation generous paid time off uhs is a registered trademark of uhs of delaware inc  the management company for universal health services inc and a wholly owned subsidiary of universal health services inc universal health services inc is a holding company and operates through its subsidiaries including its management company uhs of delaware inc all healthcare and management operations are conducted by subsidiaries of universal health services inc to the extent any reference to uhs or uhs facilities on this website including any statements articles or other publications contained herein relates to our healthcare or management operations it is referring to universal health services subsidiaries including uhs of delaware further the terms we  us  our or the company in such context similarly refer to the operations of universal health services subsidiaries including uhs of delaware any employment referenced in this website is not with universal health services inc but solely with one of its subsidiaries including but not limited to uhs of delaware inc  uhs is not accepting unsolicited assistance from search firms for this employment opportunity please no phone calls or emails all resumes submitted by search firms to any employee at uhs via email the internet or in any form and or method without a valid written search agreement in place for this position will be deemed the sole property of uhs no fee will be paid in the event the candidate is hired by uhs as a result of the referral or through other means ,Entry level,hospital and healthcare,"['Mental Health Care', 'Health, Wellness & Fitness', 'Hospital & Health Care']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1897920865/?eBP=NotAvailableFromVoyagerAPI&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
5,5ee86d9c5a841debe7457ee8,58:36.8,4,RN QUALITY IMPROVEMENT COORDINATOR,BeverlyCare,,Posted Date,25,job summary the quality coordinator nurse coordinator provides oversight of the medical support team through the implementation coordination monitoring and evaluation of quality care delivery and process improvement accreditation and patient safety initiatives throughout beverlycare  the use of health information technology electronic health records patient portal data extraction and reporting etc  will be a major component of the qi program the quality coordinator reports to the medical director as well as the senior operations manager essential duties and responsibilities overall responsible for the delivery of nursing services and continuous quality improvement for the clinic ensures competencies of nursing personnel ensures standards of nursing practice upheld in the delivery of care ensures the clinic is survey ready at all times develops implements and measures outcomes of beverlycare’s quality improvement plan in accordance with the strategic goals of the organization federal and state laws and regulations and accreditation standards based on the clinic’s needs in collaboration with the all clinics staff provides ongoing leadership on quality issues including but not limited to managing projects and activities for patient safety performance improvement projects and accreditation activities and other initiatives responsible for the collection analysis interpretation and reporting of quality data trains and works closely with management and the staff to ensure that all clinical setup and workflow development is aligned with qi program requirements goals and objectives in partnership with the medical director facilitates the quality improvement committee develop meeting agendas and facilitate meetings advice and assure that quality improvement ideas are carried out and evaluated and performs requested follow up duties oversees developmental opportunities for medical support staff develops and implements continuing education programs to meet identified needs responsible for maintaining quality management documents case files and correspondence in an organized confidential and secure manner analyzes customer survey data and identifies plans for quality improvement as well as review patient experience and incident reports patient complaints and grievances and report on trends assists medical director with medical staff credentialing and privileges assists medical director with medical staff peer review activities for quality improvement purposes assists with chart reviews to ensure quality metrics are in compliance with the quality improvement plan participates in audit preparation and coordination working in partnership with both the clinical and operations staff monitors and evaluates the full spectrum of care and services provided to patients for quality continuous improvement and satisfaction develop and or revise annually beverlycare qi program work plan and annual evaluation actively participates on risk management activities and provides recommendation on prioritization of issues in risk assessment based on level of organizational exposure investigate matters related to complaints grievances and incidents including conducting internal investigations assures an incident resulting in patient injury is brought forward to appropriate agencies when appropriate develops plans and implements policies and procedures to support nursing and patient care services support the ongoing improvements of electronic health records ensures safe environment of care for all staff patients and families ensures delivery of quality nursing care acts as a patient and staff advocate ensures that patients have access to the providers and medical support in a timely manner assures optimal patient referral process for specialty care performs other duties and responsibilities as requested data management ensure maintenance of clinical program data collection management and reporting infrastructure ensure maintenance of clinic’s data dashboards compile monitor and report data related to qi operations and program evaluation hedis uds meaningful use mips management conduct routine reporting for external agencies skills and knowledge requirements bachelor’s degree in nursing at least one year of experience in ambulatory or hospital healthcare quality improvement programs knowledge of federal and state laws and regulations regarding quality programs including quality improvement and assurance in a health care setting understanding of patient safety issues qi project management knowledge data analysis and reporting and quality improvement skills  excellent communication skills to present updates of projects to senior leadership statistical analysis data display trending using excel or similar program ability to lead inter disciplinary work groups skilled in microsoft office microsoft access data entry and use of business email demonstrates behaviors based on the eight values of the organization caring accountability patient centered positive attitude open communication teamwork quality improvement and innovation training education and licensure completion of accredited registered nursing program current valid rn license and bls certification valid california driver’s license transportation available to meet job requirements ,Mid-Senior level,hospital and healthcare,"['Medical Practice', 'Non-profit Organization Management', 'Hospital & Health Care']",Part-time,"['Management', 'Administrative', 'Quality Assurance']",https://www.linkedin.com/jobs/view/1875459255/?eBP=JOB_SEARCH_ORGANIC&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
6,5ee86da75a841debe7457ee9,58:47.6,5,ER Patient Access Specialist,Virginia Hospital & Healthcare Association (VHHA),"Arlington, VA, US",Posted 1 month ago,25,er patient access specialist creating the best outcomes for our patients requires the right people at virginia hospital center our staff exceeds expectations by performing at the top level of the profession  virginia hospital center is a strong advocate for its employees and provides a true collaborative environment in which the healthcare team works closely together bringing skill experience and mutual respect to the task of providing superior medical care for our patients  the er patient access specialist is responsible for addressing public needs and managing the dissemination of resources to meet patient needs he  she is also responsible for registration of patients who need medical attention maintaining medical records receiving incoming calls and processing of paperwork  monitors the waiting area and addresses any complaints concerns expressed by patients family members or visitors notifies appropriate personnel of complaints concerns that require their attention obtains accurate information from patients for registration which includes correct name and address phone number insurance information employment and signatures needed for processing all essential information is entered into the computer identification and insurance cards are photocopied and attached to the chart all charts are signed for consent and initialed for correct address assists the doctors and nurses in finding information as needed assists patients with general information such as fees and resource personnel by referring them to the social worker and or financial assistance for application for medicaid high school diploma or equivalent is preferred experience in the healthcare field preferred,Entry level,hospital and healthcare,['Hospital & Health Care'],Full-time,['Health Care Provider'],https://www.linkedin.com/jobs/view/1890926721/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
7,5ee86db15a841debe7457eea,58:57.2,6,Clinical Analyst,Prosum,"Los Angeles, California, United States",Posted Date,25,we are seeking a clinical analyst with experience with inpatient documentation or information systems in a hospital healthcare setting  responsibilities clinical documentation specialist performs review of inpatient medical records to identify documentation opportunities to accurately represent the severity of illness risk of mortality length of stay intensity of service and hospital quality metrics improves the overall quality and completeness of clinical documentation by working closely with providers and the application of coding guidelines evidence based knowledge analysis in depth review interpretation identification of opportunities communication and consistent follow up and evaluation of concurrent and retrospective as required medical record documentation  • ability to build powerforms and tasking • iview  build and maintenance • mpages builds  workflow mpages the nursing ones • tracking board build  emergency and maternity • general knowledge of orders prosum is an equal opportunity employer,Mid-Senior level,hospital and healthcare,['Information Technology & Services'],Full-time,"['Research', 'Analyst', 'Information Technology']",https://www.linkedin.com/jobs/view/1881172106/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
8,5ee86dbb5a841debe7457eeb,59:07.5,7,Facilities Manager - Hospital/Healthcare,CBRE,"Memphis, TN, US",Posted 3 weeks ago,"Posted Date
Posted 3 weeks ago
Number of applicants
35 applicants",job summary  the purpose of this position is to manage multiple functions of building operations and maintenance for a hospital facility campus or portfolio of buildings must have relative hospital healthcare facilities management experience as well as strong experience in joint commission and surveys  essential duties and responsibilities  medical clinic and other healthcare experience is needed  oversight of large number of hospital beds and square footage    facilities management coordination and working with the project management teams   managing capital projects of various sizes and working with sizable budgets  strong client interfacing experience maintaining client relationship with ceo cfo and administration   leading team of supervisors technicians and engineers   tracking record of innovation best practices team work and leadership   develops and maintains positive relationships with clients attends client meetings  coordinates oversees and or manages repair and maintenance work assignments performed by technicians vendors and contractors performing building maintenance landscaping and janitorial work  reviews work orders to ensure that assignments are completed  responsible for facilities inspections and reports  coordinates and manages moves adds and change activities  obtains and reviews price quotes for the procurement of parts services and labor for projects  manages capital projects prepares capital project and operating budget and variance reports  manages vendor relationships and trains vendors on work order and billing procedures responsible for invoice processing and accuracy of cost center coding  uses pc and or pda for work order system email ess and training provides process and procedure training  conducts financial business analysis including preparation of reports  coordinates oversees and or manages repair and maintenance work assignments performed by technicians vendors and contractors performing building maintenance landscaping and janitorial work  other duties may be assigned  supervisory responsibilities  provides formal supervision to individual employees within single functional or operational area recommends staff recruitment selection promotion advancement corrective action and termination plans and monitors appropriate staffing levels and utilization of labor including overtime prepares and delivers performance appraisal for staff mentors and coaches team members to further develop competencies leads by example and models behaviors that are consistent with the companys values  desired skills and experience qualifications  to perform this job successfully an individual must be able to perform each essential duty satisfactorily the requirements listed below are representative of the knowledge skill and or ability required reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions  education and experience  high school diploma or general education degree ged required minimum of four years of related experience and or training associates degree or bachelors degree preferred with focus on business technical or management areas prior supervisory experience preferred  certificates and or licenses  facility management certification preferred drivers license may be required  communication skills  excellent written and verbal communication skills strong organizational and analytical skills ability to provide efficient timely reliable and courteous service to customers ability to effectively present information ability to respond effectively to sensitive issues  financial knowledge  requires advanced knowledge of financial terms and principles ability to calculate intermediate figures such as percentages discounts and commissions conducts advanced financial analysis  reasoning ability  ability to comprehend analyze and interpret complex documents ability to solve problems involving several options in situations requires advanced analytical and quantitative skills  other skills and abilities  intermediate skills with microsoft office suite outlook and intranet internet ability to use work order system working knowledge of architectural electrical and mechanical systems working knowledge of leases contracts and related documents  scope of responsibility  decisions made with thorough understanding of procedures company policies and business practices to achieve general results and deadlines responsible for setting work unit and or project deadlines errors in judgment may cause short term impact to department ,Mid-Senior level,hospital and healthcare,"['Commercial Real Estate', 'Facilities Services', 'Hospital & Health Care']",Full-time,"['General Business', 'Health Care Provider', 'Management']",https://www.linkedin.com/jobs/view/1872473090/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
9,5ee86dc55a841debe7457eec,59:17.3,8,"Specialist, Hospital/Healthcare Capital Projects & Infrastructure",McKinsey & Company,"Chicago, IL, US",Posted 1 week ago,"Posted Date
Posted 1 week ago
Number of applicants
96 applicants",apply now qualifications bachelor’s degree in engineering or architecture advanced degree preferred 3 5 years’ professional experience in capital projects and infrastructure preferable exposure to hospital and healthcare projects deep interest and or exposure to the way hospitals allocate building capital and special expenditure significant experience working on capex construction projects project management experience preferred high level of entrepreneurship professionalism and presence to succeed in a team based setting on the ground with clients enjoy hand’s on change management and operational implementation involving multiple stakeholders across a hospital organization strong problem skills with the ability to quickly process complex information and present it clearly and simply during change transformation efforts with clients experience and appetite in analytics and quantitative data analysis and ideally in the health care sector comfortable traveling up to 80 of the week to a client site who youll work with you will be a part of our provider performance improvement ppi  a group within our healthcare systems  services practice provider performance improvement helps hospitals implement strategies operating models and organizational enhancements that sustain improvements in quality of care and boost cost effectiveness  youll work in teams to collaborate as experts in the bottom up design design optimization risk management contracting and procurement construction management and the ramp up of production processes in capital intensive healthcare projects  you will likely carry out lean construction project implementations and capability building as part of this youll develop short and long term capability building plans for all relevant levels of client leadership and mckinsey client service teams with anticipated deliverables outcomes and required resources  we bring the best from both our capital  instructure practice and our healthcare systems  services practice leveraging operational and analytical skills to help executives meet these challenges our teams have served market leading institutions as well as hospitals embarking on large scale performance transformations what youll do you will be actively engaged with front line client teams involved in the construction of new healthcare facilities in all the stages strategic alignment design procurement and execution  in this role you will leverage your expertise to take ownership of tenure appropriate client relationships and guide clients through appropriate syndication discussions as well as longer term front line implementation projects for example if working on a procurement project you will use your existing operational or process expertise in procurement to weigh in knowledgeably with clients on how procurement choices can impact patient experience medical effectiveness and total project cost   you will deliver the necessary analysis to inform the problem solving process you will translate this analysis into actionable insights for your client teams to drive value capture ,Entry level,hospital and healthcare,"['Hospital & Health Care', 'Architecture & Planning']",Full-time,"['Consulting', 'Project Management', 'Strategy/Planning']",https://www.linkedin.com/jobs/view/1789847097/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
10,5ee86dcf5a841debe7457eed,59:27.3,9,Infection Prevention Coordinator,Virginia Hospital & Healthcare Association (VHHA),"Arlington, VA, US",Posted 1 month ago,25,infection prevention coordinator creating the best outcomes for our patients requires the right people at virginia hospital center our staff exceeds expectations by performing at the top level of the profession  virginia hospital center is a strong advocate for its employees and provides a true collaborative environment in which the healthcare team works closely together bringing skill experience and mutual respect to the task of providing superior medical care for our patients  the individual in this position is responsible for the health and safety of patients staff and guests regarding identification and or prevention of nosocomial infections and exposure to communicable diseases the infection prevention coordinator is also responsible for the health and safety of employees through utilization of osha standards and cdc guidelines  pay  benefits in addition to salary the benefit package includes paid major holidays vacation sick time health  dental insurance and 401 k  assists with the improvement of patient care by identifying preventing and controlling healthcare associated infections by utilizing infection prevention surveillance methods institutes infection prevention measures to prevent patient staff and visitor exposures to communicable diseases whenever necessary provides contact tracing and follow up for exposure to communicable diseases and report to appropriate health department as appropriate assists with the preparation for all regulatory inspections surveys drills by facilitating compliance with applicable standards laws assists with the prevention of healthcare associated infections through assisting with the process of managing as sentinel events all identified cases of unanticipated death or a major permanent loss of function associated with healthcare acquired infection participates on the hand hygiene initiative which includes the cdc hand hygiene guidelines for healthcare bachelors degree in nursing public health or related field required masters degree preferred graduate from an accredited medical school or physician assistant program preferred two years of infection prevention experience preferred one year experience wih aseptic techniques and data analytics preferred certification in infection control cic  licensed as a registered nurse by the virginia department of health professions or compact state licensure in nursing preferred,Entry level,hospital and healthcare,['Hospital & Health Care'],Full-time,['Other'],https://www.linkedin.com/jobs/view/1890924984/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=f7849cec-e8fb-46bb-abcd-e50b5eb84460&trk=flagship3_search_srp_jobs
