num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eecebc9f785fd1e0f04b029,46:01.2,1,Human Resources Generalist,Lucas Group,"Los Angeles, California, United States",Posted 1 week ago,200,title human resources generalist lucas group job id 1574486 location los angeles ca travel up to 50 a week role overview lucas group partnered with one of our long time retail clients to fill a brand new human resources generalist role added to enhance their employee relations effort the role will sit in the downtown los angeles warehouse and support the chatsworth warehouse the emphasis of this role is employee relations onboarding compliance and safety must have front line mentality and have direct experience from warehouse distribution or supply chain environments  focused responsibilities for this position include but are not limited to execute proactive employee engagement programs to ensure high levels of management credibility and business performance provide direction to the bench development process for all team members including performance management career development and workforce planning support regional recruiting for front line positions that deliver full compliance strong diversity and effective selection leverage leadership development and other training options to improve leadership capability to drive business growth provide counsel and support to managers and employees of ongoing hr initiatives and projects key qualifications include ability and willingness to travel each week up to 50 experience working within a warehouse or distribution center strong desired 3 years’ experience in a human resources coordinator generalist role in a progressive hr department bachelor’s degree strong business acumen and hr experience with a proven track record as an hr partner in an operations environment experience in proactive employee relations recruitment and staffing employee relations including fact finding managing conflicts and developing win win solutions is desired ability to lead through influence in a collaborate environment knowledge of state and federal employment law including hr technical knowledge of eeo aa fmla ada unemployment and worker’s compensation lucas group since our founding nearly 50 years ago lucas group has led and continuously transformed the executive recruiting industry by delivering transcendent executive talent to our corporate clients while helping individuals fully realize their career ambitions our collaborative culture attracts and rewards the industry’s top recruiters and coupled with industry leading methodologies drives superior results we have unparalleled reach across major u s cities job functions and industries with divisions specializing in accounting  finance human resources information technology legal military transition sales  marketing supply chain  operations as well as contract engineering from a one man operation in 1970 in atlanta lucas group has grown to nearly 450 employees and our success is built on unmatched customer service and bottom line results our objective to be a trusted consultant for all of your professional recruiting and placement needs ,Mid-Senior level,human resources,['Retail'],Full-time,['Human Resources'],https://www.linkedin.com/jobs/view/1898756444/?eBP=CwEAAAFyzW_DYdyzb9U26xIooc1v5PoLW3cdArOzRa1Yjvh6St5-VauLRNfY1wwY4WEOs6IV7Xcb-hYKKkg54Edzi0prm3i65r69w6yyQGAPVnzCPKx_BxhNg-_menj48Mo13lyE3j40LnaBiBtE9qy6uv_41gp6p_rEhkgYRF4x_UpSF58R6mniOJRsOWLhd0hTvXCna8XKCgWK1f2_R4fpBbj34xMJ3vDhmgwFaYjOPAKicp56EmnF_jPZrUJRt35nGX3360L3-YZgLbRXyo9OpJo1rILNTORf3vbya3kuljP_kWuB-0g1bK_2Y8bg3jL7nSOhFwSOkbSNzk5NwrvTBOs9XSWHcfnSR5gsQgW2HNVRyvzLCVg-bL0vu1E3dZCusg2iqNxVh19ApvBS&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
2,5eecebcff785fd1e0f04b02a,46:07.7,2,Human Resources Assistant,STG Communications,"44408, Columbiana, Ohio, United States",Posted 1 week ago,"Posted Date
Posted 1 week ago
Number of applicants
55 applicants",stg communication services is currently seeking a human resources administrative assistant to join their team job responsibilities include but not limited to assisting with day to day operations of the hr functions and duties providing clerical and administrative support to the senior staff responsible for human resources assistant duties including but not limited to employee onboarding termination paperwork recruiting compliance and benefits conduct initial orientation to newly hired employees and provides designated log in credentials compile and update employee records hard and soft copies maintains employee information by entering and updating employment and status change data maintains employee confidence and protects operations by keeping human resource information confidential skills and qualifications reporting skills maintaining employee files dependability organization confidentiality independence orienting employees verbal communication teamwork requirements strong ability in using microsoft office excel word and powerpoint ability to handle data with confidentiality excellent communication and interpersonal skills excellent organizational and time management skills ability to meet deadlines reports to work on a daily and timely basis assists with special projects as needed ,,human resources,['Wireless'],Full-time,['Human Resources'],https://www.linkedin.com/jobs/view/1880443488/?eBP=CwEAAAFyzW_DYcywUZCO7W3yKXvAscYMfzyGmqAzplE5UtJvsKeOHbTzdYkThC_j7vlxSMwmktapw4v2tuv-cmN7aMsbe_iRHCleqMlocMB0XMh9tTGWi4Z3SdQMHVF4210Nogb8W5XdDOG6HI-zIocNdeMeGh8V698mi_gk45dqF7IcKUiIoiZ-XW_q01SDnEnXJxiPoRDBG7DPXdr_WhKUAk-J_Ei1_xemLmctUO6fBTP0CajAbmefzX4T60w7nVXv0YZZF38Y7ZT_xPrlT-FuyEPc5xmaA83qWJm1nCFl72XR7x1vBP-2ab_kh2GYwsHQRb_DhY9fX45k_hXUkUm_8Ys8j-De0pAxPDWI7czBqxfv8OVHNCw4fCLuerE8IIEGgfd2HWwX1ELmvl0a&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
3,5eecebddf785fd1e0f04b02c,46:21.6,4,Human Resources Generalist,,"Elizabeth, New Jersey",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
91 applicants",location elizabeth nj type full time m f hours 900 am to 600 pm must have a flexible schedule must be able to work on sundays when needed the ideal candidate will be responsible for recruitment efforts new hire orientation and onboarding employee termination payroll and benefits company policy and procedure adherence in addition you will build strong relationships with our companys managers in order to help them with their human resource needs  responsibilities oversee full cycle of recruitment efforts develop and oversee new hire orientation onboarding efforts and employee termination process ensures compliance with company policies and procedures and legal responsibilities partner with the hr manager to develop or implement recruiting strategies or anticipated staffing needs conduct exit interviews and ensure that necessary employment termination paperwork is completed  review employment applications and job orders to match applicants with job requirements processes and administers all leave of absence requests and disability paperwork medical personal disability and fmla qualifications bachelors degree or equivalent experience in business human resources or related area 3 years of experience working in human resources strong interpersonal and communication skills knowledge of principles and procedures for personnel recruitment selection training compensation and benefits labor relations and negotiation and personnel information systems works well under pressure and meets tight deadlines highly computer literate with capability in email ms office and related must be bilingual  spanish ,Mid-Senior level,human resources,"['Warehousing', 'Consumer Electronics', 'Wholesale']",Full-time,['Human Resources'],https://www.linkedin.com/jobs/view/1908512416/?eBP=JOB_SEARCH_ORGANIC&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
4,5eecebe4f785fd1e0f04b02d,46:28.3,5,Human Resources Generalist,Midwest Foods,"Chicago, Illinois, United States",,No longer accepting applications,hr generalist midwest foods is a wholesale food distributor providing top quality food products to numerous food establishments in chicago surrounding suburbs michigan wisconsin and indiana we import fruits  vegetables from all over the world and distribute these products to local markets we are currently seeking an hr generalist essential duties and responsibilities · serve as a bilingual point of contact for all hr related functions · oversee all recruiting interviewing onboarding and orientation process of new candidates ,,human resources,,,,https://www.linkedin.com/jobs/view/1884409490/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
5,5eecebeaf785fd1e0f04b02e,46:34.7,6,Human Resources Generalist,Balboa Capital,"575 Anton Boulevard 12th Floor, Costa Mesa, CA 92626, US",Posted 3 days ago,200,the ideal candidate will be responsible for new hire orientation and onboarding employee termination payroll and benefits company policy and procedure adherence in addition you will build strong relationships with our companys managers in order to help them with their human resource needs  responsibilities implements human resources programs by providing human resources services including employment processing benefits administration training and development records management safety and health employee relations retention and terminations,,human resources,,,,https://www.linkedin.com/jobs/view/1881155927/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
6,5eecebf2f785fd1e0f04b02f,46:42.4,7,Human Resources Payroll Assistant,Our Work For Client,"Wilmington, CA, US",Posted 1 day ago,25,looking to get your foot in the door with a fortune 500 oil and gas company? our client is looking to add an administrative assistant with payroll experience to their team under the general direction of the human resources business partner this position provides payroll timekeeping and administrative support of the human resources department objectives must be multi task oriented and have a strong sense of urgency to ensure payroll deadlines are met  responsibilities human resources assistant may be responsible for interacts with all levels of management including support staff and outside vendors tracks new hire process schedules interviews manages applicant flow sets up personnel files and training records prepares monthly tracking and status reports provides support in biweekly and semi monthly payroll process as well as using scheduling express prepares workforce queries using the sap hr system maintains storage cages in the basement of the hr building purchases and maintains the inventory of office supplies for the hr department manages the attendance control tracking database and sends notices to supervisors assists in scheduling training sessions for other hr training as appropriate document  records management  a primary focal point for hr group works with hr business partners on recruiting and selection activities and provides support on the staffing express system execute payroll processing activities including generating accurate and timely hourly represented payroll data into sap cats per the company policies and collective bargaining agreements prepare and file bi weekly monthly quarterly and annual reports assist employees and supervisors with workforce timekeeping training payroll issues and requests for payroll information on a regular basis research payroll issues discrepancies and process necessary corrections comply with the regulatory standards policies and procedures of payroll assist the hr business partner as necessary with new hire documentation processing of paperwork for hires terminations promotions demotions status change forms and transfer paperwork and personnel actions providing quality and courteous customer service to employees hr business partner and management on sap hr personnel  payroll administration transactions processing a high volume of incoming calls and email requests in a timely manner reviewing monthly reports to validate data handling a wide range of questions and interprets policies and procedures to provide answers identifying process improvements and assist with implementing streamline processes maintaining a broad knowledge of hr processes policies and procedures  basic  minimum qualifications high school diploma proficient perform the skill with limited assistance with word excel and powerpoint 3 5 years experience in hr administrative support function must have valid ca drivers license and be able to travel between the companys two plant facilities as needed two years of experience handling payroll and or timekeeping functions including data entry knowledge and or familiarity with california employment and payroll laws and regulations basic understanding of or experience with hr eeo employment laws and practices record keeping requirements and handling confidential information must be able to take direction set priorities and show initiative must be able to work in a team environment excellent verbal and written communication skills able to work independently able to manage unplanned critical tasks at the same time excellent organizational skills as this job requires frequent diverse interfaces with all levels of management able to maintain strict confidentiality and establish effective work relationships at all levels of the organization  preferred qualifications associates or bachelors degree 1 2 years experience using sap hr knowledge of disability benefits the family medical leave act fmla  and attendance programs experience in a union environment if you have the skills apply with primary services today,Entry level,human resources,"['Information Technology & Services', 'Staffing & Recruiting', 'Financial Services']",Full-time,['Human Resources'],https://www.linkedin.com/jobs/view/1910851844/?eBP=NotAvailableFromVoyagerAPI&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
7,5eecebf8f785fd1e0f04b030,46:48.9,8,Human Resources Generalist,Pentair,"Apopka, FL, US",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
38 applicants",job description pentair currently has an opening for a human resources generalist to join our team at our apopka fl location in this role the human resources generalist will manage administer and implement hr policies procedures programs and documentation this human resources generalist will participate in employee relations management organization change facilitation and termination process          the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this job the employee is frequently required to stand walk sit reach with hands and arms and talk or hear   the work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this job the employee is occasionally exposed to moving mechanical parts on the factory floor may need to work in an environment where the noise level could be moderate to very loud   with our expanding global presence cross cultural insight and competence are essential for our ongoing success we believe that a diverse workforce contributes different perspectives and creative ideas that enable us to continue to improve every day race gender ethnicity country of origin age personal style sexual orientation physical ability religion life experiences and many more factors contribute to this diversity  we take ongoing action to improve the diversity of our workforce by,Mid-Senior level,human resources,"['Electrical & Electronic Manufacturing', 'Logistics & Supply Chain', 'Mechanical Or Industrial Engineering']",,"['', '', '']",https://www.linkedin.com/jobs/view/1884817902/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
8,5eecebfff785fd1e0f04b031,46:55.2,9,"Sr Manager, Human Resources",Los Angeles Times,"El Segundo, CA, US",Posted 2 days ago,"Posted Date
Posted 2 days ago
Number of applicants
55 applicants",join the hundreds of talented and innovative team members who are making an impact every day at one of the most iconic media brands in the nation whether you love to tell compelling stories or want to drive our award winning powerhouse in new directions the los angeles times team is the place to be  job description summary the sr human resources manager is directly responsible for the overall administration coordination and evaluation of the human resource function including managing personnel this position is responsible for leading a broad range of hr responsibilities including employee relations talent performance management career development compensation compliance benefits and employee programs ability to project manage programs and initiatives understands business operations strategies and ensures alignment between hr activities and the strategic priorities of that business unit and the company this is a highly dynamic role that requires superior business acumen combined with hr competencies in all facets including labor relations        thank you for your interest in joining our team at the los angeles times we look forward to reviewing your application ,Mid-Senior level,human resources,"['Electrical & Electronic Manufacturing', 'Machinery', 'Mechanical Or Industrial Engineering']",,[''],https://www.linkedin.com/jobs/view/1884865022/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
9,5eecec05f785fd1e0f04b032,47:01.6,10,Human Resources Assistant,Kelly,"Marlborough, Massachusetts, United States",Posted 3 days ago,"Posted Date
Posted 3 days ago
Number of applicants
94 applicants",kelly services is recruiting for a temporary hr assistant in the marlborough ma area this is a first shift opportunity with a reputable company summary this role will provide first line human resources support for plant operations ~400 employees in marlborough ma the hr assistant an individual contributor and will work with the site hr manager for the global supply chain business segment  key responsibilities include • advise and partner with the functional  departmental leaders on hr matters • works with leaders and managers to professionally execute corporate policies and hr programs ensuring appropriate and agreed levels of quality delivery and cost • responsible for supporting advising and consulting on all aspects of hr including salaried and non salaried employee relations employee payroll and compensation employee engagement organizational design and change • serving as an employee advocate balancing fair labor standards company policy and practice and business needs • coaching counseling and providing employees support related to hr policies and procedures relative to transfer promotion compensation benefits and conditions of employment • assist with communication engagement and change management • support managers with talent acquisition needs • assist in managing implementing and training of hr systems in order to maintain integrity of employee and organizational data • conduct any additional duties as required some qualifications • bachelor’s degree in business administration human resources industrial relations industrial organizational psychology or a related discipline in which business knowledge and an understanding of human resource practices are gained • hr systems knowledge workday adp payroll   ,,human resources,"['', '']",,"['', '']",https://www.linkedin.com/jobs/view/1881499080/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
10,5eecec12f785fd1e0f04b034,47:14.5,12,Human Resources Payroll Manager,Triumph Recovery,Los Angeles Metropolitan Area,Posted 3 days ago,"Posted Date
Posted 3 days ago
Number of applicants
31 applicants",company overview tide rock holdings a successful private capital investment firm has begun making investments in the addiction treatment market with the goal of building a larger and more comprehensive behavioral health services company this company will provide enhanced mental health and addiction services and offer a continuum of care including residential treatment outpatient treatment telehealth and other wellness services the first two acquisitions were completed in early 2020 with the addition of carus recovery and triumph recovery these acquisitions have already established a strong foundation for growth with the existing operations generating multi million dollar profit a committed capital partner in tide rock for acquisition financing and a newly hired industry veteran ceo with over 15 years’ experience managing premier programs tide rock’s near term goal is to scale the company through multiple acquisitions in 2020 and drive organic growth this position is a strategic addition to the company aimed to strengthen its human resources foundation in support of this rapid growth    due to high response rates only applicants who match the qualifications will be contacted  ,,human resources,"['', '']",,"['', '', '']",https://www.linkedin.com/jobs/view/1881170461/?eBP=CwEAAAFyzW_DYUORXk8MM17x5cxzSVXCFgKJx2u_JXgzVUsskHLxtOmvzKYF9HTo3BO2w0yh_wHMK_WCrtPQUf258L3WrIbPuRX1ClLkMvGqKyVMrdOaVXEn1Z803qJ9SFpCKJr9NBy9MrP38RRNQVtziY8EttVwuHoiWI394rgmKPYf1DTiMNzn9Yqn58XtF60DwQAvPhlV1E0kCsMOMsMKTodiri9pjihq1rXfKZL0kaQJkQ22qzeOX2tzfooc7Gj8RgOr5JgpOiluDySK1Ewi8nH2B-y95-NeTx7aQV5qXmarzky8TH5o6UT3wRpgt1TEdHAbJbmQJ4yfaKgpyR3lpFLYEvaGHZm0QjPrx6BP4TIVPxLJbYa_J-sbY0m1jTTwaUBx2uFjUF51PNji&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ab2088f4-172d-466f-ba13-bb72b40b67c7&trk=flagship3_search_srp_jobs
