num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eed787ff785fd1e0f04c8f5,46:23.0,0,"Investigations Specialist, External Investigations",Amazon,"Goodyear, AZ, US",Posted 1 week ago,25,description the investigations specialist external investigations will provide support and analysis of investigation and resolution services pertaining to the protection of people product and data for amazon this individual will be responsible for actionable recommendations derived from data analysis that impact external loss protection programs and investigations while driving profitability through shrink improvement additionally this individual will be responsible for pursuing all field investigative matters of customer seller and vendor fraud leveraging various data points and analytics across the enterprise to identify organized retail crime activity investigating accordingly the investigations specialist external investigations will be a key member of the security and loss prevention team this position is based in phoenix az and will report to the manager of investigations strategic investigative solutions loss prevention global security operations     amazon is an equal opportunity employer – minority  women  disability  veteran  gender identity  sexual orientation  age   amazon com services llc job id a1031803,,security and investigations,"['Computer Software', 'Information Technology & Services', 'Internet']",Full-time,"['', '', '']",https://www.linkedin.com/jobs/view/1880421670/?eBP=CwEAAAFyz5gIm4dbBfdRfKeLtDARJb1rbuSZe28SBZ0VapgDYJzYhklFXvUTgwuEthdU3c1ruD25aYlTSTrZw_v1dms7you6x_vRoaogKOWJqiOs8JV1h4yggnOFIx0V9mC7G29xiBt1BTJe67SHTpLS2sn_Qq_KQDaMCShvKsNGNLJ8Kg7K8QbtPNOOd2f9y9NXOXEQcuxtfLS2dYyZGCPOmJ-01ghb8UfkQMGCxfUKuuG8lf3nG2kolVkxZxF1JgsjIHbxR3u5BGPkHI1ZfRZ9JlhkSvYHbBB1fOMCLhD_Zm4ARnRksKI3aT32XzqnGjGDfa1VZhT1eIwmmK1eUnvfFglUbL47JmgwxLWHcav_MiTxdmwojCT6KFO4h90yha_56iRqJkCN2IZxvSDX&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
2,5eed7885f785fd1e0f04c8f6,46:29.6,1,Security Officer,Dignity Health,"Long Beach, CA, US",Posted 3 weeks ago,25,overview founded as a faith based hospital in 1923 by the sisters of charity of the incarnate word dignity health  st mary medical center is a 389 bed acute care nonprofit hospital located in long beach california the hospital offers a full complement of services including a level ii trauma center cardiac and vascular center surgical weight loss maternity and the care center which is a recognized prep center of excellence the hospital shares a legacy of humankindness with dignity health one of the nations five largest health care systems visit for more information   the security officer is expected to provide a reasonably safe and secure environment for all who enter dignity health properties and to assure the physical security of buildings and grounds it is expected that the security officer will demonstrate behavior consistent with dignity health core value and humankindness the security officer shall support dignity healths strategic plan and the goals and direction of the quality improvement process improvement activities responsibilities include  hellosecurityofficer security officer guard safety protection guard card iahss law enforcement military service police  public safety     equal opportunity dignity health is an equal opportunity affirmative action employer committed to a diverse and inclusive workforce all qualified applicants will be considered for employment without regard to race color religion sex sexual orientation gender identity national origin age disability marital status parental status ancestry veteran status genetic information or any other characteristic protected by law for more information about your eeo rights as an applicant please dignity health will not discharge or in any other manner discriminate against employees or applicants because they have inquired about discussed or disclosed their own pay or the pay of another employee or applicant however employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information unless the disclosure is a in response to a formal complaint or charge  b in furtherance of an investigation proceeding hearing or action including an investigation conducted by the employer or c consistent with the contractors legal duty to furnish information 41 cfr 60 1 35 c  external hires must pass a post offer pre employment background check drug screen qualified applicants with an arrest and or conviction will be considered for employment in a manner consistent with federal and state laws as well as applicable local ordinances ban the box laws including but not limited to the san francisco and los angeles fair chance ordinances if you need a reasonable accommodation for any part of the employment process please contact us by telephone at and let us know the nature of your request we will only respond to messages left that involve a request for a reasonable accommodation in the application process we will accommodate the needs of any qualified candidate who requests a reasonable accommodation under the americans with disabilities act ada  dignity health participates in e verify ,Entry level,security and investigations,"['Non-profit Organization Management', 'Health, Wellness & Fitness', 'Hospital & Health Care']",,"['', '', '']",https://www.linkedin.com/jobs/view/1875839592/?eBP=CwEAAAFyz5gIm1F7qw33g-zljqhv5DcE5gitsGsmljXHohCP67xo_qpAMu99WxIKPkNVLjP3PWSs3nrGamppaM4IPztRuoupTJgzBALkZuz2Q3MhxO6UKaDZBz9dLQ6QCs7hQljwUlI2G5E2Gc9VzSiAnpyjnULEN4rk5uMmTNY87TrJfACzs5uRIqGBoeVx0_vQc3zJWn1fazCt2lgZx2_frDlLTnA7oqtFUWQ92uEOczDxZSJwmeX93aZGdMxr0t1_-6MEzSV1aqDN34cWuOjIpwvvSgBhbAjnmpnLhAbG5rsB2ASG2QNDLN7nw1mXyB-AzUfVkqjsvHUHVKfSmTEndBedxfcHTlyFik9X1pox3A_Fuh2aZ2pZjqux0cL89b7O781CpiiGrFhocr4b&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
3,5eed788cf785fd1e0f04c8f7,46:36.1,2,Security and Safety Officer,Providence Health & Services,"Polson, MT, US",Posted 4 days ago,25,description providence is calling a security and safety officer hospital administration variable shift 0 9 fte to providence st joseph medical center in polson montana we are a community of caregivers delivering every day on our mission to provide compassionate care that is accessible for all – especially those who are poor and vulnerable  primary shift variable shift subject to change depending on department need        providence st joseph medical center is a 22 bed critical access hospital in beautiful northwest montana employing nearly 250 employees including physicians with expanding services building renovations and outstanding technology our community hospital is the heart of medical care in polson montana and the large sparsely populated surrounding area we have close ties to st patrick hospital providences tertiary center located 66 miles away in missoula   http www providenceiscalling jobs rewards benefits   as expressions of god’s healing love witnessed through the ministry of jesus we are steadfast in serving all especially those who are poor and vulnerable   providence health  services is a not for profit catholic network of hospitals care centers health plans physicians clinics home health care and services guided by a mission of caring the sisters of providence began over 160 years ago providence is proud to be an equal opportunity employer providence does not discriminate on the basis of race color gender disability veteran military status religion age creed national origin sexual identity or expression sexual orientation marital status genetic information or any other basis prohibited by local state or federal law  full time variable facilities security montana polson 256689,Associate,security and investigations,"['Non-profit Organization Management', 'Health, Wellness & Fitness', 'Hospital & Health Care']",,"['', '']",https://www.linkedin.com/jobs/view/1860998930/?eBP=CwEAAAFyz5gImzQx4oYZKJ7mjeJEvUYKksxkzlXLZalCb2-Z2j__O1MOAU87xMpPDKkOy1UCb0wVeVA2uJZyzKDiY1VphXMgUjmTqUT8USq_PV7sCNhop3AP7RkUOoU9qGRuD7B_DIfT_fmU4a5HD8QK9GtIEf4tt6eU9QKMOHJu3H1V6Lur52OOR7Wqv8HaTB2dmRwjfptaxTEExkSATAhWVcj1BbkO2wcn1MXNQkGGmKfy0le1k5tjiJtBPUsdgAxQaMrXApmXbbtONTT-jH4x7LtHNeJsLr-jrk5HufGwT9Rd_syGcy5y4eaRJfXikR7_Ew1lGJRRZrB9-x-azciR-SIrrod03-rEdS-nwbvKq8CBgXsCeorAVEQODdpiNeqgVjX7fOrtCGpUJFDT&recommendedFlavor=COMPANY_RECRUIT&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
4,5eed789ef785fd1e0f04c8f9,46:54.5,4,Investigations and Inquiries Specialist,United States Department of Defense,"Los Angeles, CA, US",Posted 1 month ago,25,duties help duties summary additional information this announcement may be used to fill one or more vacancies  duties and responsibilities vary and may increase according to grade level  this public notice may be used to fill target grades i e gs 05 and gs 07  learn more about this agency  travel required occasional travel  you may be expected to travel for this position  supervisory status no promotion potential 7 1801 general inspection investigation enforcement and compliance series help  conditions of employment  basic qualifications  i have at least one year of specialized experience equivalent to the gs 04 level in federal service which equipped me with the particular knowledge skills and abilities ksas to successfully perform the duties of the position and that is typically in or related to the position being filled   specialized experience i have at least one year of specialized experience equivalent to the gs 05 level in federal service which equipped me with the particular knowledge skills and abilities ksas to successfully perform the duties of the position and that is typically in or related to the position being filled  to view qualifying educational requirements and or combination of education and specialized experience click on the following link https www opm gov policy data oversight classification qualifications general schedule qualification standards 1800 general inspection investigation enforcement and compliance series 1801  knowledge skills and abilities ksas  your qualifications will be evaluated on the basis of your level of knowledge skills abilities and or competencies in the following areas part time or unpaid experience credit will be given for appropriate unpaid and or part time work you must clearly identify the duties and responsibilities in each position held and the total number of hours per week  volunteer work experience refers to paid and unpaid experience including volunteer work done through national service programs i e  peace corps americorps and other organizations e g  professional philanthropic religious spiritual community student and social  volunteer work helps build critical competencies knowledge and skills that can provide valuable training and experience that translates directly to paid employment you will receive credit for all qualifying experience including volunteer experience  education if using education to qualify you must provide transcripts to support your educational claims education must be accredited by an accrediting institution recognized by the u s department of education  foreign education education completed in foreign colleges or universities may be used to meet the requirements you must show proof the education credentials have been deemed to be at least equivalent to that gained in conventional u s education program it is your responsibility to provide such evidence when applying  sdl2019 258,Entry level,security and investigations,"['Construction', 'Government Administration', 'Hospital & Health Care']",,[''],https://www.linkedin.com/jobs/view/1900109091/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=COMPANY_RECRUIT&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
5,5eed78b0f785fd1e0f04c8fb,47:12.6,6,Information Security Analyst (Incident Response),SpaceX,"Los Angeles, CA, US",Posted 1 month ago,"Posted Date
Posted 1 month ago
Number of applicants
141 applicants",spacex was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not today spacex is actively developing the technologies to make this possible with the ultimate goal of enabling human life on mars  information security analyst incident response  we are a target of both nation states and people focused on brand destruction information drives our business and we must protect against unauthorized changes improper destruction loss or theft of that information as a highly visible and dynamic organization we must also value and guard against damage to our reputation and brand finally it is paramount that we defend against loss of control or confidence in our systems in order to guarantee the highest probability of mission success spacex information security analysts are responsible for network monitoring preventative and detective controls forensics and investigations security awareness security vulnerability management and cyber threat intelligence activities         spacex is an equal opportunity employer employment with spacex is governed on the basis of merit competence and qualifications and will not be influenced in any manner by race color religion gender national origin ethnicity veteran status disability status age sexual orientation gender identity marital status mental or physical disability or any other legally protected status  applicants wishing to view a copy of spacexs affirmative action plan for veterans and individuals with disabilities or applicants requiring reasonable accommodation to the application interview process should notify the human resources department at 310 363 6000 ,Associate,security and investigations,"['Electrical & Electronic Manufacturing', 'Aviation & Aerospace', 'Mechanical Or Industrial Engineering']",,[''],https://www.linkedin.com/jobs/view/1854779656/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=COMPANY_RECRUIT&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
6,5eed78b7f785fd1e0f04c8fc,47:19.3,7,Security Officer,Management & Training Corporation,"Los Angeles, CA, US",Posted 6 days ago,25,brief job description ensure the security of buildings and property maintain log of findings and action taken perform administrative functions such as creating incident reports and conducting investigations follow protocol in terms of student check in and out to and from the center grounds check identification of students and staff permit and deny entrance or exit assist the center staff in conducting safety inspection other duties as assigned education and experience requirements high school diploma or equivalent and one year security experience united states armed forces organized police department or firefighting organization preferred valid california guard card preferred valid drivers license with an acceptable driving record  applicants must pass background check and drug test  wage 15 00 hour about los angeles job corps job corps is a no cost education and career technical training program administered by the u s department of labor that helps young people ages 16 to 24 improve the quality of their lives through career technical and academic training the job corps program is authorized by title i c of the workforce innovation and opportunity act of 2014 supersedes wia 1998  for more information about the job corps program at a national level please visit our official public web site http www jobcorps gov  at los angeles job corps center we support the job corps programs mission to teach eligible young people the skills they need to become employable and independent and place them in meaningful jobs or further education  management  training corporation is an equal opportunity employer minority female disability veteran,Entry level,security and investigations,"['Non-profit Organization Management', 'Government Administration', 'Hospital & Health Care']",Full-time,"['Other', 'Information Technology', 'Management']",https://www.linkedin.com/jobs/view/1905500207/?eBP=NotAvailableFromVoyagerAPI&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
7,5eed78bdf785fd1e0f04c8fd,47:25.7,8,Security Officer,CommonSpirit Health,"Long Beach, CA, US",Posted 3 weeks ago,25,overview founded as a faith based hospital in 1923 by the sisters of charity of the incarnate word dignity health  st mary medical center is a 389 bed acute care nonprofit hospital located in long beach california the hospital offers a full complement of services including a level ii trauma center cardiac and vascular center surgical weight loss maternity and the care center which is a recognized prep center of excellence the hospital shares a legacy of humankindness with dignity health one of the nations five largest health care systems visit for more information   responsibilities the security officer is expected to provide a reasonably safe and secure environment for all who enter dignity health properties and to assure the physical security of buildings and grounds it is expected that the security officer will demonstrate behavior consistent with dignity health core value and humankindness the security officer shall support dignity healths strategic plan and the goals and direction of the quality improvement process improvement activities  protecting staff patients and visitors by responding to calls for assistance in a timely and prudent manner such as violent or unruly patients visitors crimes committed or in progress opening doors and responding to emergency codes  patrol the facility and grounds by foot or vehicle monitor security alarms and dispatch officers promptly to location s where needed and report unsafe acts or conditions knowledge of emergency procedures equipment supplies reports hippa breaches if witnessed investigate security breaches conduct follow up investigations and write incident reports log all activities in a daily log to accurately record events and 2 complete clear concise and legible reports in a timely manner use appropriate emergency and radio codes in dispatching security officers while knowing hospital campus to ensure that those dispatched are to right location  hellosecurityofficer security officer guard safety protection guard card iahss law enforcement military service police  public safety qualifications minimum requirements a minimum of 6 months experience as a security officer involving extensive public contact is required completion of iahss basic training for healthcare security officer within 90 days of hire cpr training within 60 days of hire must be able to communicate clearly both orally and in writing must be able to speak english current drivers license issued by the state wherein the position is posted with satisfactory dmv report on file or the ability to obtain one within 30 days of hire current state issued security officer license if applicable showing no disciplinary actions workplace violence training annually preferred requirements one year experience as a security officer in a hospital or healthcare setting prior law enforcement or military service completion of college level education courses in criminal justice preferred  equal opportunity dignity health is an equal opportunity affirmative action employer committed to a diverse and inclusive workforce all qualified applicants will be considered for employment without regard to race color religion sex sexual orientation gender identity national origin age disability marital status parental status ancestry veteran status genetic information or any other characteristic protected by law for more information about your eeo rights as an applicant please dignity health will not discharge or in any other manner discriminate against employees or applicants because they have inquired about discussed or disclosed their own pay or the pay of another employee or applicant however employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information unless the disclosure is a in response to a formal complaint or charge  b in furtherance of an investigation proceeding hearing or action including an investigation conducted by the employer or c consistent with the contractors legal duty to furnish information 41 cfr 60 1 35 c  external hires must pass a post offer pre employment background check drug screen qualified applicants with an arrest and or conviction will be considered for employment in a manner consistent with federal and state laws as well as applicable local ordinances ban the box laws including but not limited to the san francisco and los angeles fair chance ordinances  if you need a reasonable accommodation for any part of the employment process please contact us by telephone at  415 438 5575 and let us know the nature of your request we will only respond to messages left that involve a request for a reasonable accommodation in the application process we will accommodate the needs of any qualified candidate who requests a reasonable accommodation under the americans with disabilities act ada  dignity health participates in e verify ,,security and investigations,"['Health, Wellness & Fitness', 'Hospital & Health Care', 'Medical Practice']",Full-time,"['', '', '']",https://www.linkedin.com/jobs/view/1881990064/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=COMPANY_RECRUIT&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
8,5eed78c4f785fd1e0f04c8fe,47:32.2,9,Security & Protection Agent,Gavin de Becker & Associates (GDBA),"Malibu, CA, US",Posted 3 weeks ago,25,gavin de becker  associates is a dynamic security firm innovating threat assessment and public figure protection our mission aims to protect and enhance the lives of those we serve from media figures and transnational corporations to universities and womens shelters gdba stands on the front line of the assessment prediction and management of violence  gavin de becker  associates is an equal opportunity employer      psd agents advise at risk public figure clients and protect them where theyre needed most – at their homes offices and during travel agents manage the security operations from a dispatch command center to create a localized point for analyzing security challenges and disseminating information  agents are responsible for enhancing safety and security by remaining alert at all times they also play a crucial role in adding comfort and convenience to the lives of those they serve  residential security executive protection  protective services physical readiness,Entry level,security and investigations,"['Information Technology & Services', 'Security & Investigations', 'Financial Services']",,"['', '', '']",https://www.linkedin.com/jobs/view/1890324222/?eBP=NotAvailableFromVoyagerAPI&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
9,5eed78caf785fd1e0f04c8ff,47:38.8,10,Security Officer,Allied Universal,"El Monte, CA, US",Posted 1 week ago,25,overview at allied universal ® our security professionals assist clients and the public at large by providing essential jobs that keep our communities safe and secure during this time we need your help more than ever we have immediate employment opportunities allied universal also employs an interview process you can complete from the comfort of your home through our online application and video interviewing technology we are north america’s leading security services provider with over 200 000 phenomenal employees and invite you to apply to join the team  job description allied universal is seeking the position of professional security officer our security officers embrace our company’s core values be sure to visit jobs aus com for all of our security jobs and to learn more about our company  as a professional security officer for allied universal you will be responsible for the security and safety of our client’s property and personnel as the allied universal security officer you will know all site specific policies and procedures and implement emergency response activities as appropriate while providing superior customer service  qualifications requirements be at least 18 years of age with high school diploma or equivalent possess effective written and oral communication and interpersonal skills with ability to deal with all levels of personnel and the general public in a professional and effective manner valid guard card license as required in the state for which you are applying as a condition of employment employee must successfully complete a background investigation and a drug screen in accordance with all federal state and local laws display exceptional customer service and communication skills have intermediate computer skills to operate innovative wireless technology at client specific sites ability to handle crisis situations at the client site calmly and efficiently able to work in various environments such as cold weather rain snow or heat occasionally lift or carry up to 40 pounds climb stairs ramps or ladders occasionally during shift stand or walk on various surfaces for long periods of time closing allied universal provides unparalleled service systems and solutions to the people and business of our communities and is north america’s leading security services provider with over 200 000 employees allied universal delivers high quality tailored solutions which allows clients to focus on their core business for more information www aus com  we proudly support the veteran jobs mission a group of over 200 companies that have committed to collectively hiring a total of one million military veterans eoe minorities females vet disability allied universal services is an equal opportunity employer committed to hiring a diverse workforce  requisition id 2020 419218 options apply now apply share email a friend refer sorry the share function is not working properly at this moment please refresh the page and try again later  share on your newsfeed,Entry level,security and investigations,"['Construction', 'Staffing & Recruiting', 'Hospital & Health Care']",Full-time,"['Other', 'Information Technology', 'Management']",https://www.linkedin.com/jobs/view/1902076478/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=COMPANY_RECRUIT&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
10,5eed78d8f785fd1e0f04c901,47:52.5,12,Field Security Officer (FSO),Volt Workforce Solutions,"Orange, CA, US",Posted 3 days ago,25,the field security officer fso will supervise and direct the security measures of volts two cleared facilities and manage the overall security program for the organization a staffing company that provides employees to clients in the defense aerospace and manufacturing industries  this is a part time 30 hours week  benefits and reports to the chief legal officer this position can be remote of work from a volt office   essential responsibilities administer and execute a strong security program in compliance with the nispom nispom supplement dod 5105 21 m 1 comsec manual 90 1 dcids and associated corporate and government policies and directives process new employee security clearances track security clearance investigations and perform administrative support functions design  administer a comprehensive security education training program interface with government and prime contract customers on security related issues prepare and maintain security program procedures access and knowledge in the use and maintenance of jpas e qip ncaiss and the sub applications niss and stepp performance and maintenance of personnel security investigations perform required self inspections of security programs and works closely with our local dss industrial security representatives participate in audits prepares and maintains policy and procedures for handling storing and keeping records related to personnel and visitor and access to sensitive data prepares assessments involving possible security violations and initiates measures to correct security deficiencies receive prepare issue and maintenance of dd254s provide input and review of request for proposals wherein dd254s and operations security opsec plans are applicable coordinate with corporate and management on security related matters other duties as assigned   expected outcomes  ensures compliant processes and procedures with respect to all applicable security regulations    qualifications  required skills thorough knowledge of the nispom and supplement knowledge of supporting security disciplines including document control visitor processing personnel security processing sci and security processes and procedures knowledgeable on government online security systems including e qip jpas diss ability to articulate and present concise intelligent decisive and risk managed recommendations demonstrate effective interpersonal skills to work with employees and leaders at all levels of the organization strong organizational skills and have a strong working knowledge of physical and personnel security requirements  job requirements for role u s citizenship and active top secret security clearance strongly preferred minimum active secret level clearance is required minimum 2 years of experience as fso must have valid drivers license and ability to operate a vehicle must be able to maintain all required security clearances applicants considered for employment are subject to verification of security clearances and other background investigations  required skills effectively communicates in writing effectively communicates verbally and by telephone effectively communicates in person with internal staff external customers and field employees critical thinking and ability to take initiative strong computer and internet skills ability to work independently  desired skills and experience qualifications  required skills thorough knowledge of the nispom and supplement knowledge of supporting security disciplines including document control visitor processing personnel security processing sci and security processes and procedures knowledgeable on government online security systems including e qip jpas diss ability to articulate and present concise intelligent decisive and risk managed recommendations demonstrate effective interpersonal skills to work with employees and leaders at all levels of the organization strong organizational skills and have a strong working knowledge of physical and personnel security requirements  job requirements for role u s citizenship and active top secret security clearance strongly preferred at least an active secret level clearance is required minimum 2 years of experience as fso must have valid drivers license and ability to operate a vehicle must be able to maintain all required security clearances applicants considered for employment are subject to verification of security clearances and other background investigations required skills effectively communicates in writing effectively communicates verbally and by telephone effectively communicates in person with internal staff external customers and field employees critical thinking and ability to take initiative strong computer and internet skills ability to work independently,Mid-Senior level,security and investigations,"['Defense & Space', 'Financial Services']",Part-time,['Other'],https://www.linkedin.com/jobs/view/1882515738/?eBP=CwEAAAFyz5gIm7EAIeFad-Y_ux1m-_Md5CaW67AkmiJFyUm2dD7js_mlywyQm8q0wrWUvFr5S2ikYvaCTm-DSQJdPgotwRBNEKxi1xeMDcuJ9qrlijeAXH1NqRQAvkeKwscGxFweb8W_gFCHn1W1fOmNlbozboZEMxcANpJDlIcfHqhexPbIqpjFCmXFm-j_dn1eiMGwPxp3O506jGvS7iEN8lnUvKz7N0cXt7OZl-z-E6ZW0q6Ip7Y4kdEszcUH_ksfrJ6CNjiXBGj3WnWim0YYTCxKF9BUOCKAEyywij7iIPl-ju-3qTFSsO3Nbg36ApdtxPlvtIUIjujg2RmuRKmRpP6MaVOnBFvMiPCjNGNmzsWqxHLmrMFjvPtAPciHDpNteCudW4s7M8EdwA&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=43951853-bc67-4d4f-8907-3c8c0d419897&trk=flagship3_search_srp_jobs
