num,_id,scrape_time,job_id,job_title,employer_name,employer_location,posted_time,num_of_applicants,job_description,experience_level,industry,LinkedIn industry,employment_type,job_functions,url_link
1,5eed62b4f785fd1e0f04c38e,13:24.7,0,Veterinary Assistant/Animal Care Attendant Opening,AmeriVet Veterinary Partners,"Tarzana, CA, US",Posted Date,25,description **animal care assistant veterinary assistant opening at a small animal hospital in the valley**   tarzana pet clinic is a long standing general practice for small animals with deep ties to the community tarzana pet clinic values compassionate and high quality veterinary care for pets and provides excellent customer service and an upbeat and fun working environment   tarzana is looking for an animal care veterinary assistant to help lead the veterinary care team and provide medical anesthetic and surgical assistance as needed   the right candidate will have 1 love for animals 2 wants a new challenge 3 will train but prefer previous experience in veterinary medicine 4 upbeat energetic and outgoing personality 5 desire to learn 6 ability to lead and train others   tarzana pet clinic offers amazing benefits including   1 highly competitive pay 2 medical dental benefits for ft employees 3 pet care discounts 4 uniform and ce allowance 5 401 k with match 6 paid holidays 7 stable work schedule 8 paid vacation   also no on call overnights or holidays   come join our amazing team we look forward to reviewing your application soon    requirements,Entry level,vetinary,"['Health, Wellness & Fitness']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1890330412/?eBP=CwEAAAFyz0IGKsC-V-x694SZXZk-AGspkTQsSijd_h0qr5Avwt_0jXTCbnkxMeytIAUOPoi4ye6Zi5udk2HtqwuFyb_Yj0iDj1CSoeSmGKfjPyT7ExLsmy50PVm22ZfCRJQwTXhEBP7JX7Vdwv1SRBoXlFhDYG3iJiXKhxqtB-UKq-MEX95DGayV62-6QMUm_xWWJA2vb7uodyqPsRmJ3wU8bmelezQq0mlkjsfWUD1ePHLBMhx5sUTMIZicO5-770a-SjUA4l8TxTeht4nRRzMej_m9-EyWzW7TwbcfusLzQLgpfX_pcZV5Vgv0QjEsjsRdeyCdefT60VaEZfqVNClxJFaWIq14pgYz1zeDFYXbi3-12LdPNLmJhq_-iRo6LNhQJIYBGnDh8Dw&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=d8620a80-9b92-48c6-850d-a918c050e632&trk=flagship3_search_srp_jobs
2,5eed62bcf785fd1e0f04c38f,13:32.3,1,Vetco Veterinary Assistant,Petco,"Redondo Beach, CA, US",Posted 2 weeks ago,25,because we’re obsessed with the health of pets we offer a variety of vet services to meet the needs of our customers which means a wealth of career opportunities whether you’re a licensed veterinarian or a veterinarian support professional located inside petco stores our vetco wellness centers offer professional expertise for common pet health problems  our vetco vaccination clinics offer a variety of preventive care services for healthy dogs and cats inside petco and unleashed by petco retail stores across the us rather than having a permanent presence these clinics function like pop ups inside petco stores our crew and veterinarian arrive at the store with the equipment vaccines medications and everything else they need to take care of the pets they see  position purpose as a vetco veterinary assistant you will meet your veterinary team at our local dispatch office then travel to your assigned petco clinic locations for the day at the clinics your team of veterinary assistants will greet the pet parents and recommend the veterinary services that will best protect their pets the veterinary assistant will assist the veterinarian so the services can be administered and thank the pet parent for protecting their pet essential job functionsthe incumbent must be able to perform all of the following duties and responsibilities with or without a reasonable accommodation must love dogs and cats  and people too team player who thrives on supporting the team in every way make educated recommendations to our clients and providing exceptional customer service works hard and has fun doing it eager to learn ability to work in changing environments traveling throughout our market responsible and accountable individuals a can do attitude education experience available to work on saturdays and sundays comfortable with dogs and cats of all breeds and sizes ability to appropriately  safely restrain when necessary fractious pets able to lift 50 lbs and stand for long periods of time strong product knowledge including heartworm preventatives flea preventatives  vaccines strong knowledge of intestinal parasites prevention  heartworm prevention  heartworm disease in both cats  dogs detail oriented with the ability to think clearly and multitask in a busy environment ability to perform basic math accurately have strong client education  communication skills bi lingual skills preferred but not required a can do attitude and a team player no minimum,Entry level,vetinary,"['Retail', 'Health, Wellness & Fitness', 'Hospital & Health Care']",Full-time,['Other'],https://www.linkedin.com/jobs/view/1757130222/?eBP=CwEAAAFyz0IGKo9uckkon15RiAJ7c-uKO5NxhyaC8NoNZX4fZiyGPc-ou9T7uzSp4Pm0RCTvOKtIwXA3U1-fOyIQCd8iKqBhE9oDO_qZ68xyrmK22zRU_eav7D0XU_iIFGgybkK_UW5_QJ90nq4kvWJBUhZbHTLyyGB4d9nr7wu6nqV6rLQ4_tPsjTsqpsOJQEbLckMz6MbT6YAuWVOqs9nRRnHsr8wHzRHSD1ByUrWWEUD_qNcFP9hiUYWxDZe-n5ZqVODoadSQ1pbPpCHiksHIhpiiD9jQRG7WgWrZ718Uyx_mFshqMRtmTlMiReDfkI7sPkaEb8FmaCIGF5rL1nrQwZkDrVvWDleEiQhv5VyOMHsyKUNh0C83rQnahgi3TjuHpLp4J1yWCyA&recommendedFlavor=COMPANY_RECRUIT&refId=d8620a80-9b92-48c6-850d-a918c050e632&trk=flagship3_search_srp_jobs
3,5eed62c2f785fd1e0f04c390,13:38.8,2,Veterinary Assistant,iHire,"Cleveland, TN, US",Posted 2 days ago,25,immedicate opening for a for a veterinary assistant we are seeking motivated compassionate and hard working team members experience in a veterinary hospital is required this full time job includes rotating holiday work and every other weekend hours experience with proper restraint of dogs and cats and respectful client communication are needed also experience with avimark software and idexx is a plus  employment type full time bonus commission no,Entry level,vetinary,['Veterinary'],Full-time,[''],https://www.linkedin.com/jobs/view/1884897807/?eBP=CwEAAAFyz0IGKo6wIe6Gi19pbBI9uor5_hYqahET9s2BgrGm7gU7pztztLTu4XaKg27CjVcnK1GMzaotdE50nUiq1AH9--8_e_Kz2io4mHhXXd-sDrhSifzWu9-HqPNEQEEzgxTaB_qygdhncE2g3IosjGgAynXa0rbyXFx8qNoQsHA5Q4EFa7BYth_ZUrpLEdtP-k-LdpsLftVloRIOnjsSlH-aYl5IDJaOaengFXa3G0JSRW6YpmVaPMwRfHe96w4uY2ql2PeDSzeWoHg7E5upnQbhDVi6dExkIN4mHQieVVs1-vfIWyX3lv_vxqARE09q_uhoQQCu1R0CQ7gqbxEtQPnKvRnJXKqGKLVTRcN0y3VgKHSLK8Mdbmg41vfcDoaXeK6IWt3UPorMWfDr&refId=d8620a80-9b92-48c6-850d-a918c050e632&trk=flagship3_search_srp_jobs
4,5eed62c9f785fd1e0f04c391,13:45.2,3,Veterinary Assistant,VCA Animal Hospitals,"Manhattan Beach, CA, US",Posted 1 month ago,25,job description veterinary assistant at vca animal medical and dental group manhattan beach ca essential functions venipuncture catheter placement,Entry level,vetinary,"['Staffing & Recruiting', 'Health, Wellness & Fitness', 'Hospital & Health Care']",,[''],https://www.linkedin.com/jobs/view/1837687518/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=COMPANY_RECRUIT&refId=d8620a80-9b92-48c6-850d-a918c050e632&trk=flagship3_search_srp_jobs
5,5eed62cff785fd1e0f04c392,13:51.8,4,Veterinary Assistant,Pathway Vet Alliance,"Redondo Beach, CA, US",Posted 1 week ago,25,description position at pv village pet hospital pv village pet hospital is looking for a motivated and friendly veterinary assistant to join their team ideal candidate excellent communication skills and the ability to work effectively and efficiently in a fast paced environment  pv village pet hospital is a modern state of the art hospital located blocks away from the beach we are a busy hospital with a wonderful team and the potential for professional development  we invest heavily in our employees long term growth and happiness we offer wonderful benefit packages including medical vision dental life 401k paid time off generous pet benefits as well as continuing education bonuses and much much more passionate about pets and providing exemplary veterinary care join our team,Entry level,vetinary,"['Health, Wellness & Fitness', 'Medical Practice', 'Hospital & Health Care']",,[''],https://www.linkedin.com/jobs/view/1869800206/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=d8620a80-9b92-48c6-850d-a918c050e632&trk=flagship3_search_srp_jobs
6,5eed62d8f785fd1e0f04c393,14:00.3,5,Veterinary Assistant,Banfield Pet Hospital,"Hawthorne, CA, US",Posted 1 month ago,25,veterinary assistant careers at banfield pet hospital  for those who want to put their love of pets into action there are few jobs more rewarding than that of vet assistant while working closely with other pet health care professionals at banfield you’ll have the chance to advocate for pets and educate clients on all aspects of pet health in addition if your goal is to advance in your career you’ll have access to a variety of learning and development opportunities along the way  job description summary the veterinary assistant is a key member of the hospital team who supports and assists the veterinarians and veterinary technicians ensuring the safety of pets clients and other associates and the continuity of quality veterinary care  preferred education licenses certificate of completion from a navta approved veterinary assistant program or the equivalent combination of education training and experience that provides the required knowledge skills and abilities high school diploma or equivalent preferred  preferred experience must be able to perform all required skills of navta approved veterinary assistant programs at a level that aids in the efficiency of the practice   desired skills and experience a day in the life of a banfield veterinary assistant the vet assistant provides professional efficient and exceptional service at all times making sure that clients and pets are comfortable in the hospital you will use your technical skills on a daily basis within state practice acts and as outlined in the navta guidelines for veterinary assistant skills and duties other responsibilities include  helping maintain the flow of patients   communicating with the veterinarian and vet techs   carrying out or setting up procedures that do not require veterinarian or vet tech assistance   adhering to hospital standards that keep pets safe and the treatment areas exam rooms and labs clean and organized   educating clients about our optimum wellness plans® and the importance of preventive care   mentoring other members of the hospital team commitment beyond qualifications every associate including the vet assistant has an important contribution to make to the veterinary team we’re looking for vet assistants who are dedicated to their work have a positive attitude and use our five principles  quality responsibility mutuality efficiency and freedom – as their guide in addition our vet assistants are  action oriented   customer focused   good listeners   effective communicators caring for those who care benefits for a banfield veterinary assistant when it comes to benefits we support your personal wellness and professional development we offer a wide range of perks and programs that help you take care of yourself and your family—including your pets   personal health savings and wellness benefits every team member needs to be appreciated all vet assistants receive a generous benefits package including 401 k participation paid time off and optimum wellness plans for your pets in addition medical vision dental life and disability insurance is offered to associates based on eligibility   potential as big as your passion whether you’re a new vet assistant have been working for years or are changing careers we’ll support your professional growth with  performance development plans designed to help you reach your established careers goals  relevant learning opportunities   networking events   ways to offer your skills to your community a support structure that helps you thrive we’ve created a one of a kind leadership structure throughout our practice that includes support from our corporate headquarters the field and hospital level together we are a team making a real impact on pet health care in hospitals communities and the field of veterinary medicine   start your banfield career as a veterinary assistant learn more about the impact you can make as part of a banfield hospital team and see how we support the wellness of our people and profession  view the full job description or if you’re ready to make your move apply today  banfield pet hospital® strongly supports and values the uniqueness of all individuals and promotes a work environment where diversity is embraced banfield pet hospital is an equal opportunity employer all qualified applicants will receive consideration for employment without regard to race religion color national origin sex sexual orientation gender identity age genetic information status as a protected veteran or status as a qualified individual with disability banfield pet hospital complies with all applicable federal state and local laws governing nondiscrimination in employment in every banfield location ,Entry level,vetinary,['Veterinary'],Full-time,['Other'],https://www.linkedin.com/jobs/view/1812151722/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=COMPANY_RECRUIT&refId=d8620a80-9b92-48c6-850d-a918c050e632&trk=flagship3_search_srp_jobs
7,5eed63f9f785fd1e0f04c3bd,18:49.3,47,Veterinary Technician,,"Los Angeles, California, United States",Posted 1 week ago,25,the ideal candidate will have 2 3 years as a credentialed veterinary technician experienced veterinary assistants will also be considered vts or vts eligible technicians are strongly encouraged to apply our veterinarians are fully supportive of those pursuing a vts and our administration understands the value of a vts and compensates accordingly current vts ecc are allowed to use all the skills for which they have been trained candidates should be able to work independently and under busy schedules the ideal candidate should also be comfortable discussing medications and treatments with clients as well as following up with client inquiries candidates should be professional friendly courteous able to multi task as well as have basic computer skills organizational skills and excellent communication skills mash offers full medical benefits sick pay paid vacation and a generous retirement plan we offer highly competitive pay as well as shift differentials for our overnight technicians we strongly encourage continuing education and support those that wish to attend ce mash provides in house ce twice a month from our veterinarians as well as some of the leading speakers in veterinary medicine ,,vetinary,,,,https://www.linkedin.com/jobs/view/1880955635/?eBP=CwEAAAFyz0JhBeQATtwgnZ5NBVKYY3I2dIY6yUUrif-zr-MiYeGoCAH6mcZZs01zF9Fh6gqV32ataaPhmyQTcpMGwOwi6Z5UprvaN9RNc62lqMW5ECTqUMu_oIt6Eg4orwROA6xLoy3bfMgO1iyT9iPc-7NtSRokts9wsf-NSheOgjpaNHF4CqlfDgIlKDGylo8WbsdHehgdDqywbF7HZm777ti5F_M5vDX6LTredxHNhum6358lb312Oy635m9WfAz4CFonI7ItyirGUWtxBtx9paGcRsdbRb5YwK9S5koQC8hha5nHtaKOFByqeB5DgCUkJGsa38EtQ89jUg5EFvgfsakxs-hALuh65MCPydly7Y7UdMFr_-gpwgi12WRa5h6ocOpor5uRNA32yQ&refId=d8a65583-d7c9-414a-aaf3-f18ffcf16b94&trk=flagship3_search_srp_jobs
8,5eed63fff785fd1e0f04c3be,18:55.8,48,Vetco Veterinary Assistant,Petco,"Redondo Beach, CA, US",Posted 2 weeks ago,25,because we’re obsessed with the health of pets we offer a variety of vet services to meet the needs of our customers which means a wealth of career opportunities whether you’re a licensed veterinarian or a veterinarian support professional located inside petco stores our vetco wellness centers offer professional expertise for common pet health problems  our vetco vaccination clinics offer a variety of preventive care services for healthy dogs and cats inside petco and unleashed by petco retail stores across the us rather than having a permanent presence these clinics function like pop ups inside petco stores our crew and veterinarian arrive at the store with the equipment vaccines medications and everything else they need to take care of the pets they see   as a vetco veterinary assistant you will meet your veterinary team at our local dispatch office then travel to your assigned petco clinic locations for the day at the clinics your team of veterinary assistants will greet the pet parents and recommend the veterinary services that will best protect their pets the veterinary assistant will assist the veterinarian so the services can be administered and thank the pet parent for protecting their pet w   no minimum,Entry level,vetinary,"['Retail', 'Health, Wellness & Fitness', 'Hospital & Health Care']",Full-time,[''],https://www.linkedin.com/jobs/view/1757127888/?eBP=CwEAAAFyz0JhBXZFKNQj2CeISY5Fs1_7NZSdsdcrw7kXIHGwcjHZhGKMIb5IKPPe-5ozq3Z4KSi_SqLuxBc9PwGRW7jQNIMwGwjgx8JiVO2eWemSG276tgmfoTI585QiLxmga5p6pSA6SHlsSsv-5Fh8xx5mIu8QTe2GjodjqV3hMcLnHOV0A6gnOE6hqjHEkosiPZFGfSSM53zaDKwlBjog7SGULGHCySH9zKEVCYt9Mo6CJ3mphMzLUTrBFjRaKfm8sTCb_YZ4Kj82qdsAOfwv4oYUUCBSU7hsviRKFhthvGArwn4caU85H8cSn7OtqcyokM2rqMsep2FJdwy_ceFY7DuAVmBiTLuhs5qBJxQ7FmyzwEmxHVhKQPmolLNgooXvKXFoGyfZQnc&recommendedFlavor=COMPANY_RECRUIT&refId=d8a65583-d7c9-414a-aaf3-f18ffcf16b94&trk=flagship3_search_srp_jobs
9,5eed6406f785fd1e0f04c3bf,19:02.3,49,Veterinary Assistant,Town & Country Arnhem,"Marietta, GA, US",Posted 2 weeks ago,25,town  country west veterinary clinic is looking for an experienced veterinary assistant or veterinary technician  we are committed to providing the best care available we are looking for someone who is motivated and devoted to ensuring our patients and clients get the best care  we want someone who is compassionate professional and willing to learn experience with avimark is a plus since we are a clinic you must be able to handle stressful situations and emergencies as they arise we are a fast paced veterinary clinic that wants someone who will be able to connect with clients and nurture and encourage lifelong relationships and having a positive attitude is the first step   job requirements  medical vision dental employee discounts retirement plan long term disability please ask us about the conditions  drug testing we are a drug free workplace member so you must be willing to be drug tested  pay rate 10 to 15 based on experience  this job will require to work 1 saturday eow 800 am to 230 pm  there will be 10 hour shifts 4 times a week on alternating weeks  town  country west veterinary clinic is located at 1770 powder springs rd sw marietta ga 30064 visit our website at https www tcwvetclinic com for more information  providing the highest standards of veterinary care to our four legged companions in marietta georgia the doctors and staff of town  country west veterinary clinic are devoted to the practice of veterinary medicine we greatly respect the human animal bond and honor the relationships forged with clients and patients we invite you to learn more about us   participate in the preventative care of our patients develop and implement treatment plans for our injured or sick patients provide individualized care for each patients unique situation in partnership with our clients and the education we provide our goal is to make every effort to provide the highest quality of life for each of our four legged friends ,Entry level,vetinary,"['Veterinary', 'Medical Practice', 'Hospital & Health Care']",Full-time,[''],https://www.linkedin.com/jobs/view/1887678108/?eBP=NotAvailableFromVoyagerAPI&refId=d8a65583-d7c9-414a-aaf3-f18ffcf16b94&trk=flagship3_search_srp_jobs
10,5eed640cf785fd1e0f04c3c0,19:08.9,50,Veterinary Technician,Hughes Systique Corporation (HSC),"Santa Ana, CA, US",Posted 2 months ago,25,this job is a direct hire not represented by a staffing agency we manage our jobs through an applicant tracking system if interested in the position redirect to healthstaffconnect com join to complete your application please be sure to choose the veterinary technician job title  company overview we are a privately owned full service veterinary surgical hospital located in the tustin area designed with our patients health well being and recovery in mind our veterinary team uses the latest in state of the art techniques and equipment to provide top quality veterinary care if this sounds like the place for you please consider joining our team  we are seeking a veterinary technician the qualified candidate will be outgoing enthusiastic compassionate and not afraid to get dirty this person will be a great customer champion wonderful communicator problem solver and be a passionate patient advocate this person will be professional trustworthy punctual and always smiling        powered by jazzhr,Entry level,vetinary,"['Health, Wellness & Fitness', 'Medical Practice', 'Hospital & Health Care']",,[''],https://www.linkedin.com/jobs/view/1846664360/?eBP=NotAvailableFromVoyagerAPI&refId=d8a65583-d7c9-414a-aaf3-f18ffcf16b94&trk=flagship3_search_srp_jobs
